Name,WeightClassKg,Equipment,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Sex,Event,Division,Place
Mitchell Collins,52,Single-ply,140,,,,,,,,,,,,,
G. Craig,52,Single-ply,110,,,,,,,,,,,,,
A. Dickerson,52,Single-ply,97.5,,,,,,,,,,,,,
J. Craft,52,Single-ply,110,,,,,,,,,,,,,
M. Slaton,56,Single-ply,115,,,,,,,,,,,,,
J. Scarborough,56,Single-ply,,,,,,,,,,,,,,
V. Williams,60,Single-ply,,,,,,,,,,,,,,
S. Braz,60,Single-ply,,,,,,,,,,,,,,
C. Warnick,60,Single-ply,,,,,,,,,,,,,,
T. Gullus,60,Single-ply,,,,,,,,,,,,,,
M. Dean,60,Single-ply,,,,,,,,,,,,,,
J. Sinks,67.5,Single-ply,,,,,,,,,,,,,,
B. McClure,67.5,Single-ply,,,,,,,,,,,,,,
P. Chappell,67.5,Single-ply,,,,,,,,,,,,,,
T. Ishee,67.5,Single-ply,,,,,,,,,,,,,,
B. Scarborough,67.5,Single-ply,,,,,,,,,,,,,,
R. Heller,75,Single-ply,,,,,,,,,,,,,,
J. Outz,75,Single-ply,,,,,,,,,,,,,,
M. Clonts,75,Single-ply,,,,,,,,,,,,,,
K. Mears,75,Single-ply,,,,,,,,,,,,,,
A. Gutman,75,Single-ply,,,,,,,,,,,,,,
H. Hammond,82.5,Single-ply,,,,,,,,,,,,,,
S. Hayes Jr,82.5,Single-ply,,,,,,,,,,,,,,
C. Lindsey,82.5,Single-ply,,,,,,,,,,,,,,
J. Sanders,82.5,Single-ply,,,,,,,,,,,,,,
G. Smith,82.5,Single-ply,,,,,,,,,,,,,,
M. Olsen,90,Single-ply,,,,,,,,,,,,,,
K. Steiner,90,Single-ply,,,,,,,,,,,,,,
T. Tompkins,90,Single-ply,,,,,,,,,,,,,,
D. Thomas,90,Single-ply,,,,,,,,,,,,,,
V. Herbert,90,Single-ply,,,,,,,,,,,,,,
K. Sawyer,100,Single-ply,,,,,,,,,,,,,,
C. Fussell,100,Single-ply,,,,,,,,,,,,,,
K. Pittman,100,Single-ply,,,,,,,,,,,,,,
E. Shelton,100,Single-ply,,,,,,,,,,,,,,
R. Freeman,100,Single-ply,,,,,,,,,,,,,,
T. Bird,110,Single-ply,,,,,,,,,,,,,,
B. Calaluca,110,Single-ply,,,,,,,,,,,,,,
C. Cornett,110,Single-ply,,,,,,,,,,,,,,
J. Todd,110,Single-ply,,,,,,,,,,,,,,
K. Pierce,110,Single-ply,,,,,,,,,,,,,,
R. English,125,Single-ply,,,,,,,,,,,,,,
B. Floyd,125,Single-ply,,,,,,,,,,,,,,
R. Cordle,125,Single-ply,,,,,,,,,,,,,,
J. Knox,125,Single-ply,,,,,,,,,,,,,,
Bill Kazmaier,125+,Single-ply,,,,,,,,,,,,,,
J. Smith,125+,Single-ply,,,,,,,,,,,,,,
