Name,Sex,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Division,Event,Equipment,Place
Doug Heath,M,52,405,225,365,995,Open,SBD,Single-ply,1
C. Kestel,M,52,240,110,275,625,Open,SBD,Single-ply,2
C. Druschel,M,52,215,95,240,550,Open,SBD,Single-ply,3
R. Mattingly,M,52,145,75,240,460,Open,SBD,Single-ply,4
S. West,M,52,140,70,220,430,Open,SBD,Single-ply,5
Shelly Wargo,F,56,305,155,325,785,Open,SBD,Single-ply,1
Chris Hickman,M,56,295,135,320,750,Open,SBD,Single-ply,1
C. Papalios,M,56,275,135,300,710,Open,SBD,Single-ply,2
Pete Kacarab,M,60,500,275,450,1225,Open,SBD,Single-ply,1
B. Dye,M,60,415,265,400,1080,Open,SBD,Single-ply,2
Pam Stevenson,F,60,270,100,290,660,Open,SBD,Single-ply,1
Cindy Dickey,F,60,210,95,290,595,Open,SBD,Single-ply,2
Stacy Evilsizer,F,60,200,95,275,570,Open,SBD,Single-ply,3
Jim Finch,M,67.5,550,320,560,1430,Open,SBD,Single-ply,1
J. Pulizzi,M,67.5,480,280,500,1260,Open,SBD,Single-ply,2
D. Graham,M,67.5,440,255,505,1200,Open,SBD,Single-ply,3
G. Grenon,M,67.5,425,305,455,1185,Open,SBD,Single-ply,4
R. Tanney,M,67.5,235,110,315,660,Open,SBD,Single-ply,5
Jeff Jalovec,M,75,550,375,575,1500,Open,SBD,Single-ply,1
Doug Estep,M,75,500,285,540,1325,Open,SBD,Single-ply,2
J. Demaske,M,75,475,290,515,1280,Open,SBD,Single-ply,3
R. Kahl,M,75,470,290,500,1260,Open,SBD,Single-ply,4
S. Schisler,M,75,450,310,500,1260,Open,SBD,Single-ply,5
T. Pacifico,M,75,500,250,480,1230,Open,SBD,Single-ply,6
R. Cotton,M,75,425,240,440,1105,Open,SBD,Single-ply,7
M. Scott #1,M,75,385,270,425,1080,Open,SBD,Single-ply,8
D. Light,M,75,380,270,430,1080,Open,SBD,Single-ply,9
S. Nervo,M,75,420,290,,,Open,SBD,Single-ply,DQ
J. Weaver,M,75,500,,,,Open,SBD,Single-ply,DQ
Tom Myers,M,82.5,565,330,580,1475,Open,SBD,Single-ply,1
Ed Stanford,M,82.5,550,315,600,1465,Open,SBD,Single-ply,2
B. Brock,M,82.5,550,300,540,1390,Open,SBD,Single-ply,3
S. Uhas,M,82.5,585,250,525,1360,Open,SBD,Single-ply,4
R. Wolfrord,M,82.5,450,320,475,1245,Open,SBD,Single-ply,5
M. Scott #2,M,82.5,440,275,475,1190,Open,SBD,Single-ply,6
John Zolidis,M,90,565,355,675,1595,Open,SBD,Single-ply,1
Steve Martter,M,90,605,360,630,1595,Open,SBD,Single-ply,2
R. Grinold,M,90,500,350,560,1410,Open,SBD,Single-ply,3
J. Conner,M,90,490,300,520,1310,Open,SBD,Single-ply,4
D. Wathen,M,90,435,305,515,1255,Open,SBD,Single-ply,5
D. Spadafora,M,90,505,270,480,1255,Open,SBD,Single-ply,6
R. Breckenridge,M,90,480,250,450,1180,Open,SBD,Single-ply,7
M. Kleis,M,90,495,,,495,Open,S,Single-ply,1
Vince Anello,M,100,725,455,725,1905,Open,SBD,Single-ply,1
Mark Schmidt,M,100,750,435,700,1885,Open,SBD,Single-ply,2
Todd Wilson,M,100,680,420,725,1825,Open,SBD,Single-ply,3
B. Russell,M,100,645,370,675,1690,Open,SBD,Single-ply,4
P. Mucci,M,100,575,445,640,1660,Open,SBD,Single-ply,5
Jim Kessler,M,100,580,370,615,1565,Open,SBD,Single-ply,6
S. Grimes,M,100,450,350,485,1285,Open,SBD,Single-ply,7
Steve Wilson,M,110,755,500,745,2000,Open,SBD,Single-ply,1
PJ Meduri,M,110,750,450,740,1940,Open,SBD,Single-ply,2
Steve Daugherty,M,110,685,490,755,1930,Open,SBD,Single-ply,3
G. Horesjei,M,110,750,480,660,1890,Open,SBD,Single-ply,4
T. Thompson,M,110,650,400,640,1690,Open,SBD,Single-ply,5
A. Alacchi,M,110,575,410,650,1635,Open,SBD,Single-ply,6
M. White,M,110,625,320,590,1535,Open,SBD,Single-ply,7
P. Harvey,M,110,485,355,560,1400,Open,SBD,Single-ply,8
T. Hanwork,M,110,475,325,510,1310,Open,SBD,Single-ply,9
Eric Stuber,M,125,780,460,720,1960,Open,SBD,Single-ply,1
M. Radosevic,M,125,670,395,650,1715,Open,SBD,Single-ply,2
D. Schweinforth,M,125,615,420,650,1685,Open,SBD,Single-ply,3
K. Graydish,M,125,630,400,600,1630,Open,SBD,Single-ply,4
J. King,M,125,595,360,645,1600,Open,SBD,Single-ply,5
J. Oesch,M,125,600,,,600,Open,S,Single-ply,5
Arthur Bogason,M,125,670,330,,1000,Open,SB,Single-ply,G
Viking Gurtraustason,M,125,715,360,705,1780,Open,SBD,Single-ply,G
Adair Cooper,M,125+,660,380,700,1740,Open,SBD,Single-ply,1
Steve Lindway,M,125+,705,370,630,1705,Open,SBD,Single-ply,2
J. Freeman,M,125+,425,215,505,1145,Open,SBD,Single-ply,3
D. Scorziell,M,125+,650,,,650,Open,S,Single-ply,1
