Name,WeightClassKg,Division,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Age
V. Tolisano,56,Open,M,,190.51,133.81,210.92,535.24,SBD,Single-ply,
Ken Snell,56,Open,M,,172.37,104.33,195.04,471.74,SBD,Single-ply,
W. Wilson,60,Open,M,,183.71,145.15,192.78,521.63,SBD,Single-ply,
Ernesto Milian,60,Open,M,,190.51,99.79,183.71,474,SBD,Single-ply,
Tony Conyers,67.5,Open,M,,238.14,172.37,265.35,675.85,SBD,Single-ply,
Sherman Johnson,67.5,Open,M,,185.97,145.15,240.4,571.53,SBD,Single-ply,
C. Valdez,67.5,Open,M,,208.65,127.01,229.06,564.72,SBD,Single-ply,
Mike Facteau,75,Open,M,,288.03,170.1,301.64,759.77,SBD,Single-ply,
J. Penale,75,Open,M,,254.01,163.29,278.96,696.27,SBD,Single-ply,
L. Soto,75,Open,M,,258.55,154.22,274.42,687.19,SBD,Single-ply,
Rick Weil,75,Open,M,,238.14,199.58,229.06,666.78,SBD,Single-ply,
J. Giallardo,75,Open,M,,222.26,170.1,242.67,635.03,SBD,Single-ply,
S. Barquera,75,Open,M,,244.94,149.69,226.8,621.42,SBD,Single-ply,
D. Castellano,75,Open,M,,235.87,115.67,249.48,601.01,SBD,Single-ply,
B. Ely,82.5,Open,M,,276.69,151.95,281.23,709.87,SBD,Single-ply,
P. Lomba,82.5,Open,M,80.29,249.48,176.9,281.23,707.6,SBD,Single-ply,
Robert Pereda,82.5,Open,M,81.19,297.1,145.15,265.35,707.6,SBD,Single-ply,
Virgil Diaz,82.5,Open,M,,276.69,154.22,263.08,694,SBD,Single-ply,21
M. Brown,82.5,Open,M,,260.82,183.71,249.48,694,SBD,Single-ply,
C. Wright,82.5,Open,M,,235.87,122.47,283.5,641.83,SBD,Single-ply,
E. Gillie,90,Open,M,89.81,319.78,204.12,303.91,827.81,SBD,Single-ply,40
B. Robertson,90,Open,M,,299.37,195.04,292.57,786.98,SBD,Single-ply,
P. Mustakas,90,Open,M,,281.23,179.17,288.03,748.43,SBD,Single-ply,
D. Gant,90,Open,M,,260.82,190.51,276.69,728.02,SBD,Single-ply,
D. Denham,90,Open,M,,244.94,192.78,244.94,682.66,SBD,Single-ply,
R. Vitkun,100,Open,M,,290.3,181.44,303.91,775.64,SBD,Single-ply,
B. Beckly,100,Open,M,,290.3,185.97,297.1,773.38,SBD,Single-ply,
B. Wilson,100,Open,M,,294.84,192.78,276.69,764.3,SBD,Single-ply,
H. Roberts,100,Open,M,,290.3,170.1,281.23,741.62,SBD,Single-ply,
D. Crowley,100,Open,M,,303.91,145.15,290.3,739.36,SBD,Single-ply,
R. Rareigh,100,Open,M,,267.62,192.78,278.96,739.36,SBD,Single-ply,
R. Daley,100,Open,M,,,,,,SBD,Single-ply,
T. Myers,110,Open,M,,315.25,210.92,319.78,845.95,SBD,Single-ply,
J. Garcia,110,Open,M,,308.44,215.46,317.52,841.41,SBD,Single-ply,
R. Vaillancourt,110,Open,M,,317.52,208.65,272.16,798.32,SBD,Single-ply,
J. Hernandez,125,Open,M,,344.73,213.19,303.91,861.83,SBD,Single-ply,
J. Severino,125,Open,M,,306.18,231.33,278.96,816.47,SBD,Single-ply,
J. Newell,125,Open,M,,303.91,170.1,312.98,786.98,SBD,Single-ply,
Orlando Muniz-Zacca,125+,Open,M,,226.8,124.74,151.95,503.49,SBD,Single-ply,
M. Ferrera,52,Novice,M,,138.35,115.67,149.69,403.7,SBD,Single-ply,
R. Miguel,52,Novice,M,,136.08,86.18,154.22,376.48,SBD,Single-ply,
S. Perez,52,Novice,M,50.8,113.4,74.84,129.27,317.52,SBD,Single-ply,
E. Zekler,52,Novice,M,,111.13,72.57,129.27,312.98,SBD,Single-ply,
T. Babaza,56,Novice,M,,145.15,95.25,192.78,433.18,SBD,Single-ply,
B. Vargas,56,Novice,M,,140.61,95.25,158.76,394.63,SBD,Single-ply,
E. Cattel,56,Novice,M,,117.93,95.25,154.22,367.41,SBD,Single-ply,
L. Campo,60,Novice,M,,172.37,102.06,192.78,467.2,SBD,Single-ply,
T. Manning,60,Novice,M,,181.44,81.65,183.71,446.79,SBD,Single-ply,
D. Reed,60,Novice,M,,147.42,83.91,165.56,396.89,SBD,Single-ply,
S. Dimara,60,Novice,M,,145.15,95.25,142.88,383.29,SBD,Single-ply,
H. Nelson,60,Novice,M,,113.4,104.33,163.29,381.02,SBD,Single-ply,
B. Henry,60,Novice,M,,102.06,95.25,149.69,347,SBD,Single-ply,
T. Donavan,67.5,Novice,M,,204.12,138.35,192.78,535.24,SBD,Single-ply,
J. Carter,67.5,Novice,M,,190.51,113.4,176.9,480.81,SBD,Single-ply,
R. Hanchett,67.5,Novice,M,,183.71,113.4,176.9,474,SBD,Single-ply,
G. Meta,67.5,Novice,M,,163.29,124.74,172.37,460.4,SBD,Single-ply,
T. Mosley,67.5,Novice,M,,172.37,83.91,176.9,433.18,SBD,Single-ply,
D. John,67.5,Novice,M,,131.54,95.25,181.44,408.23,SBD,Single-ply,
W. Roosevelt,67.5,Novice,M,,117.93,117.93,154.22,390.09,SBD,Single-ply,
T. Murray,67.5,Novice,M,,97.52,40.82,102.06,240.4,SBD,Single-ply,
M. Dufresche,67.5,Novice,M,,,,,,SBD,Single-ply,
E. Green,67.5,Novice,M,,163.29,,,,SBD,Single-ply,
