Name,Sex,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
K. Haynes,M,Open,52,,,,,,
P. Begis,M,Open,56,,,,,,
W. Unger,M,Open,56,,,,,,
S. Mitchell,M,Open,60,,,,,,
J. Warner,M,Open,67.5,,,,,,
W. Cyrus,M,Open,67.5,,,,,,
J. Pulizzi,M,Open,67.5,,,,,,
M. Oleszcak,M,Open,75,,,,,,
D. Bernard,M,Open,75,,,,,,
S. Meany,M,Open,75,,,,,,
S. Nervo,M,Open,75,,,,,,
B. Nutter,M,Open,75,,,,,,
B. Billman,M,Open,75,,,,,,
Jeff Chorpenning,M,Open,82.5,,,,,,
M. McNeill,M,Open,82.5,,,,,,
M. Lechler,M,Open,82.5,,,,,,
D. Light,M,Open,82.5,,,,,,
J. Szubski,M,Open,82.5,,,,,,
D. Oeder,M,Open,82.5,,,,,,
T. Mintus,M,Open,82.5,,,,,,
C. King,M,Open,82.5,,,,,,
J. Matos,M,Open,90,,,,,,
M. Reidel,M,Open,90,,,,,,
G. Prokopovich,M,Open,90,,,,,,
B. Kyle,M,Open,90,,,,,,
S. Martter,M,Open,90,,,,,,
J. Wolf,M,Open,90,,,,,,
J. Ramsey,M,Open,90,,,,,,
B. Grinold,M,Open,90,,,,,,
J. Beverly,M,Open,90,,,,,,
W. Pomeroy,M,Open,90,,,,,,
K. Mitchell,M,Open,90,,,,,,
Dave Wilson,M,Open,100,,,,,,
J. Macleod,M,Open,100,,,,,,
D. Beverly,M,Open,100,,,,,,
B. Aggers,M,Open,100,,,,,,
D. Mahl,M,Open,100,,,,,,
John Florio,M,Open,110,,,,,,
M. White,M,Open,110,,,,,,
G. Dreschel,M,Open,110,,,,,,
T. King,M,Open,110,,,,,,
B. Bogantz,M,Open,110,,,,,,
T. Albert,M,Open,110,,,,,,
R. Scriver,M,Open,110,,,,,,
Dave Wohleber,M,Open,125,,,,,,
D. Mayo,M,Open,125,,,,,,
J. Sanderson,M,Open,125,,,,,,
Mike Gollehon,M,Open,125+,,,,,,
B. Coyer,M,Open,125+,,,,,,
