Name,WeightClassKg,Division,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
S. Perez,52,Novice,M,,280,185,300,765,SBD,Single-ply,1
B. Vargas,56,Novice,M,,325,215,365,905,SBD,Single-ply,1
C. Horman,56,Novice,M,,250,175,375,800,SBD,Single-ply,2
C. Brunson,60,Novice,M,,350,280,405,1035,SBD,Single-ply,1
D. Carlisle,60,Novice,M,,325,240,400,965,SBD,Single-ply,2
J. Carter,67.5,Novice,M,,450,265,440,1155,SBD,Single-ply,1
R. Esposito,67.5,Novice,M,,400,270,450,1120,SBD,Single-ply,2
K. Collier,67.5,Novice,M,,415,210,445,1070,SBD,Single-ply,3
J. Meta,67.5,Novice,M,,380,265,420,1065,SBD,Single-ply,4
M. Trjficanto,67.5,Novice,M,,330,225,440,995,SBD,Single-ply,5
T. Carney,67.5,Novice,M,,360,230,385,975,SBD,Single-ply,6
J. Donnelly,67.5,Novice,M,,320,220,415,955,SBD,Single-ply,7
P. Kreis Jr,67.5,Novice,M,,290,255,,,SBD,Single-ply,DQ
W. Vargas,75,Novice,M,,470,275,440,1185,SBD,Single-ply,1
C. Taylor,75,Novice,M,,360,270,450,1080,SBD,Single-ply,2
G. Curry,75,Novice,M,,360,185,360,905,SBD,Single-ply,3
D. Farr,82.5,Novice,M,,490,325,545,1360,SBD,Single-ply,1
J. Dickson,82.5,Novice,M,,475,350,535,1360,SBD,Single-ply,2
R. Yearwood,82.5,Novice,M,,470,335,540,1345,SBD,Single-ply,3
T. Trevorah,82.5,Novice,M,,510,310,520,1340,SBD,Single-ply,4
K. Sweeney,82.5,Novice,M,,455,220,530,1205,SBD,Single-ply,5
R. Caprarotta,82.5,Novice,M,,405,315,450,1170,SBD,Single-ply,6
W. Barlow,82.5,Novice,M,,375,205,350,930,SBD,Single-ply,7
M. Seagers,82.5,Novice,M,,275,,,,SBD,Single-ply,DQ
P. Vega,90,Novice,M,,560,415,590,1565,SBD,Single-ply,1
J. Hockwares,90,Novice,M,,540,360,610,1510,SBD,Single-ply,2
T. Jenkins,90,Novice,M,,505,325,590,1420,SBD,Single-ply,3
E. Coffman,90,Novice,M,,530,340,540,1410,SBD,Single-ply,4
W. Roberts,90,Novice,M,,480,340,580,1400,SBD,Single-ply,5
J. Franklin,90,Novice,M,,465,315,560,1340,SBD,Single-ply,6
D. Orr,90,Novice,M,,505,280,540,1325,SBD,Single-ply,7
W. Hill,90,Novice,M,,470,325,500,1295,SBD,Single-ply,8
M. Harrison,90,Novice,M,,485,280,500,1265,SBD,Single-ply,9
