Name,WeightClassKg,Sex,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,Place
Cheryl Jones,44,F,43.5,,,,,,,,,,,,,,,,,
Joan Fruth,44,F,43.74,,,,,,,,,,,,,,,,,
Teri Hoyt,44,F,43.9,,,,,,,,,,,,,,,,,
Aleatha Martin,44,F,43.3,,,,,,,,,,,,,,,,,
Jamie Mock,44,F,43.99,,,,,,,,,,,,,,,,,
Judy Gedney,44,F,42.7,,,,,,,,,,,,,,,,,
Geri Ellingsworth,44,F,43.5,,,,,,,,,,,,,,,,,
Aadron Rausch,44,F,43.65,,,,,,,,,,,,,,,,,
Cindy Russell,44,F,42.97,,,,,,,,,,,,,,,,,
Liberty Winter,44,F,43.77,,,,,,,,,,,,,,,,,
Diane Rowell,48,F,47.6,,,,,,,,,,,,,,,,,
Majik Jones,48,F,47.74,,,,,,,,,,,,,,,,,
Terry Blanchard,48,F,47.4,,,,,,,,,,,,,,,,,
Garyle Hall,48,F,47.4,,,,,,,,,,,,,,,,,
Cheryl Dreschel,48,F,47.4,,,,,,,,,,,,,,,,,
Shirely Scheffler,48,F,43.35,,,,,,,,,,,,,,,,,
Claire Tuite,48,F,46.87,,,,,,,,,,,,,,,,,
Barb Conis,48,F,47.28,,,,,,,,,,,,,,,,,
Betsy Huggin,48,F,47.5,,,,,,,,,,,,,,,,,
Melody Butts,48,F,46.94,,,,,,,,,,,,,,,,,
Brenda Alexander,48,F,46.72,,,,,,,,,,,,,,,,,
Chris Ciardelli,48,F,47.06,,,,,,,,,,,,,,,,,
Majorie Chaset,48,F,47.28,,,,,,,,,,,,,,,,,
Donna Wicker,48,F,47.96,,,,,,,,,,,,,,,,,
Michelle Evris,48,F,46.72,,,,,,,,,,,,,,,,,
Linda Madzey,48,F,47.4,,,,,,,,,,,,,,,,,
Vicki Steenrod,52,F,51.73,,,,,,,,,,,,,,,,,
Carol Patterson,52,F,52.37,,,,,,,,,,,,,,,,,
Felicia Johnson,52,F,52.49,,,,,,,,,,,,,,,,,
Mary Ryan,52,F,51.72,,,,,,,,,,,,,,,,,
Linda Shendow,52,F,51.9,,,,,,,,,,,,,,,,,
