Name,WeightClassKg,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
Cheryl Jones,44,43.8,,,,,,,,,,
Judy Gedney,44,43.2,,,,,,,,,,
Elizabeth Everett,44,43.1,,,,,,,,,,
Jeanna Pacyga,44,43.1,,,,,,,,,,
Shirely Scheffler,44,43.7,,,,,,,,,,
Donna Mandell,44,42.3,,,,,,,,,,
Cathy Chiraini,44,44,,,,,,,,,,
Majik Jones,48,47.8,,,,,,,,,,
Pam Booth,48,47.4,,,,,,,,,,
Liberty Winter,48,47.8,,,,,,,,,,
Debbie Spaeth,48,46.5,,,,,,,,,,
Betsy Huggin,48,47.7,,,,,,,,,,
Sue Elwyn,48,47.3,,,,,,,,,,
Gayle Hall,48,47.5,,,,,,,,,,
Tanya Talton,48,47.4,,,,,,,,,,
Linda Bertrem,48,47.4,,,,,,,,,,
G. Ramirez,48,47.2,,,,,,,,,,
Diana Rowell,52,51.9,,,,,,,,,,
Mary Ryan,52,51.7,,,,,,,,,,
Felicia Johnson,52,51.2,,,,,,,,,,
D. Bona,52,51.3,,,,,,,,,,
Kay Asher,52,51.7,,,,,,,,,,
P. Box,52,48.8,,,,,,,,,,
Inez Fuentes,52,51.2,,,,,,,,,,
Marjorie Chaset,52,51.1,,,,,,,,,,
C. McCambridge,52,51.4,,,,,,,,,,
Patty Dyer,52,51.1,,,,,,,,,,
Joanna Walters,52,50.2,,,,,,,,,,
Luann Thornton,52,51.5,,,,,,,,,,
Sierra Kamela,52,51.6,,,,,,,,,,
Connie Fuentes,52,50.1,,,,,,,,,,
Luce Wanzanried,52,50.3,,,,,,,,,,
Vicki Steenrod,56,55.7,,,,,,,,,,
Eileen Wadie,56,55.3,,,,,,,,,,
Sheila Ward,56,55.1,,,,,,,,,,
P. Shepherd,56,55.5,,,,,,,,,,
Julie Austin,56,55.8,,,,,,,,,,
Mary Bingham,56,54.2,,,,,,,,,,
Kathy Kylis,56,55.2,,,,,,,,,,
Tammy Sheppard,56,55.9,,,,,,,,,,
Zanthia Smith,56,56,,,,,,,,,,
Joannae Suomi,56,55.2,,,,,,,,,,
Julie Golding,56,54.4,,,,,,,,,,
Diane Frantz,60,59.2,,,,,,,,,,
Mariah Liggett,60,59.2,,,,,,,,,,
Melanie Getz,60,59,,,,,,,,,,
Pauline Hoehn,60,59.6,,,,,,,,,,
Tam Thompson,60,59.6,,,,,,,,,,
L. Martel,60,58.1,,,,,,,,,,
Ruthi Shafer,67.5,67.2,,,,,,,,,,
Laura Dodd,67.5,66.4,,,,,,,,,,
Terry Rohal,67.5,66.6,,,,,,,,,,
Tegra Hill,67.5,64.3,,,,,,,,,,
Lindy Champion,67.5,66.2,,,,,,,,,,
Judy Averbach,67.5,61,,,,,,,,,,
Terry Elliot,67.5,63.9,,,,,,,,,,
Treva Slagle,67.5,66.4,,,,,,,,,,
J. Henderson,67.5,66.3,,,,,,,,,,
Debbie Patton,75,68.5,,,,,,,,,,
Mary Barreira,75,73.4,,,,,,,,,,
Heidi Carman,75,71.2,,,,,,,,,,
Teresa Ryskoski,75,73.2,,,,,,,,,,
C. Wilcox,75,73.3,,,,,,,,,,
Maggie Sandoval,75,69.5,,,,,,,,,,
Cat Chase,75,73,,,,,,,,,,
Ruth Welding,75,70.7,,,,,,,,,,
Cathy Capelle,75,74.2,,,,,,,,,,
Mary Hensley,75,73.5,,,,,,,,,,
Lou Ann Smith,82.5,81.2,,,,,,,,,,
Patti Dent,82.5,81.5,,,,,,,,,,
Janice Johnson,82.5,81.2,,,,,,,,,,
Juanita Trujillo,82.5,79.6,,,,,,,,,,
Nancy Ostroff,82.5,81.5,,,,,,,,,,
M. Greenspan,82.5,76.5,,,,,,,,,,
Aloma Marquis,82.5,75.8,,,,,,,,,,
Annette Bohach,90,83.6,,,,,,,,,,
Loraine Costanzao,90,89.3,,,,,,,,,,
Lisa Noble,90,87.5,,,,,,,,,,
MaryAnn Johnson,90,89.3,,,,,,,,,,
Maris Sternberg,90,89.1,,,,,,,,,,
Annie McElroy,90+,120.8,,,,,,,,,,
Cindy Regan,90+,105,,,,,,,,,,
Dodie McIntyre,90+,105,,,,,,,,,,
