Name,WeightClassKg,Sex,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
T. Talton,48,F,Open,,,,,SBD,Single-ply
M. Simmons,48,F,Open,,,,,SBD,Single-ply
J. Guillory,48,F,Open,,,,,SBD,Single-ply
B. Taylor,48,F,Open,,,,,SBD,Single-ply
R. Williams,52,F,Open,,,,,SBD,Single-ply
L. Thornton,56,F,Open,,,,,SBD,Single-ply
D. Leonard,56,F,Open,,,,,SBD,Single-ply
T. Thompson,56,F,Open,,,,,SBD,Single-ply
E. Gerkin,56,F,Open,,,,,SBD,Single-ply
D. Avery,56,F,Open,,,,,SBD,Single-ply
K. Fontenot,56,F,Open,,,,,SBD,Single-ply
L. Champion,60,F,Open,,,,,SBD,Single-ply
L. Schneider,67.5,F,Open,,,,,SBD,Single-ply
P. Austin,67.5,F,Open,,,,,SBD,Single-ply
E. Stringfield,67.5,F,Open,,,,,SBD,Single-ply
S. Schwenke,67.5,F,Open,,,,,SBD,Single-ply
E. Boyd,67.5,F,Open,,,,,SBD,Single-ply
H. Pitard,90,M,Masters 40-49,,,,,SBD,Single-ply
F. Lyon,82.5,M,Masters 40-49,,,,,SBD,Single-ply
J. Adams,,M,Masters 40-49,,,,,SBD,Single-ply
J. Haga,110,M,Masters 40-49,,,,,SBD,Single-ply
R. Roy,110,M,Masters 40-49,,,,,SBD,Single-ply
B. Bates,110,M,Masters 40-49,,,,,SBD,Single-ply
B. Sinclair,,M,Masters 40-49,,,,,SBD,Single-ply
D. Martin,125+,M,Masters 40-49,,,,,SBD,Single-ply
C. Kuehn,,M,Masters 50-59,,,,,SBD,Single-ply
G. Stevens,,M,Masters 60+,,,,,SBD,Single-ply
K. Jones,52,M,Open,,,,,SBD,Single-ply
B. Taylor,52,M,Open,,,,,SBD,Single-ply
C. Warnick,56,M,Open,,,,,SBD,Single-ply
T. Smith,56,M,Open,,,,,SBD,Single-ply
T. Thompson,56,M,Open,,,,,SBD,Single-ply
M. Duhon,56,M,Open,,,,,SBD,Single-ply
B. White,60,M,Open,,,,,SBD,Single-ply
D. Rogers,60,M,Open,,,,,SBD,Single-ply
John Ronza III,67.5,M,Open,,,,,SBD,Single-ply
G. Venator,67.5,M,Open,,,,,SBD,Single-ply
B. Bell,67.5,M,Open,,,,,SBD,Single-ply
T. Miller,67.5,M,Open,,,,,SBD,Single-ply
T. McDonald,67.5,M,Open,,,,,SBD,Single-ply
F. Restivo,67.5,M,Open,,,,,SBD,Single-ply
J. Reno,67.5,M,Open,,,,,SBD,Single-ply
G. Graves,67.5,M,Open,,,,,SBD,Single-ply
S. Dupuy,67.5,M,Open,,,,,SBD,Single-ply
S. Martin,67.5,M,Open,,,,,SBD,Single-ply
B. Pipes,67.5,M,Open,,,,,SBD,Single-ply
G. Capps,67.5,M,Open,,,,,SBD,Single-ply
John Inzer,75,M,Open,,,,,SBD,Single-ply
R. Bell,75,M,Open,,,,,SBD,Single-ply
J. Valenti,75,M,Open,,,,,SBD,Single-ply
K. Weir,75,M,Open,,,,,SBD,Single-ply
B. Grim,75,M,Open,,,,,SBD,Single-ply
T. Hill,75,M,Open,,,,,SBD,Single-ply
D. Baker,75,M,Open,,,,,SBD,Single-ply
A. Kirschner,75,M,Open,,,,,SBD,Single-ply
M. Fowler,75,M,Open,,,,,SBD,Single-ply
Dennis Wright,82.5,M,Open,,,,,SBD,Single-ply
S. Baldwin,82.5,M,Open,,,,,SBD,Single-ply
D. Canales,82.5,M,Open,,,,,SBD,Single-ply
R. Farmer,82.5,M,Open,,,,,SBD,Single-ply
F. Lyon,82.5,M,Open,,,,,SBD,Single-ply
R. Watson,82.5,M,Open,,,,,SBD,Single-ply
J. Anderson,82.5,M,Open,,,,,SBD,Single-ply
M. Sharpe,82.5,M,Open,,,,,SBD,Single-ply
B. Reilly,82.5,M,Open,,,,,SBD,Single-ply
T. Fields,82.5,M,Open,,,,,SBD,Single-ply
J. Jones,82.5,M,Open,,,,,SBD,Single-ply
B. Bush,82.5,M,Open,,,,,SBD,Single-ply
H. Lincoln,82.5,M,Open,,,,,SBD,Single-ply
J. Law,82.5,M,Open,,,,,SBD,Single-ply
