Name,WeightClassKg,WeightClassKg,Age,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Jon Shorr,52,50.01,14,Open,M,240,270,275,785,SBD,Single-ply,1
William Burr,52,,,Open,M,260,160,340,760,SBD,Single-ply,2
John Alegria,52,,,Open,M,215,175,345,735,SBD,Single-ply,3
Mikki Smith,52,,,Open,M,195,90,250,535,SBD,Single-ply,4
Tom McDermott,52,,,Open,M,150,155,195,500,SBD,Single-ply,5
Ken Gregg,56,,,Open,M,325,225,440,990,SBD,Single-ply,1
Jane Boettner,56,,,Open,F,265,135,320,720,SBD,Single-ply,1
Genoveva Ells,56,,,Open,M,255,165,300,720,SBD,Single-ply,2
Scott Miller,56,,,Open,M,170,180,205,555,SBD,Single-ply,3
Jeff Henricks,56,,,Open,M,180,150,205,535,SBD,Single-ply,4
Chuck Handsor,60,,,Open,M,525,130,560,1415,SBD,Single-ply,1
George Gavette,67.5,,,Open,M,380,265,450,1095,SBD,Single-ply,1
Howard Burgess,67.5,,,Open,M,310,290,430,1030,SBD,Single-ply,2
William Harrison,67.5,,,Open,M,335,245,385,965,SBD,Single-ply,3
Chris Niedbalski,67.5,,,Open,M,340,230,385,955,SBD,Single-ply,4
Tammy Campbell,67.5,,,Open,M,280,135,310,725,SBD,Single-ply,5
Ron Chambers,75,,,Open,M,465,290,545,1300,SBD,Single-ply,1
Steve Solis,75,,,Open,M,440,315,505,1260,SBD,Single-ply,2
Keith Rhoades,75,,,Open,M,560,285,410,1255,SBD,Single-ply,3
Gregg Ebeisole,75,,,Open,M,420,285,475,1180,SBD,Single-ply,4
John Gallagher,75,,,Open,M,470,235,475,1180,SBD,Single-ply,5
John Smoker,82.5,,,Open,M,560,290,510,1360,SBD,Single-ply,1
Bill McDonnell,82.5,,,Open,M,500,340,515,1355,SBD,Single-ply,2
Steve Allgeyer,82.5,,,Open,M,525,325,505,1355,SBD,Single-ply,3
Blaine Bregult,82.5,,,Open,M,425,300,580,1305,SBD,Single-ply,4
Frank Goodrich,82.5,,,Open,M,450,310,510,1270,SBD,Single-ply,5
John Bassi,90,,,Open,M,740,440,680,1860,SBD,Single-ply,1
Aaron Krupinski,90,,,Open,M,660,360,610,1630,SBD,Single-ply,2
Dak Zagzidti,90,,,Open,M,525,350,565,1440,SBD,Single-ply,3
Mark Mellinger,90,,,Open,M,515,320,525,1360,SBD,Single-ply,4
Dave Burke,90,,,Open,M,450,320,530,1300,SBD,Single-ply,5
Dave Love,100,,,Open,M,680,445,650,1775,SBD,Single-ply,1
Paul Urchick,100,,,Open,M,660,430,625,1715,SBD,Single-ply,2
John Weddle,100,,,Open,M,640,420,650,1710,SBD,Single-ply,3
John Brown,100,,,Open,M,585,360,630,1575,SBD,Single-ply,4
James Wood,100,,,Open,M,590,345,620,1555,SBD,Single-ply,5
Gary Burch,110,,,Open,M,680,430,600,1710,SBD,Single-ply,1
Mike Franklin,110,,,Open,M,650,365,625,1640,SBD,Single-ply,2
Stu Putman,110,,,Open,M,540,450,530,1520,SBD,Single-ply,3
Guy Bowser,110,,,Open,M,510,350,635,1495,SBD,Single-ply,4
E. Gaumbetli,110,,,Open,M,570,340,585,1495,SBD,Single-ply,5
Mike Nolano,125,,,Open,M,760,470,700,1930,SBD,Single-ply,1
Greg Brayman,125,,,Open,M,640,430,630,1700,SBD,Single-ply,2
D. Frankhouse,125,,,Open,M,600,430,600,1630,SBD,Single-ply,3
David Wills,125,,,Open,M,570,355,600,1525,SBD,Single-ply,4
Ernest Milligan,125,,,Open,M,550,325,600,1475,SBD,Single-ply,5
Rick Kessler,125+,,,Open,M,670,390,650,1710,SBD,Single-ply,1
Gerald Seeger,125+,,,Open,M,640,425,610,1675,SBD,Single-ply,2
Samuel Shivers,125+,129.5,,Masters,M,525,450,600,1575,SBD,Single-ply,1
Samuel Shivers,125+,129.5,,Open,M,525,450,600,1575,SBD,Single-ply,3
Robert Emens,125+,,,Open,M,335,175,430,940,SBD,Single-ply,4
