Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
Wiliam Jackson #1,52,Open,M,150,85,187.5,422.5,SBD,Single-ply
Mitch Echevarria,52,Open,M,155,87.5,147.5,390,SBD,Single-ply
Villers,52,Open,M,,,,,SBD,Single-ply
Joe Robinson,56,Open,M,180,125,205,510,SBD,Single-ply
Westbrook,56,Open,M,185,87.5,192.5,465,SBD,Single-ply
David Ramsey #1,56,Open,M,165,107.5,175,447.5,SBD,Single-ply
Mooney,56,Open,M,145,75,177.5,397.5,SBD,Single-ply
Chas Lawson,60,Open,M,207.5,105,250,562.5,SBD,Single-ply
Holland,60,Open,M,197.5,115,220,532.5,SBD,Single-ply
Watts,60,Open,M,182.5,100,205,487.5,SBD,Single-ply
Houck,60,Open,M,,,,,SBD,Single-ply
Ausby Alexander,67.5,Open,M,280,160,287.5,727.5,SBD,Single-ply
DeHart,67.5,Open,M,227.5,162.5,250,640,SBD,Single-ply
Dawson,67.5,Open,M,240,135,255,630,SBD,Single-ply
Roman,67.5,Open,M,220,135,240,595,SBD,Single-ply
Gene Bell,75,Open,M,305,200,295,800,SBD,Single-ply
Dennis Coholin,75,Open,M,212.5,135,227.5,575,SBD,Single-ply
Wimbush,75,Open,M,,,,,SBD,Single-ply
Gene Wilkinson,82.5,Open,M,292.5,182.5,280,755,SBD,Single-ply
McCurdey,82.5,Open,M,262.5,185,277.5,725,SBD,Single-ply
Yearby,82.5,Open,M,265,195,260,720,SBD,Single-ply
Hoch,82.5,Open,M,240,165,242.5,647.5,SBD,Single-ply
Benedix,82.5,Open,M,230,182.5,,,SBD,Single-ply
Bruce Takala,90,Open,M,307.5,205,315,827.5,SBD,Single-ply
Long,90,Open,M,300,175,300,775,SBD,Single-ply
Murdock,90,Open,M,287.5,152.5,320,760,SBD,Single-ply
Thomas,90,Open,M,255,177.5,300,732.5,SBD,Single-ply
Kuhon,90,Open,M,247.5,160,272.5,680,SBD,Single-ply
Jim Peques,100,Open,M,292.5,177.5,355,825,SBD,Single-ply
Brown,100,Open,M,277.5,192.5,302.5,772.5,SBD,Single-ply
Deshields,100,Open,M,300,197.5,272.5,770,SBD,Single-ply
Mitchell,100,Open,M,237.5,160,292.5,690,SBD,Single-ply
Willie Bell,110,Open,M,337.5,220,365,922.5,SBD,Single-ply
Patterson,110,Open,M,310,227.5,295,832.5,SBD,Single-ply
Bosken,110,Open,M,292.5,192.5,312.5,797.5,SBD,Single-ply
Gary Ward,125,Open,M,347.5,212.5,332.5,892.5,SBD,Single-ply
Meddaugh,125,Open,M,320,215,300,835,SBD,Single-ply
Benoit,125,Open,M,,,,,SBD,Single-ply
Perry Parker,125+,Open,M,257.5,230,295,882.5,SBD,Single-ply
Kevin Farber,125+,Open,M,292.5,215,315,822.5,SBD,Single-ply
Wyley,125+,Open,M,312.5,195,305,812.5,SBD,Single-ply
