Name,Sex,Event,Division,WeightClassKg,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
H. Marumoto,M,SBD,Open,52,Single-ply,,,,
Y. Kadokura,M,SBD,Open,52,Single-ply,,,,
S. Kurusu,M,SBD,Open,52,Single-ply,,,,
E. Ejiri,M,SBD,Open,52,Single-ply,,,,
Hideaki Inaba,M,SBD,Open,56,Single-ply,,,,
Hiroyuki Isagawa,M,SBD,Open,56,Single-ply,,,,
C. Mizoguchi,M,SBD,Open,56,Single-ply,,,,
S. Kujirai,M,SBD,Open,56,Single-ply,,,,
H. Kobayashi,M,SBD,Open,60,Single-ply,,,,
T. Sakaguchi,M,SBD,Open,60,Single-ply,,,,
H. Torisawa,M,SBD,Open,60,Single-ply,,,,
Y. Itokazu,M,SBD,Open,60,Single-ply,,,,
C. Itoh,M,SBD,Open,67.5,Single-ply,,,,
S. Shima,M,SBD,Open,67.5,Single-ply,,,,
T. Nagaoka,M,SBD,Open,67.5,Single-ply,,,,
H. Taira,M,SBD,Open,67.5,Single-ply,,,,
I. Suzuki,M,SBD,Open,67.5,Single-ply,,,,
E. Euda,M,SBD,Open,75,Single-ply,,,,
S. Yamaki,M,SBD,Open,75,Single-ply,,,,
H. Yamashita,M,SBD,Open,75,Single-ply,,,,
T. Matsuda,M,SBD,Open,75,Single-ply,,,,
T. Nakao,M,SBD,Open,82.5,Single-ply,,,,
T. Fujisawa,M,SBD,Open,82.5,Single-ply,,,,
Y. Nakamura,M,SBD,Open,82.5,Single-ply,,,,
T. Maeda,M,SBD,Open,90,Single-ply,,,,
F. Isaka,M,SBD,Open,90,Single-ply,,,,
H. Nashiro,M,SBD,Open,90,Single-ply,,,,
S. Asama,M,SBD,Open,90,Single-ply,,,,
M. Aota,M,SBD,Open,100,Single-ply,,,,
H. Suenaga,M,SBD,Open,100,Single-ply,,,,
M. Kuno,M,SBD,Open,100,Single-ply,,,,
S. Yoshida,M,SBD,Open,100,Single-ply,,,,
C. Wakushima,M,SBD,Open,100,Single-ply,,,,
Y. Kondoh,M,SBD,Open,100,Single-ply,,,,
K. Itoh,M,SBD,Open,100+,Single-ply,,,,
E. Matsukawa,M,SBD,Open,100+,Single-ply,,,,
