Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
B. Hawkins,52,Teen,M,95,57.5,120,272.5,SBD,Single-ply
T. Hignh,60,Teen,M,117.5,90,137.5,345,SBD,Single-ply
D. Huddart,67.5,Teen,M,155,102.5,157.5,415,SBD,Single-ply
J. Jordan,67.5,Teen,M,67.5,45,102.5,215,SBD,Single-ply
J. Green,75,Teen,M,220,110,197.5,527.5,SBD,Single-ply
R. Oliver,75,Teen,M,160,82.5,155,397.5,SBD,Single-ply
P. Rigby,82.5,Teen,M,222.5,137.5,210,570,SBD,Single-ply
D. Bowen,82.5,Teen,M,172.5,90,210,472.5,SBD,Single-ply
D. Brown,82.5,Teen,M,165,115,192.5,472.5,SBD,Single-ply
A. Washington,82.5,Teen,M,157.5,107.5,192.5,457.5,SBD,Single-ply
G. Boolin,100,Teen,M,202.5,120,230,552.5,SBD,Single-ply
J. Rauh,100,Teen,M,180,115,207.5,502.5,SBD,Single-ply
C. Brown,110,Teen,M,215,192.5,262.5,620,SBD,Single-ply
W. Murohy,82.5,Masters 40+,M,220,105,220,545,SBD,Single-ply
C. Weil,82.5,Masters 40+,M,162.5,110,212.5,485,SBD,Single-ply
R. Smith,82.5,Masters 40+,M,165,130,185,480,SBD,Single-ply
C. Doty,100,Masters 40+,M,215,120,232.5,572.5,SBD,Single-ply
R. Wheeler,100,Masters 40+,M,185,117.5,192.5,495,SBD,Single-ply
K. McGowan,56,Open,F,100,65,140,305,SBD,Single-ply
G. Jolen,60,1 Year,M,165,120,185,470,SBD,Single-ply
D. Abbey,67.5,1 Year,M,300,112.5,215,527.5,SBD,Single-ply
R. Evans,75,1 Year,M,237.5,132.5,260,630,SBD,Single-ply
C. Brown,75,1 Year,M,200,145,215,560,SBD,Single-ply
S. Welsh,82.5,1 Year,M,200,145,205,550,SBD,Single-ply
M. Noelish,90,1 Year,M,240,170,250,660,SBD,Single-ply
J. Winkler,90,1 Year,M,240,127.5,237.5,605,SBD,Single-ply
B. Sullivan,100,1 Year,M,277.5,182.5,277.5,660,SBD,Single-ply
A. Reed,100,1 Year,M,245,182.5,250,677.5,SBD,Single-ply
M. Alexander,100,1 Year,M,227.5,137.5,227.5,592.5,SBD,Single-ply
S. Harding,100,1 Year,M,192.5,165,195,367.5,SBD,Single-ply
W. Sapp,110,1 Year,M,290,180,312.5,782.5,SBD,Single-ply
R. Weber,110,1 Year,M,230,125,200,555,SBD,Single-ply
B. Lange,110,1 Year,M,192.5,165,195,367.5,SBD,Single-ply
Mike Nelson,52,Pure,M,227.5,122.5,170,520,SBD,Single-ply
G. Clark,52,Pure,M,140,72.5,177.5,390,SBD,Single-ply
D. Abbey,67.5,Pure,M,200,112.5,215,527.5,SBD,Single-ply
R. Evans,75,Pure,M,237.5,132.5,260,630,SBD,Single-ply
J. Green,75,Pure,M,220,110,197.5,527.5,SBD,Single-ply
R. Holcom,75,Pure,M,177.5,115,185,477.5,SBD,Single-ply
N. Hunt,82.5,Pure,M,185,112.5,200,497.5,SBD,Single-ply
S. Donze,82.5,Pure,M,177.5,85,182.5,445,SBD,Single-ply
R. Ward,90,Pure,M,260,140,262.5,662.5,SBD,Single-ply
M. Noelish,90,Pure,M,240,170,250,660,SBD,Single-ply
P. Rigby,90,Pure,M,222.5,137.5,210,570,SBD,Single-ply
M. Septer,90,Pure,M,142.5,102.5,172.5,417.5,SBD,Single-ply
C. Barrett,110,Pure,M,245,165,235,645,SBD,Single-ply
B. Polk,110,Pure,M,240,142.5,240,622.5,SBD,Single-ply
K. McDermott,110,Pure,M,222.5,137.5,205,565,SBD,Single-ply
B. Lange,110,Pure,M,192.5,165,195,367.5,SBD,Single-ply
J. Strand,125,Pure,M,262.5,170,267.5,700,SBD,Single-ply
G. Reid,125,Pure,M,162.5,115,222.5,500,SBD,Single-ply
