Name,WeightClassKg,Division,AgeClass,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
C. Taylor,44,Open,,F,,,,
C. Vergara,52,30-39,30-39,F,,,,
D. Dumpit,56,Open,,F,,,,
J. Brown,56,Open,,F,,,,
R. Martin,56,Open,,F,,,,
G. Orr,56,Open,,F,,,,
M. Caldwell,60,30-39,30-39,F,,,,
Vicky Steenrod,67.5,Open,,F,,,,
Leia Kawaii,67.5,30-39,30-39,F,,,,
G. Conarty,75,Open,,F,,,,
Pat Wagner,75,30-39,30-39,F,,,,
M. Simrod,75,30-39,30-39,F,,,,
I. Hayes,52,Open,,M,,,,
J. Shimada,60,Open,,M,,,,
O. Guillen,67.5,Open,,M,,,,
B. Rodriguez,67.5,40-49,40-49,M,,,,
F. Takashi,67.5,40-49,40-49,M,,,,
D. Bentley,75,30-39,30-39,M,,,,
S. Sheehan,75,30-39,30-39,M,,,,
J. Crockett,75,30-39,30-39,M,,,,
Mehmedbascitch,75,50-59,50-59,M,,,,
M. Zainer,82.5,Open,,M,,,,
L. Ciccarelli,82.5,Open,,M,,,,
J. Guerra,82.5,30-39,30-39,M,,,,
K. Ping Hong,82.5,60+,60-999,M,,,,
S. Anderson,90,Open,,M,,,,
D. Henry,90,Open,,M,,,,
R. Bales,90,Open,,M,,,,
D. Brewer,90,Open,,M,,,,
H. Munro,90,Open,,M,,,,
B. Dubin,90,Open,,M,,,,
W. Colon,90,Open,,M,,,,
M. Martinez,90,30-39,30-39,M,,,,
R. Waak,100,Open,,M,,,,
S. Gannon,100,30-39,30-39,M,,,,
R. Morris,100,40-49,40-49,M,,,,
D. Caldwell,110,Open,,M,,,,
J. Etherington,110,Open,,M,,,,
L. Merlo,110,30-39,30-39,M,,,,
T. Dadante,110,30-39,30-39,M,,,,
J. Etherington,110,30-39,30-39,M,,,,
D. Caldwell,110,40-49,40-49,M,,,,
Mike Collet,110,40-49,40-49,M,,,,
John Dumont,125,Open,,M,,,,
D. A'Antonio,125,Open,,M,,,,
C. Huwe,125,Open,,M,,,,
D. Badong,125,Open,,M,,,,
L. Grace,125,30-39,30-39,M,,,,
John Dumont,125,40-49,40-49,M,,,,
J. Baxter,125,40-49,40-49,M,,,,
C. Klehm,125,50-59,50-59,M,,,,
Mike Hall,125+,Open,,M,,,,
S. Millard,125+,30-39,30-39,M,,,,
