Name,BodyweightKg,Age,WeightClassKg,AgeClass
Doan Nguyen,,,52,
Kishore Dahlstrom,,,52,
Engle Cabacungan,,,56,
J. Clodfelter,,,56,
Marc Morishigre,,,60,
J. Pitcher,,,60,
Chares Lawson,,,60,
Lyndon Bannister,,,67.5,
Tolman Bannister,,,67.5,
B. Watters,,,67.5,
E. Lumpkin,,,67.5,
T. Welcome,,,67.5,
Kenny Griffith,,,75,
B. Baertlien,,,75,
B. Yamaoka,,,75,
K. Sakai,,,75,
M. Powell,,,75,
A. Homan,,,75,
M. Plumb,,,75,
M. Ruddy,,,75,
R. Carlson,,,75,
L. Viola,,,75,
Martin Beavers,,,75,
John Buffum,,,82.5,
E. Bower,,,82.5,
R. Escamilla,,,82.5,
R. Nielsen,,,82.5,
M. White,,,82.5,
P. Cook,,,82.5,
T. Wilksoinson,,,82.5,
J. Junt,,,82.5,
H. Gosthnian,,,82.5,
G. Martini,,,82.5,
D. Loveless,,,82.5,
T. Parks,,,82.5,
Colin Fabre,,,90,
Jessie Sale,,,90,
K. Rivard,,,90,
C. Miller,,,90,
S. Cotton,,,90,
D. Mahoney,,,90,
M. Atchley,,,90,
J. Moretti,,,90,
P. Carey,,,90,
M. Dickens,,,90,
Ted Quigg,,,100,
J. Boowers,,,100,
D. Kosten,,,100,
D. Richardson,,,100,
D. McDermaid,,,100,
A. Manso,,,100,
S. Goudey,,,100,
L. White,,,100,
Dennis Miner,,,110,
Mike O’Hearn,,,110,
Tony Castro,,,110,
F. Vogel,,,110,40-999
L. Turley,,,110,
Barry Groves,,,125+,
Mike Gruse,,,125+,40-999
Vincent Eldridge,,,125+,
Chun Chang,50.35,,52,
Mandy Sandberg,,17,52,
S. Magnusson,,,52,
L. Malidore,,,52,
Karen Lotze,53.98,,67.5,
L. Bell,,,67.5,
L. Huglet,,,67.5,
S. Poland,,,67.5,
J. White,,,67.5,
Nellie Sale,,,,13-19
P. Davis,,,,
L. Spray,,,,
P. Hard,,,,
K. Richardson,,,,
Sophie Trevino,51.26,17,,13-19
Nellie Sale,,,,13-19
Joann Gamez,46.72,,,13-19
C. Pack,,,,13-19
P. McCabed,,,,13-19
K. Mason,,,,13-19
T. Paisley,,,,13-19
Patricia Hard,,,,40-999
Robert Niendord,,,100,13-19
Steven Witte,79.83,,82.5,13-19
D. Rodriguez,,,,13-19
J. Ek,,,,13-19
R. Melson,,,,13-19
T. Fryar,,,,13-19
W. Richard,,,,13-19
R. Wilson,,,,13-19
J. Houk,,,,13-19
S. Lishan,,,,13-19
G. Martini,,,,13-19
Jimmie Quach,64.86,,67.5,13-19
Jacques Pitcher,58.97,,60,13-19
E. Cabacungan,,,,13-19
R. Peine,,,,13-19
Bud Bowers,,,,40-999
G. Miller,,,,40-999
B. Mahoney,,,,40-999
E. Cotton,,,,40-999
H. Gosthnian,,,,40-999
E. Long,,,,40-999
S. Thomes,,,,40-999
D. Loveless,,,,40-999
Mike Gruse,,,,45-49
Fred Vogel,,,,40-999
R. Smith,,,,40-999
C. Lehman,,,,40-999
