Place,Name,Division,Country,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event
1,Jackie Gestley,Open,USA,80,45,92.5,217.5,44,F,,,SBD
1,Felicia Magnaniella,Open,USA,107.5,55,125,287.5,52,F,,,SBD
1,Cynthia Light,Open,USA,110,67.5,110,287.5,67.5,F,,,SBD
1,Vika Kazunina,Open,USSR,100,65,100,265,75,F,,,SBD
1,Marion Smith,Masters,USA,117.5,75,137.5,330,82.5,F,,,SBD
1,Peggy Clary,Open,USA,182.5,92.5,165,440,90+,F,,,SBD
1,Curtis McLoy,Open,USA,195,110,207.5,512.5,56,M,,,SBD
1,Scott Polke,Open,USA,112.5,140,142.5,395,60,M,,,SBD
1,Gregg Dicrescenzo,Juniors,USA,272.5,147.5,227.5,647.5,67.5,M,,,SBD
2,Kevin Nunes,Juniors,USA,157.5,125,187.5,470,67.5,M,,,SBD
1,Robert Patterson,Open,USA,155,112.5,165,432.5,67.5,M,,,SBD
2,Robert Shihan,Open,USA,95,82.5,115,292.5,67.5,M,,,SBD
DQ,Yuriy Povetkin,Masters,USSR,222.5,,,,67.5,M,Юрий Поветкин,1939,SBD
1,Chris Marcus,Juniors,USA,180,95,215,490,75,M,,,SBD
1,Aleksandr Yarovikov,Open,USSR,270,190,270,730,75,M,Александр Яровиков,1961,SBD
2,Jeremy Sabin,Open,USA,240,137.5,222.5,600,75,M,,,SBD
3,Bernard Amlaw,Open,USA,100,155,100,355,75,M,,,SBD
4,Ken Persey,Open,USA,75,140,115,330,75,M,,,SBD
DQ,Fedor Tosunidi,Open,USSR,290,170,,,75,M,,1964,SBD
1,Alexander Lekomtsev,Open,USSR,300,180,302.5,782.5,82.5,M,Александр Лекомцев,1965,SBD
2,Lloyd Gestley,Open,USA,147.5,92.5,192.5,432.5,82.5,M,,,SBD
DQ,Vasiliy Savinykh,Open,USSR,290,195,,,82.5,M,Василий Савиных,1956,SBD
DQ,Konstantin Larin,Open,USSR,250,140,,,82.5,M,Константин Ларин,1965,SBD
DQ,Igor Sinеlnikov,Open,USSR,,185,,,82.5,M,Игорь Синельников,1961,SBD
1,Vladimir Minov,Open,USSR,300,162.5,340,802.5,90,M,,1957,SBD
2,Valeriy Kuznetsov,Open,USSR,305,195,300,800,90,M,Валерий Кузнецов,1952,SBD
3,Valerij Kraus,Open,USSR,285,190,305,780,90,M,,1959,SBD
4,Oleksandr Baranov,Open,USSR,290,190,290,770,90,M,Олександр Баранов,1958,SBD
5,Rex Freeman,Open,USA,240,167.5,242.5,650,90,M,,,SBD
6,Paul Murray,Open,USA,60,60,160,280,90,M,,,SBD
1,Tony Piazza,Masters,USA,227.5,137.5,205,570,90,M,,1944,SBD
1,Aleksandr Borovkov,Open,USSR,357.5,225,290,872.5,100,M,Александр Боровков,1961,SBD
2,Mikhail Romanov,Open,USSR,282.5,170,270,722.5,100,M,Михаил Романов,1964,SBD
3,Joe Jackman,Open,USA,277.5,150,262.5,690,100,M,,,SBD
4,Vincent Rood Robert,Open,USA,247.5,167.5,257.5,672.5,100,M,,1940,SBD
5,Steve Waldow,Open,USA,185,157.5,205,547.5,100,M,,,SBD
1,Larry Plumley,Masters,USA,255,167.5,252.5,675,100,M,,,SBD
1,Jim Clark,Juniors,USA,190,130,210,530,110,M,,,SBD
1,Mark Bogorad,Open,USSR,280,210,310,800,110,M,Марк Богорад,1948,SBD
2,Bronson Gambill,Open,USA,272.5,162.5,282.5,717.5,110,M,,,SBD
1,Jason Wisner,Juniors,USA,315,185,285,785,125+,M,,,SBD
1,Vladimir Mironov,Open,USSR,340,260,350,950,125,M,Владимир Миронов,1959,SBD
2,Doug Miles,Open,USA,220,150,227.5,597.5,125,M,,,SBD
