Name,Sex,Event,Equipment,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg
H. Marumoto,M,SBD,Single-ply,Open,52,175,100,170,445
K. Sasaki,M,SBD,Single-ply,Open,52,130,85,110,335
Hiroyuki Isagawa,M,SBD,Single-ply,Open,56,202.5,155,232.5,590
H. Kobayashi,M,SBD,Single-ply,Open,60,200,112.5,225,537.5
K. Kaneko,M,SBD,Single-ply,Open,60,190,105,230,525
M. Suzuki,M,SBD,Single-ply,Open,60,200,105,212.5,517.5
T. Sakaguchi,M,SBD,Single-ply,Open,60,185,115,202.5,507.5
Y. Itokazu,M,SBD,Single-ply,Open,60,180,125,185,490
S. Shima,M,SBD,Single-ply,Open,67.5,235,137.5,237.5,610
T. Nagaoka,M,SBD,Single-ply,Open,67.5,200,160,210,570
N. Nagatsuka,M,SBD,Single-ply,Open,67.5,192.5,110,250,550
S. Torii,M,SBD,Single-ply,Open,67.5,210,140,195,545
M. Izawa,M,SBD,Single-ply,Open,67.5,180,155,200,535
E. Ueda,M,SBD,Single-ply,Open,75,235,150,255,640
H. Yamashita,M,SBD,Single-ply,Open,75,235,125,265,625
T. Matsuda,M,SBD,Single-ply,Open,75,220,147.5,255,622.5
H. Ishii,M,SBD,Single-ply,Open,75,230,145,245,620
H. Nakajima,M,SBD,Single-ply,Open,75,240,130,240,610
T. Nakao,M,SBD,Single-ply,Open,82.5,270,165,275,710
H. Nakajima,M,SBD,Single-ply,Open,82.5,245,150,265,660
M. Ozaki,M,SBD,Single-ply,Open,82.5,245,147.5,240,632.5
T. Tachibana,M,SBD,Single-ply,Open,82.5,240,165,210,625
Y. Nakamura,M,SBD,Single-ply,Open,82.5,240,165,205,610
T. Maeda,M,SBD,Single-ply,Open,90,330,170,300,800
H. Nashiro,M,SBD,Single-ply,Open,90,270,182.5,230,682.5
S. Asama,M,SBD,Single-ply,Open,90,255,145,265,665
T. Saiwaka,M,SBD,Single-ply,Open,90,240,150,255,645
H. Suenaga,M,SBD,Single-ply,Open,100,260,180,272.5,712.5
A. Watanabe,M,SBD,Single-ply,Open,100,270,165,270,705
Y. Kondoh,M,SBD,Single-ply,Open,100,270,175,255,700
K. Tagawa,M,SBD,Single-ply,Open,100,260,170,250,680
G. Wakushima,M,SBD,Single-ply,Open,100,250,160,250,660
S. Yoshida,M,SBD,Single-ply,Open,110,250,180,265,695
E. Mukai,M,SBD,Single-ply,Open,110,240,150,240,630
Y. Yoshida,M,SBD,Single-ply,Open,125,300,180,280,760
K. Itoh,M,SBD,Single-ply,Open,125,310,170,265,745
