Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment
S. Shinner,,Open,F,61.24,38.56,83.91,183.71,1,SBD,Single-ply
B. Wollerson,,Open,F,52.16,36.29,79.38,167.83,2,SBD,Single-ply
C. Bristin,,Open,F,79.38,43.09,106.59,229.06,3,SBD,Single-ply
L. McFarland,,Open,F,65.77,29.48,81.65,176.9,4,SBD,Single-ply
D. Cotten,56,Class II,M,79.38,70.31,124.74,274.42,1,SBD,Single-ply
D. Schau,60,Class II,M,158.76,95.25,195.04,449.06,1,SBD,Single-ply
R. Henserling,60,Class II,M,122.47,92.99,165.56,381.02,2,SBD,Single-ply
A. Balstin,60,Class II,M,63.5,43.09,115.67,222.26,3,SBD,Single-ply
G. Anderson,67.5,Class II,M,158.76,117.93,192.78,469.47,1,SBD,Single-ply
R. Taylor,67.5,Class II,M,142.88,120.2,183.71,446.79,2,SBD,Single-ply
T. Edmond,67.5,Class II,M,136.08,74.84,181.44,392.36,3,SBD,Single-ply
R. Rogers,75,Class II,M,217.72,136.08,215.46,569.26,1,SBD,Single-ply
B. Odenwald,75,Class II,M,192.78,122.47,195.04,510.29,2,SBD,Single-ply
J. Lumley,75,Class II,M,142.88,102.06,170.1,415.04,3,SBD,Single-ply
B. Welch,82.5,Class II,M,197.31,145.15,240.4,582.87,1,SBD,Single-ply
J. Bosarge,82.5,Class II,M,247.21,113.4,215.46,576.06,2,SBD,Single-ply
J. Bailey,82.5,Class II,M,192.78,111.13,192.78,496.68,3,SBD,Single-ply
Mark Welch,90,Class II,M,233.6,199.58,247.21,680.39,1,SBD,Single-ply
B. Shinn,90,Class II,M,213.19,136.08,215.46,564.72,2,SBD,Single-ply
R. Wharton,100,Class II,M,254.01,156.49,254.01,664.51,1,SBD,Single-ply
R. Coleman,100,Class II,M,226.8,163.29,263.08,653.17,2,SBD,Single-ply
Brett Bramlett,110,Class II,M,301.64,219.99,254.01,775.64,1,SBD,Single-ply
W. Montgomery,110,Class II,M,249.48,190.51,285.76,725.75,2,SBD,Single-ply
S. Dickey,110,Class II,M,204.12,133.81,226.8,564.72,3,SBD,Single-ply
C. Allen,110,Class II,M,158.76,88.45,204.12,451.32,4,SBD,Single-ply
R. Ferr,125,Class II,M,217.72,192.78,238.14,648.64,1,SBD,Single-ply
J. Lauro,125,Class II,M,226.8,136.08,226.8,589.67,2,SBD,Single-ply
D. Baggett,125+,Class II,M,269.89,170.1,272.16,712.14,1,SBD,Single-ply
D. Cooks,56,Open,M,68.04,52.16,122.47,242.67,1,SBD,Single-ply
D. Schau,60,Open,M,158.76,95.25,195.04,449.06,1,SBD,Single-ply
R. Henserling,60,Open,M,122.47,92.99,165.56,381.02,2,SBD,Single-ply
S. Guimbellot,60,Open,M,90.72,88.45,131.54,310.71,3,SBD,Single-ply
G. Anderson,67.5,Open,M,158.76,117.93,192.78,469.47,1,SBD,Single-ply
R. Rogers,75,Open,M,217.72,136.08,215.46,569.26,1,SBD,Single-ply
J. Lumley,75,Open,M,142.88,102.06,170.1,415.04,2,SBD,Single-ply
H. Allen,75,Open,M,106.59,61.24,133.81,301.64,3,SBD,Single-ply
B. Welch,82.5,Open,M,197.31,145.15,240.4,582.87,1,SBD,Single-ply
C. Fermister,82.5,Open,M,106.59,129.27,204.12,439.99,2,SBD,Single-ply
Jessie Kellum,90,Open,M,362.87,222.26,288.03,873.17,1,SBD,Single-ply
M. Welch,90,Open,M,233.6,199.58,247.21,680.39,2,SBD,Single-ply
C. Span,90,Open,M,158.76,124.74,206.38,489.88,3,SBD,Single-ply
Jeff Douglas,100,Open,M,353.8,210.92,337.93,902.65,1,SBD,Single-ply
R. Wharton,100,Open,M,254.01,156.49,254.01,664.51,2,SBD,Single-ply
R. Coleman,100,Open,M,226.8,163.29,263.08,653.17,3,SBD,Single-ply
B. Bramlett,110,Open,M,301.64,219.99,254.01,775.64,1,SBD,Single-ply
D. Lott,110,Open,M,292.57,167.83,272.16,732.55,2,SBD,Single-ply
B. Jackson,110,Open,M,158.76,92.99,204.12,455.86,3,SBD,Single-ply
J. Lauro,125,Open,M,226.8,136.08,226.8,589.67,1,SBD,Single-ply
D. Baggett,125+,Open,M,269.89,170.1,272.16,712.14,1,SBD,Single-ply
R. Smith,60,Open,M,,111.13,,111.13,1,SBD,Single-ply
D. Schau,60,Open,M,,95.25,,95.25,2,SBD,Single-ply
R. Henserling,60,Open,M,,92.99,,92.99,3,SBD,Single-ply
C. Robinson,67.5,Open,M,,120.2,,120.2,1,SBD,Single-ply
B. Odenwald,75,Open,M,,122.47,,122.47,1,SBD,Single-ply
B. Welch,82.5,Open,M,,145.15,,145.15,1,SBD,Single-ply
M. Welch,90,Open,M,,199.58,,199.58,1,SBD,Single-ply
B. Brady,90,Open,M,,154.22,,154.22,2,SBD,Single-ply
B. Shinn,90,Open,M,,136.08,,136.08,3,SBD,Single-ply
J. Douglas,100,Open,M,,210.92,,210.92,1,SBD,Single-ply
R. Coleman,100,Open,M,,163.29,,163.29,2,SBD,Single-ply
K. Francis,100,Open,M,,158.76,,158.76,3,SBD,Single-ply
Brett Bramlett,110,Open,M,,217.72,,217.72,1,SBD,Single-ply
J. Jackson,110,Open,M,,215.46,,215.46,2,SBD,Single-ply
R. Walker,110,Open,M,,206.38,,206.38,3,SBD,Single-ply
D. Lott,110,Open,M,,167.83,,167.83,4,SBD,Single-ply
