Name,WeightClassKg,Division,Sex,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
C. Balanga,56,Natural,M,,155,110,165,430,SBD,Single-ply,1
J. Jefferson,60,Natural,M,58.97,122.5,70,170,362.5,SBD,Single-ply,1
W. Diaz,67.5,Natural,M,67.13,130,97.5,157.5,382.5,SBD,Single-ply,1
A. Prieto,75,Natural,M,,195,120,217.5,532.5,SBD,Single-ply,1
J. Murphy,75,Natural,M,,197.5,127.5,207.5,532.5,SBD,Single-ply,2
T. Lang,75,Natural,M,,177.5,110,192.5,477.5,SBD,Single-ply,3
D. Ochs,82.5,Natural,M,,197.5,142.5,227.5,567.5,SBD,Single-ply,1
R. Smith,82.5,Natural,M,,212.5,132.5,222.5,567.5,SBD,Single-ply,2
K. Yoshida,82.5,Natural,M,,215,115,217.5,547.5,SBD,Single-ply,3
R. DeLeon,82.5,Natural,M,,182.5,137.5,217.5,537.5,SBD,Single-ply,4
D. Lewandowski,90,Natural,M,,260,147.5,275,682.5,SBD,Single-ply,1
R. Waak,100,Natural,M,,257.5,152.5,280,690,SBD,Single-ply,1
R. Irwin,100,Natural,M,,247.5,145,257.5,647.5,SBD,Single-ply,2
C. Rodriguez,100,Natural,M,,212.5,145,287.5,647.5,SBD,Single-ply,3
K. Jordan,100,Natural,M,,255,142.5,240,637.5,SBD,Single-ply,4
T. Riggs,100,Natural,M,,182.5,145,232.5,562.5,SBD,Single-ply,5
R. Gwin,100,Natural,M,90.72,165,115,187.5,470,SBD,Single-ply,6
Nick Best,110,Natural,M,,280,182.5,275,737.5,SBD,Single-ply,1
O. Rivera,110,Natural,M,,235,197.5,292.5,725,SBD,Single-ply,2
E. Pond,110,Natural,M,,235,160,227.5,622.5,SBD,Single-ply,3
J. Hucks,110,Natural,M,,167.5,125,210,502.5,SBD,Single-ply,4
P. Curtis,125,Natural,M,,272.5,185,285,742.5,SBD,Single-ply,1
K. Scott,125,Natural,M,,227.5,185,265,677.5,SBD,Single-ply,2
B. McCune,125,Natural,M,123.83,260,160,252.5,672.5,SBD,Single-ply,3
D. Dallmeyer,125,Natural,M,123.38,260,150,257.5,665,SBD,Single-ply,4
E. Gularte,125,Natural,M,,237.5,182.5,247.5,665,SBD,Single-ply,5
C. Balanga,56,Open,M,,155,110,165,430,SBD,Single-ply,1
J. Jefferson,60,Open,M,58.97,122.5,70,170,362.5,SBD,Single-ply,1
W. Diaz,67.5,Open,M,67.13,130,97.5,157.5,382.5,SBD,Single-ply,1
J. Murphy,75,Open,M,,197.5,127.5,207.5,532.5,SBD,Single-ply,1
T. Lang,75,Open,M,,177.5,110,192.5,477.5,SBD,Single-ply,2
D. Ochs,82.5,Open,M,,197.5,142.5,227.5,567.5,SBD,Single-ply,1
K. Elder,90,Open,M,,282.5,165,287.5,735,SBD,Single-ply,1
P. McNeil,90,Open,M,,255,195,240,690,SBD,Single-ply,2
B. Dugan,90,Open,M,,245,172.5,252.5,670,SBD,Single-ply,3
B. Olson,90,Open,M,,205,137.5,205,547.5,SBD,Single-ply,4
R. Irwin,100,Open,M,,247.5,145,257.5,647.5,SBD,Single-ply,1
C. Rodriguez,100,Open,M,,212.5,145,287.5,647.5,SBD,Single-ply,2
R. Casio,100,Open,M,,237.5,162.5,240,642.5,SBD,Single-ply,3
R. Gwin,100,Open,M,90.72,165,115,187.5,470,SBD,Single-ply,4
Nick Best,110,Open,M,,280,182.5,275,737.5,SBD,Single-ply,1
D. Dallmeyer,125,Open,M,,260,150,257.5,667.5,SBD,Single-ply,1
S. Cantor,,Open,F,,125,85,140,350,SBD,Single-ply,1
K. Gladich,,Open,F,,110,42.5,100,252.5,SBD,Single-ply,2
M. Ernstrom,,Teen 16-17,M,,120,70,122.5,312.5,SBD,Single-ply,1
J. Akune,,Teen 18-19,M,,167.5,132.5,202.5,500,SBD,Single-ply,1
B. McCune,,Masters 40-44,M,123.83,260,160,252.5,672.5,SBD,Single-ply,1
D. Dallmayer,,Masters 40-44,M,123.38,260,150,257.5,667.5,SBD,Single-ply,2
W. Cracknell,,Masters 40-44,M,98.43,227.5,167.5,237.5,632.5,SBD,Single-ply,3
W. Diaz,,Masters 45-49,M,67.13,130,97.5,157.5,382.5,SBD,Single-ply,1
P. Wilson,,Masters 50-54,M,84.37,220,152.5,222.5,595,SBD,Single-ply,1
J. Jefferson,,Masters 50-54,M,58.97,122.5,70,170,362.5,SBD,Single-ply,4
R. Gwin,,Masters 50-54,M,90.72,165,115,187.5,470,SBD,Single-ply,2
C. Marshall,,Masters 50-54,M,92.08,175,97.5,185,457.5,SBD,Single-ply,3
