Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Ernesto Milian,60,Open,M,520,280,520,1320,SBD,Single-ply,1
J. Price,67.5,Open,M,300,250,360,910,SBD,Single-ply,1
A. Lopez,75,Open,M,425,325,450,1200,SBD,Single-ply,1
L. Iglesias,75,Open,M,340,190,365,895,SBD,Single-ply,2
K. Harriman,82.5,Open,M,620,425,540,1585,SBD,Single-ply,1
P. Wilson,90,Open,M,550,340,625,1515,SBD,Single-ply,1
M. Martinez,90,Open,M,640,275,590,1505,SBD,Single-ply,2
J. Ulvang,90,Open,M,585,355,540,1480,SBD,Single-ply,3
A. Velasquez,90,Open,M,575,355,525,1455,SBD,Single-ply,4
C. Loy,90,Open,M,530,310,530,1370,SBD,Single-ply,5
K. Tillman,90,Open,M,535,285,525,1345,SBD,Single-ply,6
R. Burgess,90,Open,M,500,300,435,1235,SBD,Single-ply,7
P. Jacobs,100,Open,M,600,360,600,1560,SBD,Single-ply,1
B. Waring,100,Open,M,365,290,465,1120,SBD,Single-ply,2
M. Vaness,110,Open,M,650,450,600,1700,SBD,Single-ply,1
M. Wetzel,125,Open,M,710,455,705,1870,SBD,Single-ply,1
L. Lavarro,125,Open,M,700,510,650,1860,SBD,Single-ply,2
R. Failla,125,Open,M,655,435,675,1765,SBD,Single-ply,3
Garry Frank,125+,Open,M,825,500,750,2075,SBD,Single-ply,1
B. Page,125+,Open,M,675,380,505,1560,SBD,Single-ply,2
C. Zawatski,75,Novice,M,435,230,435,1100,SBD,Single-ply,1
J. Jolguera,75,Novice,M,350,260,405,1015,SBD,Single-ply,2
F. Durand,82.5,Novice,M,525,440,475,1440,SBD,Single-ply,1
E. Hughes,82.5,Novice,M,325,390,495,1210,SBD,Single-ply,2
E. Dolan,82.5,Novice,F,315,225,355,895,SBD,Single-ply,3
E. Lestino,90,Novice,M,500,340,525,1365,SBD,Single-ply,1
R. Pascale,90,Novice,M,440,275,440,1155,SBD,Single-ply,2
J. Wymann,90,Novice,M,475,285,385,1145,SBD,Single-ply,3
B. Ruiz,90,Novice,M,500,,520,,SBD,Single-ply,DQ
T. Gonzalez,100,Novice,M,605,360,575,1540,SBD,Single-ply,1
R. Garza,100,Novice,M,500,365,550,1415,SBD,Single-ply,2
E. Lane,100,Novice,M,490,340,545,1375,SBD,Single-ply,3
P. Joseph,100,Novice,M,505,345,500,1350,SBD,Single-ply,4
C. Smith,110,Novice,M,575,350,575,1500,SBD,Single-ply,1
M. Bunn,110,Novice,M,550,325,580,1455,SBD,Single-ply,2
B. Quinn,110,Novice,M,530,360,535,1425,SBD,Single-ply,3
P. Donahue,110,Novice,M,450,385,465,1300,SBD,Single-ply,4
C. Hill,125,Novice,M,600,435,550,1585,SBD,Single-ply,1
J. Jara,125,Novice,M,610,350,570,1530,SBD,Single-ply,2
B. Reynolds,125+,Novice,M,555,320,510,1385,SBD,Single-ply,1
