Name,WeightClassKg,Division,Sex,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
S. White,,Open,F,82.78,49.9,96.39,229.06,SBD,Single-ply,1
T. Weisberger,,Open,F,70.31,48.76,74.84,193.91,SBD,Single-ply,2
T. Myers,,Open,F,64.64,31.75,70.31,166.7,SBD,Single-ply,3
C. Parasoon,,Open,F,48.76,20.41,52.16,121.34,SBD,Single-ply,4
C. Morrison,,Open,F,39.69,24.95,40.82,105.46,SBD,Single-ply,5
P. Pastola,,Open,F,34.02,21.55,52.16,107.73,SBD,Single-ply,6
John Black,90,Masters,M,138.35,71.44,121.34,331.12,SBD,Single-ply,1
Len Mintus,,Masters,M,115.67,74.84,104.33,294.84,SBD,Single-ply,2
L. Smith,140+,Masters,M,113.4,64.64,95.25,273.29,SBD,Single-ply,3
J. Bartlome,,Masters,M,79.38,48.76,95.25,223.39,SBD,Single-ply,4
J. Bach,52,Open,M,47.63,38.56,58.97,145.15,SBD,Single-ply,1
J. Bach,52,Class II,M,47.63,38.56,58.97,145.15,SBD,Single-ply,1
B. Taylor,52,Class II,M,43.09,23.81,48.76,115.67,SBD,Single-ply,2
A. McGhee,52,Class II,M,28.35,14.74,36.29,79.38,SBD,Single-ply,3
M. Garcia,60,Class II,M,56.7,46.49,70.31,173.5,SBD,Single-ply,1
D. Cavin,67.5,Open,M,92.99,79.38,100.92,273.29,SBD,Single-ply,1
J. Taylor,67.5,Open,M,103.19,60.1,95.25,258.55,SBD,Single-ply,2
B. Killian,67.5,Open,M,92.99,60.1,88.45,241.54,SBD,Single-ply,3
J. Zapinski,67.5,Open,M,78.24,52.16,96.39,226.8,SBD,Single-ply,4
M. Judge,67.5,Class II,M,89.58,63.5,89.58,242.67,SBD,Single-ply,1
J. Zapinski,67.5,Class II,M,78.24,52.16,96.39,226.8,SBD,Single-ply,2
J. Dye,67.5,Class II,M,88.45,49.9,87.32,225.66,SBD,Single-ply,3
R. Hamscher,67.5,Class II,M,80.51,52.16,82.78,215.46,SBD,Single-ply,4
Angelo Berardinelli,75,Open,M,123.6,73.71,113.4,310.71,SBD,Single-ply,1
J. Butchar,75,Open,M,106.59,61.24,106.59,274.42,SBD,Single-ply,2
C. Stonebraker,75,Open,M,92.99,61.24,97.52,251.74,SBD,Single-ply,3
M. Zapinski,75,Open,M,88.45,55.57,97.52,241.54,SBD,Single-ply,4
M. Cervello,75,Class II,M,107.73,68.04,110,285.76,SBD,Single-ply,1
M. Zapinski,75,Class II,M,88.45,55.57,97.52,241.54,SBD,Single-ply,2
T. Lockard,75,Class II,M,79.38,55.57,82.78,217.72,SBD,Single-ply,3
J. Montrie,82.5,Open,M,106.59,75.98,116.8,299.37,SBD,Single-ply,1
M. Walter,82.5,Open,M,107.73,63.5,108.86,280.09,SBD,Single-ply,2
J. Montrie,82.5,Class II,M,106.59,75.98,116.8,299.37,SBD,Single-ply,1
D. Decaprio,82.5,Class II,M,103.19,72.57,114.53,290.3,SBD,Single-ply,2
M. Walter,82.5,Class II,M,107.73,63.5,108.86,280.09,SBD,Single-ply,3
B. Newman,82.5,Class II,M,95.25,60.1,87.32,242.67,SBD,Single-ply,4
John Black,90,Open,M,138.35,71.44,121.34,331.12,SBD,Single-ply,1
T. Fox,90,Open,M,108.86,79.38,107.73,295.97,SBD,Single-ply,2
T. Fox,90,Class II,M,108.86,79.38,107.73,295.97,SBD,Single-ply,1
P. Maria,90,Class II,M,90.72,71.44,100.92,263.08,SBD,Single-ply,2
Chuck Vogelpohl,100,Open,M,145.15,97.52,144.02,386.69,SBD,Single-ply,1
Paul Urchick,100,Open,M,148.55,88.45,136.08,373.08,SBD,Single-ply,2
B. Eucker,100,Open,M,146.28,81.65,137.21,365.14,SBD,Single-ply,3
M. Keshishiah,100,Open,M,124.74,92.99,123.6,341.33,SBD,Single-ply,4
T. Lillie,100,Open,M,97.52,79.38,108.86,285.76,SBD,Single-ply,5
A. Henderson,100,Open,M,111.13,64.64,105.46,281.23,SBD,Single-ply,6
A. Henderson,100,Class II,M,111.13,64.64,105.46,281.23,SBD,Single-ply,1
D. Kleih,110,Class II,M,124.74,73.71,121.34,319.78,SBD,Single-ply,1
D. Damrom,110,Class II,M,113.4,80.51,117.93,311.85,SBD,Single-ply,2
T. Angel,110,Class II,M,113.4,61.24,113.4,288.03,SBD,Single-ply,3
M. Biehl,125,Open,M,161.03,111.13,129.27,401.43,SBD,Single-ply,1
T. Scott,125,Open,M,134.94,97.52,124.74,357.2,SBD,Single-ply,2
R. Nogent,125,Class II,M,123.6,65.77,113.4,302.77,SBD,Single-ply,1
S. Blankenship,140+,Open,M,148.55,88.45,117.93,354.94,SBD,Single-ply,1
M. Borda,140+,Open,M,140.61,89.58,123.6,353.8,SBD,Single-ply,2
J. Orick,140+,Open,M,133.81,103.19,111.13,348.13,SBD,Single-ply,3
L. Smith,140+,Class II,M,113.4,64.64,95.25,273.29,SBD,Single-ply,1
