Name,Age,WeightClassKg,Division,Sex,Best3DeadliftKg,TotalKg,Event,Equipment,Place
Chris Jabon,,44,Teen 2,F,220,220,D,Single-ply,1
Debbie Hastings,,44,Masters 1,F,192,192,D,Single-ply,1
Melinda Stewart,,50.5,Teen 2,F,303,303,D,Single-ply,1
Jamie Gordon,,50.5,Teen 2,F,203,203,D,Single-ply,2
Michelle Giampietro,,50.5,Open,F,275,275,D,Single-ply,1
Michelle Giampietro,,50.5,Lifetime,F,275,275,D,Single-ply,1
Abigail Stine,,50.5,Masters 1,F,286,286,D,Single-ply,1
L. Lock,,53,Collegiate,F,292,292,D,Single-ply,1
Ronda Clark,,55.5,Open,F,347,347,D,Single-ply,1
Felicia Manganiello,,55.5,Open,F,330,330,D,Single-ply,2
C. Galotti,,55.5,Open,F,220,220,D,Single-ply,3
Lucy Adney,,55.5,Teen 1,F,198,198,D,Single-ply,1
Jessica Bibbee,,55.5,Teen 2,F,281,281,D,Single-ply,1
Naomi Hill,,55.5,Teen 2,F,264,264,D,Single-ply,2
Jennifer Johansen,,55.5,Teen 2,F,187,187,D,Single-ply,3
Joann Dodd,,55.5,Submasters,F,270,270,D,Single-ply,1
Ronda Clark,,55.5,Armed Forces,F,347,347,D,Single-ply,1
Felicia Manganiello,,55.5,Masters 1,F,330,330,D,Single-ply,1
R. Giacomo,,55.5,Masters 1,F,220,220,D,Single-ply,2
Ronda Clark,,55.5,Lifetime,F,347,347,D,Single-ply,1
K. Cullinen,,55.5,Lifetime,F,271,271,D,Single-ply,2
R. Miller,,58.5,Open,F,374,374,D,Single-ply,1
Amy McAllister,,58.5,Teen 1,F,253,253,D,Single-ply,1
R. Miller,,58.5,Lifetime,F,374,374,D,Single-ply,1
Sue Buddle,,58.5,Lifetime,F,270,270,D,Single-ply,2
Jenn Saleem,,63,Teen 2,F,275,275,D,Single-ply,1
Holly Nash,,63,Teen 3,F,308,308,D,Single-ply,1
Nichole Schepperle,,63,Teen 3,F,303,303,D,Single-ply,2
Lorraine Jello,,63,Lifetime,F,336,336,D,Single-ply,1
Holly Nash,,63,Open,F,308,308,D,Single-ply,1
Dara Scott,,63,Masters 1,F,374,374,D,Single-ply,1
Lorraine Jello,,63,Masters 1,F,336,336,D,Single-ply,2
Regina Boyland,,63,Masters 1,F,292,292,D,Single-ply,3
Michelle Morrison,,70,Teen 1,F,242,242,D,Single-ply,1
Kristie Calderone,,70,Teen 3,F,369,369,D,Single-ply,1
Michelle DeGennaro,,70,Open,F,413,413,D,Single-ply,1
L. Meade,,70,Masters 1,F,248,248,D,Single-ply,1
Tracey Vanchiro,,70,Masters 1,F,220,220,D,Single-ply,2
Michelle DeGennaro,,70,Lifetime,F,413,413,D,Single-ply,1
Linda Jo Belsito,,80,Open,F,391,391,D,Single-ply,1
Susan Welsh,,80,Submasters,F,253,253,D,Single-ply,1
Linda Jo Belsito,,80,Lifetime,F,391,391,D,Single-ply,1
Linda Jo Belsito,,80,Masters 1,F,391,391,D,Single-ply,1
Peggy Cropper,,80+,Lifetime,F,391,391,D,Single-ply,1
Ken Snell,,52,Open,M,418,418,D,Single-ply,1
Andy Leonard,,52,Open,M,380,380,D,Single-ply,2
Troy Pruzinsky,,52,Teen 1,M,369,369,D,Single-ply,1
Louis Barillaro,,52,Teen 1,M,198,198,D,Single-ply,2
Andy Leonard,,52,Special Olympics,M,380,380,D,Single-ply,1
Ken Snell,,52,Lifetime,M,418,418,D,Single-ply,1
Roger Thompson,,52,Lifetime,M,418,418,D,Single-ply,2
Andy Leonard,,52,Lifetime,M,380,380,D,Single-ply,3
Ken Snell,,52,Submasters,M,418,418,D,Single-ply,1
Geoffrey Nash,,60,Open,M,429,429,D,Single-ply,1
John Haschker,,60,Open,M,414,414,D,Single-ply,2
Craig Solomon,,60,Lifetime,M,314,314,D,Single-ply,1
Gary Sutcliffe,,60,Special Olympics,M,424,424,D,Single-ply,1
Tom Madonna,,60,Teen 1,M,275,275,D,Single-ply,1
Geoffrey Nash,,60,Teen 2,M,429,429,D,Single-ply,1
Kevin Leal,,60,Teen 2,M,314,314,D,Single-ply,2
Jerry Adney,,60,Teen 2,M,297,297,D,Single-ply,3
Nick Theodorou,,67.5,Open,M,540,540,D,Single-ply,1
Todd Franklin,,67.5,Open,M,479,479,D,Single-ply,2
R. Miller,,67.5,Open,M,429,429,D,Single-ply,3
M. Valinoti,,67.5,Open,M,424,424,D,Single-ply,4
R. Rhodes,,67.5,Open,M,385,385,D,Single-ply,5
