Name,WeightClassKg,Division,Sex,Best3BenchKg,TotalKg,Place,Event,Equipment
A. Delmore,,Open,F,99.79,99.79,1,B,Single-ply
C. Wolf,,Open,F,129.27,129.27,2,B,Single-ply
C. Bennett,,Open,F,72.57,72.57,3,B,Single-ply
G. Brown,,Open,F,52.16,52.16,4,B,Single-ply
M. Kelcourse,,Teen,M,199.58,199.58,1,B,Single-ply
N. Jimenez,,Teen,M,104.33,104.33,2,B,Single-ply
I. Mejia,,Teen,M,147.42,147.42,3,B,Single-ply
P. Martel,,Teen,M,124.74,124.74,4,B,Single-ply
B. Gay,,Teen,M,156.49,156.49,5,B,Single-ply
A. Ham,,Teen,M,74.84,74.84,6,B,Single-ply
T. Young,,Teen,M,120.2,120.2,7,B,Single-ply
T. Muriello,,Teen,M,113.4,113.4,8,B,Single-ply
T. Hignite,,Teen,M,74.84,74.84,9,B,Single-ply
M. Styer,,Teen,M,79.38,79.38,10,B,Single-ply
J. Styer,,Teen,M,,,DQ,B,Single-ply
R. Prince,,Masters 40-49,M,224.53,224.53,1,B,Single-ply
J. Voight,110,Masters 40-49,M,188.24,188.24,2,B,Single-ply
R. Luis,110,Masters 40-49,M,192.78,192.78,3,B,Single-ply
D. Hagan,,Masters 40-49,M,174.63,174.63,4,B,Single-ply
R. Mathews,,Masters 40-49,M,149.69,149.69,5,B,Single-ply
M. Violand,,Masters 40-49,M,165.56,165.56,6,B,Single-ply
T. Snyder,,Masters 40-49,M,106.59,106.59,7,B,Single-ply
P. Piccolo,,Masters 50+,M,172.37,172.37,1,B,Single-ply
D. Hingson,,Masters 50+,M,185.97,185.97,2,B,Single-ply
S. Meyen,,Masters 50+,M,151.95,151.95,3,B,Single-ply
J. Pelt,,Masters 50+,M,136.08,136.08,4,B,Single-ply
E. Foran,,Masters 50+,M,102.06,102.06,5,B,Single-ply
Z. Blake,,Wheelchair,M,79.38,79.38,1,B,Single-ply
M. Maher,,Wheelchair,M,90.72,90.72,2,B,Single-ply
J. Smith,,Wheelchair,M,79.38,79.38,3,B,Single-ply
W. Davis,60,Open,M,117.93,117.93,1,B,Single-ply
M. Maynor,60,Open,M,90.72,90.72,2,B,Single-ply
J. Heuring,67.5,Open,M,,,DQ,B,Single-ply
J. Herman,75,Open,M,45.26,45.26,1,B,Single-ply
C. Bentley,75,Open,M,58.64,58.64,2,B,Single-ply
J. Brescia,75,Open,M,32.92,32.92,3,B,Single-ply
E. Diaz,75,Open,M,23.66,23.66,4,B,Single-ply
R. Schulz,75,Open,M,90.53,90.53,5,B,Single-ply
W. Alexis,75,Open,M,47.32,47.32,6,B,Single-ply
M. Turner,75,Open,M,66.87,66.87,7,B,Single-ply
D. Bellmore,82.5,Open,M,56.58,56.58,1,B,Single-ply
R. Bennett,82.5,Open,M,70.98,70.98,2,B,Single-ply
McEleyn,82.5,Open,M,33.95,33.95,3,B,Single-ply
D. Schiffino,82.5,Open,M,54.52,54.52,4,B,Single-ply
R. Wilson,82.5,Open,M,51.44,51.44,5,B,Single-ply
T. Johnson,82.5,Open,M,33.95,33.95,6,B,Single-ply
J. Dobies,82.5,Open,M,36.01,36.01,7,B,Single-ply
P. Garfield,82.5,Open,M,,,8,B,Single-ply
M. Lambiase,82.5,Open,M,101.85,101.85,9,B,Single-ply
S. Domino,82.5,Open,M,85.38,85.38,10,B,Single-ply
T. Cooks,82.5,Open,M,87.44,87.44,DQ,B,Single-ply
R. Harris,90,Open,M,79.21,79.21,1,B,Single-ply
J. Brandau,90,Open,M,67.9,67.9,2,B,Single-ply
R. Daniels,90,Open,M,75.1,75.1,3,B,Single-ply
D. Bloomberg,90,Open,M,48.35,48.35,4,B,Single-ply
R. Caban,90,Open,M,78.19,78.19,DQ,B,Single-ply
R. Lawrence,100,Open,M,84.35,84.35,1,B,Single-ply
T. Vellake,100,Open,M,68.92,68.92,2,B,Single-ply
J. White,100,Open,M,61.72,61.72,3,B,Single-ply
D. Wolf,100,Open,M,46.29,46.29,4,B,Single-ply
L. Peterson,100,Open,M,36.01,36.01,5,B,Single-ply
J. Belluomo,100,Open,M,41.15,41.15,6,B,Single-ply
C. Jones,100,Open,M,36.01,36.01,7,B,Single-ply
J. Cabble,100,Open,M,53.49,53.49,8,B,Single-ply
D. Washington,100,Open,M,41.15,41.15,9,B,Single-ply
Sliwa,100,Open,M,,,DQ,B,Single-ply
E. Depaima,100,Open,M,174.63,174.63,DQ,B,Single-ply
Jacobs,110,Open,M,165.56,165.56,1,B,Single-ply
S. Jimenez,110,Open,M,161.03,161.03,2,B,Single-ply
J. Voight,110,Open,M,151.95,151.95,3,B,Single-ply
M. Brienza,110,Open,M,140.61,140.61,4,B,Single-ply
R. Luis,110,Open,M,136.08,136.08,5,B,Single-ply
F. Gibbs,110,Open,M,117.93,117.93,6,B,Single-ply
Pullia,110,Open,M,188.24,188.24,7,B,Single-ply
Wilfred Strange,125,Open,M,188.24,188.24,1,B,Single-ply
R. Lademan,125,Open,M,172.37,172.37,2,B,Single-ply
L. Taylor,125,Open,M,170.1,170.1,3,B,Single-ply
Norton,125,Open,M,165.56,165.56,4,B,Single-ply
E. McGettrick,125,Open,M,158.76,158.76,5,B,Single-ply
D. Burnette,125,Open,M,158.76,158.76,DQ,B,Single-ply
Beau Moore #1,125+,Open,M,156.49,156.49,1,B,Single-ply
L. Forsythe,125+,Open,M,138.35,138.35,2,B,Single-ply
Phillips,125+,Open,M,124.74,124.74,3,B,Single-ply
