Name,WeightClassKg,Age,BodyweightKg,Equipment,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Sex,Division
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
,,,,,,,,,,,,,,,,,,SBD,M,Open
