Name,WeightClassKg,Age,BodyweightKg,Equipment,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,BestDeadliftKg,TotalKg,Event,Sex,Division
Charles Dunbar,52,23,,Single-ply,,,,,,,,,,,,,,,,,
Joe Steinfeld,52,25,,Single-ply,,,,,,,,,,,,,,,,,
Doug Heath,52,23,,Single-ply,,,,,,,,,,,-429,,,,,,
John Redding,52,35,,Single-ply,-424,-424,-424,,,,,,,,,,,,,,
Robert Lech,56,,,Single-ply,,,,,,,,,,,,,,,,,
Ernesto Milian,56,,,Single-ply,,,,,,,,,,523,-540,,,,,,
Roger Hopkins,56,,,Single-ply,-402,-402,-402,,,,,,,,,,,,,,
George Hummel,60,,,Single-ply,,,,,,,,,,,,,,,,,
Leroy Mabie,60,,,Single-ply,,,,,,,,,,,,,,,,,
Raymond Verdonck,60,,,Single-ply,,,,,,,,,,,,,,,,,
J. Clos,60,,,Single-ply,,,,,,,,,,,,,,,,,
Joe Bradley,60,,,Single-ply,-518,-518,-518,,,,,,,,,,,,,,
Clyde Wright,67.5,,,Single-ply,551,,,,336,,,,578,,,,,,,,
Jim Rush,67.5,,,Single-ply,,,,,,,,,,,595,,,,,,
Don Jones,67.5,,,Single-ply,,,-573,,,,-292,,,,606,,,,,,
Michael Facteau,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Lamar Gant,67.5,,60.33,Single-ply,,,,,,,,,,600,-644,,,,,,
Phillip Trujillo,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Roger Wright,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Mike Joyner,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Danny Thompson,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Troy Hicks,67.5,,,Single-ply,,,,,,,,,,,,,,,,,
Mike Bridges,75,,,Single-ply,,705,-716,,,435,446,,606,644,655,,,,,,
Rickey Dale Crain,75,,,Single-ply,655,-688,699,,,,,,672,-738,,,,,,,
Jack Wilson,75,,,Single-ply,,,,,,,,,,,,,,,,,
Joe Spack,75,,,Single-ply,,,,,,,,,,,672,,,,,,
James Rouse,75,,,Single-ply,,,,,,-418,440,,,,,,,,,,
Lloyd Wehunt,75,,,Single-ply,,,,,,,,,,,,,,,,,
Robert Jesurun,75,,,Single-ply,,,,,,,,,,,,,,,,,
Mike Elliott,75,,,Single-ply,,,,,,,,,,,,,,,,,
Rick Gaugler,75,,,Single-ply,,-628,633,,,,,,,,,,,,,,
M. Zielinski,75,,,Single-ply,,,,,,,,,,,,,,,,,
Steve Baldwin,75,,,Single-ply,,,,,,,,,,,,,,,,,
Walter Thomas,82.5,,,Single-ply,,,,,,,440,,,,,,,,,,
Dennis Wright,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
John Black,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
Scott Saluzzi,82.5,,,Single-ply,,,,,,,,,,,,,,,,,
