Name,Sex,BodyweightLb,Division,WeightClassLb,Event,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,Place
Justin Hernandez,M,121.8,Teen (16-17),123,SBD,102.5,-117.5,-117.5,,57.5,62.5,65,66.5,107.5,117.5,-140,,285,1
Armand Ramirez,M,122.2,Teen (16-17),123,SBD,60,67.5,70,,50,55,60,,62.5,65,67.5,,197.5,2
Erica Cooksey,F,130.8,"(F) Open, (25-29)",132,SBD,70,75,80,85,44,47.5,-50,,90,95,100,102.5,227.5,1
Sam Katona,M,129,Teen (14-15),132,SBD,72.5,82.5,-87.5,,55,60,-62.5,,85,115,117.5,,260,1
Miriam Gonzales,F,145.4,(F) Teen (18-19),148,SBD,65,-91.5,-91.5,,-35,-35,35,,75,82.5,92.5,97.5,192.5,1
Lucas Verhaagh,M,147.8,Teen (16-17),148,SBD,112.5,117.5,125,,70,75,82.5,,135,-140,-145,,342.5,1
Garrett Hodas,M,168,Teen (16-17),181,SBD,125,145,-152.5,,82.5,87.5,92.5,,142.5,157.5,170,,407.5,1
Kyle Brown,M,202.2,Teen (16-17),220,SBD,85,-100,115,,115,125,-132.5,,92.5,,,,332.5,1
Joshua Brickley,M,238.4,Teen (14-15),242,SBD,-117.5,117.5,-120,,72.5,85,87.5,90,125,-132.5,140,141,345,1
Charles Raby,M,241,Teen (14-15),242,SBD,-60,-60,60,,42.5,52.5,62.5,,102.5,125,137.5,140.5,260,2
Arcenio Ortiz,M,266.6,Teen (16-17),275,SBD,180,210,227.5,243.5,100,107.5,115,,135,142.5,152.5,,495,1
Chris Johnson,M,154.8,"Open, (25-29)",165,PP,,,,,-90,106.5,115,,125,160,170,,285,1
Justin Hernandez,M,121.8,Teen (16-17),123,B,,,,,57.5,62.5,65,66.5,,,,,65,1
Armand Ramirez,M,122.2,Teen (16-17),123,B,,,,,50,55,60,,,,,,60,2
Erica Cooksey,F,130.8,"(F) Open, (25-29)",132,B,,,,,44,47.5,-50,,,,,,47.5,1
Hunter Claypatch,M,132.2,Open,132,B,,,,,90,95,-100,,,,,,95,1
Sam Katona,M,129,Teen (14-15),132,B,,,,,55,60,-62.5,,,,,,60,1
Miriam Gonzales,F,145.4,(F) Teen (18-19),148,B,,,,,-35,-35,35,,,,,,35,1
Lucas Verhaagh,M,147.8,Teen (16-17),148,B,,,,,70,75,82.5,,,,,,82.5,1
Garrett Hodas,M,168,Teen (16-17),181,B,,,,,82.5,87.5,92.5,,,,,,92.5,1
Al speech,M,219.4,Master (65-69),220,B,,,,,127.5,140,145,,,,,,145,1
Kyle Brown,M,202.2,Teen (16-17),220,B,,,,,115,125,-132.5,,,,,,125,1
Joshua Brickley,M,238.4,Teen (14-15),242,B,,,,,72.5,85,87.5,90,,,,,87.5,1
Charles Raby,M,241,Teen (14-15),242,B,,,,,42.5,52.5,62.5,,,,,,62.5,2
Arcenio Ortiz,M,266.6,Teen (16-17),275,B,,,,,100,107.5,115,,,,,,115,1
Justin Hernandez,M,121.8,Teen (16-17),123,D,,,,,,,,,107.5,117.5,-140,,117.5,1
Armand Ramirez,M,122.2,Teen (16-17),123,D,,,,,,,,,62.5,65,67.5,,67.5,2
Erica Cooksey,F,130.8,"(F) Open, (25-29)",132,D,,,,,,,,,90,95,100,102.5,100,1
Sam Katona,M,129,Teen (14-15),132,D,,,,,,,,,85,115,117.5,,117.5,1
Miriam Gonzales,F,145.4,(F) Teen (18-19),148,D,,,,,,,,,75,82.5,92.5,97.5,92.5,1
Lucas Verhaagh,M,147.8,Teen (16-17),148,D,,,,,,,,,135,-140,-145,,135,1
Garrett Hodas,M,168,Teen (16-17),181,D,,,,,,,,,142.5,157.5,170,,170,1
Kyle Brown,M,202.2,Teen (16-17),220,D,,,,,,,,,92.5,,,,92.5,1
Joshua Brickley,M,238.4,Teen (14-15),242,D,,,,,,,,,125,-132.5,140,141,140,1
Charles Raby,M,241,Teen (14-15),242,D,,,,,,,,,102.5,125,137.5,140.5,137.5,2
Arcenio Ortiz,M,266.6,Teen (16-17),275,D,,,,,,,,,135,142.5,152.5,,152.5,1
