Name,Age,Sex,Event,BodyweightKg,Division,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Place
Breanna Sinclair,30,F,SBD,54.5,F-O,56,95,55,117.5,267.5,Raw,1
Kaylin King,24,F,SBD,61.2,F-J,67.5,80,47.5,87.5,215,Raw,1
Kayla Hawryluk,30,F,SBD,64.1,F-O,67.5,102.5,62.5,152.5,317.5,Raw,1
Melanie Wonitoy,41,F,SBD,71.9,F-40,75,125,72.5,180,377.5,Raw,1
Kathy Reid-Soucy,52,F,SBD,78,F-55,82.5,85,50,112.5,247.5,Raw,1
Kaedon Ottenbreit,16,M,SBD,55,M-17,56,110,95,142.5,347.5,Raw,1
Winston Teichroeb,27,M,SBD,66.9,M-O,67.5,177.5,112.5,170,460,Raw,1
Brandon Mercer,16,M,SBD,72.8,M-17,75,147.5,0,187.5,0,Raw,1
Cole Kander,30,M,SBD,81.4,M-O,82.5,147.5,120,207.5,475,Raw,2
Khail Mouallem,33,M,SBD,82.5,M-O,82.5,195,155,250,600,Raw,1
Steve Dunlop,39,M,SBD,81.8,M-SM,82.5,197.5,132.5,210,540,Raw,1
Travis Perkins,27,M,SBD,86.9,M-O,90,160,110,205,475,Raw,1
Jack Snider,38,M,SBD,88.8,M-SM,90,0,110,205,0,Raw,
Marcos Tello,22,M,SBD,98.3,M-J,100,227.5,170,262.5,660,Raw,1
Ahmad Eid,23,M,D,93.9,M-J,100,0,0,275,0,Raw,1
Xavier Thompson,24,M,SBD,95.7,M-J,100,177.5,0,0,0,Raw,
Rory Smith,31,M,SBD,96.1,M-O,100,205,137.5,217.5,560,Raw,2
Dave Nisbet,31,M,SBD,90.9,M-O,100,195,142.5,240,577.5,Raw,1
Wade Skahl,38,M,SBD,97.2,M-SM,100,157.5,135,222.5,515,Raw,1
Andrew Hanson,44,M,B,95.5,M-40,100,0,137.5,0,0,Raw,1
