Name,WeightClassKg,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,TotalKg,Place,Equipment,Sex,Division,Event
Jenny Hieatt,82.5,76.66,70.31,74.84,,,74.84,74.84,1,Raw,F,Open,B
Ria Carroll,67.5,65.77,45.36,58.97,,,58.97,58.97,2,Raw,F,Open,B
Kim Smith,60,59.87,49.9,52.16,,,52.16,52.16,3,Raw,F,Open,B
Vicky Dove,67.5,60.33,,43.09,,,43.09,43.09,4,Raw,F,Open,B
Baylee Bradford,52,48.53,24.95,27.22,,,27.22,27.22,5,Raw,F,Open,B
James Riley,90,87.54,165.56,174.63,185.97,,185.97,185.97,1,Raw,M,Teenage,B
Timmy Gowan,60,59.87,65.77,,70.31,,70.31,70.31,2,Raw,M,Teenage,B
Michael Berube,100,97.98,90.72,97.52,102.06,,102.06,102.06,3,Raw,M,Teenage,B
Jeremy Pereira,75,69.4,124.74,129.27,,,129.27,129.27,1,Raw,M,Open,B
Jamar Burchett,67.5,64.86,102.06,,,,102.06,102.06,2,Raw,M,Open,B
Joseph Perez,75,69.4,,,,,,,DQ,Raw,M,Open,B
David Belesi,125,122.02,183.7,192.78,204.12,210.92,204.12,204.12,1,Raw,M,Open,B
Lewis Boone,140,134.72,,,,,,,DQ,Raw,M,Open,B
Mark Graham,90,89.81,,229.06,,,229.06,229.06,1,Multi-ply,M,Open,B
Filipe Gusmao,90,88.9,183.7,204.12,,,204.12,204.12,2,Multi-ply,M,Open,B
Brent Alapa,90,89.81,199.58,,,,199.58,199.58,3,Multi-ply,M,Open,B
Shane Sheppard,82.5,80.74,,,,,,,DQ,Multi-ply,M,Open,B
Greg Alvarado,118,112.04,231.33,247.21,254.01,,254.01,254.01,1,Multi-ply,M,Open,B
Billy Giles,100,98.43,215.46,229.06,231.33,,231.33,231.33,2,Multi-ply,M,Open,B
Joe Johnston,110,104.78,142.88,154.22,,,154.22,154.22,3,Multi-ply,M,Open,B
Brian Carroll,140,128.37,,,,,,,DQ,Multi-ply,M,Open,B
Clint Smith,110,106.59,,,,,,,DQ,Multi-ply,M,Open,B
Jimmy May,90,83.46,92.99,102.06,111.13,,111.13,111.13,1,Raw,M,Masters,B
