Name,Age,Sex,Division,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Equipment
April White,27,F,Open,67.5,60.55,115.67,63.5,149.69,328.85,1,SBD,Wraps
Diane Lewis,26,F,Open,75,73.71,111.13,56.7,142.88,310.71,2,SBD,Wraps
Chyna Cho,25,F,Open,75,68.04,111.13,74.84,147.42,333.39,1,SBD,Wraps
Amber Bolton,31,F,Open,75,70.31,113.4,54.43,136.08,303.91,2,SBD,Wraps
Katrina Pesek,34,F,Open,90,84.14,97.52,47.63,104.33,249.48,1,SBD,Wraps
Dana Rygwelski,29,F,Open,82.5,78.93,113.4,61.23,136.08,310.71,1,SBD,Wraps
Jake Cutting,30,M,Open,90,88,240.4,142.88,265.35,648.64,1,SBD,Wraps
Connor Martin,20,M,Open,82.5,77.56,199.58,104.33,204.12,508.02,2,SBD,Wraps
Tyler Schaeffer,24,M,Open,90,87.54,197.31,131.54,208.65,537.51,3,SBD,Wraps
Neal Gadebusch,27,M,Open,90,88.68,156.49,124.74,215.46,496.68,4,SBD,Wraps
Adam Yudman,25,M,Open,90,86.41,149.69,115.67,215.46,480.81,5,SBD,Wraps
Richard Simon,80,M,Open,82.5,79.15,115.67,102.06,133.81,351.53,1,SBD,Single-ply
Eric Gohler,37,M,Open,110,105.23,235.87,172.37,272.16,680.39,1,SBD,Wraps
Matt Brown #4,26,M,Open,100,98.66,201.85,161.03,231.33,594.21,2,SBD,Wraps
Gregory Curry,28,M,Open,100,97.3,201.85,154.22,215.46,571.53,3,SBD,Wraps
Tai Dydasco,38,M,Open,140,130.18,272.16,204.12,272.16,748.43,1,SBD,Wraps
Cassidy Hilton,30,M,Open,118,117.48,333.39,260.82,283.5,877.7,1,SBD,Multi-ply
Thad Coleman,41,M,Open,140+,160.57,444.52,,,,DQ,SBD,Multi-ply
Reilly Cook,31,M,Open,125,124.74,,206.38,,,DQ,SBD,Multi-ply
Austin Baumgarten,26,M,Open,125,124.51,294.84,,,,DQ,SBD,Multi-ply
Jared Roberts,30,M,Open,140,139.71,,219.99,,219.99,1,B,Raw
Antonio Santillan,9,M,Open,52,51.71,,31.75,,31.75,1,B,Raw
Anthony Cissell,25,M,Open,140+,143.11,,,,,DQ,B,Multi-ply
Steve Denning,56,M,Open,125,119.75,,,,,DQ,B,Multi-ply
Rich Lopez,40,M,Open,140+,152.18,,319.78,,319.78,1,B,Single-ply
