Name,Event,Equipment,Sex,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
Ruth Pardue,SBD,Wraps,F,33,Open,78.7,75+,117.5,62.5,132.5,312.5,1
Rebecca Zachau,SBD,Wraps,F,31,Crossfit,87.54,75+,120,65,145,330,1
Leila Almahdy,SBD,Wraps,F,40,Crossfit,87.77,75+,80,,72.5,,DQ
Lisa Lindhorst,SBD,Wraps,F,22,Open,66.68,75,110,62.5,147.5,320,1
Aislinn Woody,SBD,Wraps,F,25,Open,67.13,75,105,57.5,137.5,300,2
Tara Getty,SBD,Wraps,F,40,Open,74.84,75,110,77.5,137.5,325,3
Amy Fedele,SBD,Wraps,F,27,Open,64.41,75,97.5,52.5,120,270,4
Mark Bell,SBD,Multi-ply,M,35,Open,123.6,110+,475,,347.5,,DQ
Max Aita,SBD,Wraps,M,27,Open,98.88,110,320,140,285,744.99,1
Patrick Mahaffey,SBD,Wraps,M,51,Open,92.76,110,200,130,217.5,547.49,2
Mitch Rothbardt,SBD,Wraps,M,42,Open,87.54,90,207.5,117.5,235,559.99,1
Greg Sinigaglia,SBD,Wraps,M,33,Open,86.64,90,170,175,205,549.99,2
Paolo Ferretti,SBD,Wraps,M,24,Open,78.47,90,162.5,112.5,195,470,3
Patrick Froome,SBD,Wraps,M,17,Open,88.68,90,170,120,175,465,4
Juan Laija,B,Multi-ply,M,42,Open,109.32,110,,,,,DQ
Jesse Burdick,D,Multi-ply,M,33,Open,119.29,110+,,,365,365,1
