Name,State,Event,Equipment,Age,Sex,Division,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
Meliza Navarro,CA,SBD,Wraps,44,F,Open,75,70.13,112.5,70,145,327.5,1
Gracie Vanasse,CA,SBD,Multi-ply,26,F,Open,67.5,65.59,227.5,137.5,215,579.99,1
Jamie Good,NV,SBD,Wraps,24,F,Open,90,87.54,127.5,70,147.5,345,1
Hope Seiber,CA,SBD,Wraps,32,F,Open,82.5,81.65,117.5,72.5,130,320,2
Jessica Fazzio,CA,SBD,Wraps,28,F,Open,82.5,79.92,112.5,57.5,142.5,312.5,3
Kristy Hawkins,CA,SBD,Raw,34,F,Open,75,73.94,207.5,135,227.5,569.99,1
Tiffany Leung,CA,SBD,Wraps,24,F,Open,44,43.36,125.5,52.5,145.5,323.5,2
Laurie Smith,CA,SBD,Wraps,43,F,Open,75,73.3,175,92.5,187.5,455,3
Cindy Lee,CA,SBD,Wraps,31,F,Open,60,59.87,145,75,162.5,382.5,4
Leah Hardesty,CA,SBD,Wraps,36,F,Open,60,59.78,107.5,52.5,132.5,292.5,5
America Casillas,CA,SBD,Wraps,38,F,Open,75,74.57,92.5,45,140,277.5,6
Shaun Eagen,CA,SBD,Wraps,29,M,Open,110,109.59,215,147.5,275,637.49,1
Chris Minten,CA,SBD,Wraps,27,M,Open,100,93.62,190,140,227.5,557.49,2
Nate Courey,CA,SBD,Wraps,44,M,Open,75,73.75,157.5,112.5,185,455,1
Joshua Bostock,CA,SBD,Wraps,34,M,Open,90,89.18,165,120,230,514.99,2
Cliff Rodgers,CA,SBD,Multi-ply,43,M,Open,125,122.2,,,,,DQ
Colin Blevin,CA,SBD,Single-ply,42,M,Open,125,124.92,262.5,260,260,782.49,1
Dustin Speed,NV,SBD,Wraps,31,M,Open,140+,154.22,340,227.5,320,887.49,1
Shaun Brooks,CA,SBD,Wraps,28,M,Open,125,124.65,260,177.5,290,727.49,2
James Pavelski,CA,SBD,Wraps,28,M,Open,125,120.75,215,170,272.5,657.49,3
Carl West,CA,SBD,Wraps,46,M,Open,118,117.03,227.5,165,242.5,634.99,4
Austin Baumgarten,CA,SBD,Wraps,30,M,Open,140+,153.31,260,152.5,247.5,659.99,5
Chris Arana,CA,SBD,Wraps,18,M,Open,110,106.59,205,132.5,245,582.49,6
Christopher Allen,CA,SBD,Wraps,34,M,Open,118,115.94,182.5,142.5,192.5,517.49,7
Dennis Schultz,CA,SBD,Wraps,55,M,Open,125,124.28,,,,,DQ
Tony Montgomery,CA,SBD,Wraps,29,M,Open,100,99.34,320,210,302.5,832.49,1
Evan Snydman,CA,SBD,Wraps,29,M,Open,110,108.95,302.5,190,320,812.49,2
Tyler Firestone,NV,SBD,Wraps,21,M,Open,100,98.61,272.5,177.5,287.5,737.49,3
Mike Courtney Jr,NV,SBD,Wraps,26,M,Open,110,109.59,295,195,272.5,762.49,4
Ernesto Leyva,CA,SBD,Wraps,36,M,Open,100,99.52,242.5,182.5,272.5,697.49,5
Sam Starlin,CA,SBD,Wraps,34,M,Open,110,106.14,232.5,165,255,652.49,6
Gage Davis,CA,SBD,Wraps,17,M,Open,100,95.71,200,145,257.5,602.49,7
Mark Galvin,CA,SBD,Wraps,35,M,Open,100,98.7,212.5,127.5,240,579.99,8
David Babulak,CA,SBD,Wraps,45,M,Open,110,103.51,185,150,222.5,557.49,9
Jason Morris,CA,SBD,Wraps,42,M,Open,100,98.16,175,107.5,197.5,480,10
Thomas Kallas,IL,SBD,Wraps,22,M,Open,82.5,80.74,325,152.5,275,752.49,1
Shawn Shantin,CA,SBD,Wraps,27,M,Open,90,89.45,272.5,187.5,262.5,722.49,2
Steven Granzella,CA,SBD,Wraps,28,M,Open,82.5,82.01,237.5,177.5,250,664.99,3
Buster Litton,NV,SBD,Wraps,24,M,Open,90,88.18,250,182.5,265,697.49,4
Jason Mica,CA,SBD,Wraps,19,M,Open,82.5,81.83,225,125,240,589.99,5
Doug Azevedo,CA,SBD,Wraps,24,M,Open,82.5,81.19,202.5,120,242.5,564.99,6
Julio Sanchez #1,CA,SBD,Wraps,23,M,Open,90,87.09,222.5,132.5,222.5,577.49,7
Carlos Beltran,CA,SBD,Wraps,31,M,Open,67.5,66.86,155,115,175,445,8
Matt Silva,CA,SBD,Wraps,30,M,Open,75,72.3,172.5,117.5,182.5,472.5,9
Matthew Rossignol,CA,SBD,Wraps,28,M,Open,90,88,177.5,110,215,502.49,10
Mike Courtney Sr,NV,SBD,Wraps,60,M,Open,82.5,80.1,155,117.5,185,457.5,11
Adam Osterdock,CA,SBD,Wraps,20,M,Open,82.5,82.37,142.5,120,165,427.5,12
Michael Melillo,CA,SBD,Wraps,37,M,Open,90,87,152.5,107.5,172.5,432.5,13
Christian Mantle,NV,B,Raw,41,M,Open,100,95.25,,,,,DQ
Martin Azzam,NV,B,Raw,25,M,Open,90,88.9,,,,,DQ
Michael Lampley,CA,B,Raw,47,M,Open,140,136.98,,175,,175,1
Chris Moore,CA,BD,Raw,34,M,Open,125,124.28,,160,245,405,1
