Name,Age,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Equipment,Event,Sex
Tammy Green,39,Open,66.04,67.5,183.7,88.45,149.69,421.84,1,Multi-ply,SBD,F
Aura Morris,35,Open,88.63,67.5+,206.38,124.74,172.37,503.49,1,Single-ply,SBD,F
Samantha Belliveau,22,Open,80.6,67.5+,111.13,104.33,145.15,360.61,2,Single-ply,SBD,F
Alyssa Bonsignore,24,Open,70.4,67.5+,154.22,83.91,163.29,401.43,1,Wraps,SBD,F
Brittney Sinker,23,Open,88.77,67.5+,183.7,86.18,188.24,458.13,2,Wraps,SBD,F
Malinda Sanchez,33,Open,73.48,67.5+,151.95,83.91,140.61,376.48,3,Wraps,SBD,F
Rebecca Traylor,34,Open,74.16,67.5+,147.42,83.91,140.61,371.95,4,Wraps,SBD,F
Bianca Grande,33,Open,81.42,67.5+,133.81,65.77,165.56,365.14,5,Wraps,SBD,F
Debbie Cohen,58,Open,74.75,67.5+,90.72,65.77,136.08,292.57,6,Wraps,SBD,F
Grace Gonzalez,34,Open,71.58,67.5+,102.06,54.43,113.4,269.89,7,Wraps,SBD,F
Bella Quinones,50,Open,70.85,67.5+,104.33,54.43,106.59,265.35,8,Wraps,SBD,F
Irina Petrovich,31,Open,64.64,67.5,181.44,122.47,199.58,503.49,1,Wraps,SBD,F
Ellen Stein,62,Open,59.78,67.5,167.83,81.65,176.9,426.38,2,Wraps,SBD,F
Amanda Meyer,23,Open,58.74,67.5,151.95,83.91,174.63,410.5,3,Wraps,SBD,F
Nicole London,39,Open,66.13,67.5,142.88,68.04,151.95,362.87,4,Wraps,SBD,F
Persida Mayyer,19,Open,63.59,67.5,117.93,70.31,136.08,324.32,5,Wraps,SBD,F
Schannon Yodice,24,Open,55.79,67.5,99.79,52.16,136.08,288.03,6,Wraps,SBD,F
Lacey Hutchison,25,Open,58.42,67.5,97.52,61.23,117.93,276.69,7,Wraps,SBD,F
Andrea Holt,28,Open,53.71,67.5,81.65,56.7,117.93,256.28,8,Wraps,SBD,F
Ksenia Lila,37,Open,52.34,67.5,58.97,36.29,92.99,188.24,9,Wraps,SBD,F
Brenda Andress,27,Open,59.87,67.5,72.57,29.48,95.25,197.31,10,Wraps,SBD,F
Samantha Torres,19,Open,57.79,67.5,63.5,31.75,79.38,174.63,11,Wraps,SBD,F
