Name,Age,Sex,Division,Equipment,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Place
Justyna Jordan,,F,F-J,Raw,148,147,240,165,330,735,SBD,1
G. Ruth Douglas,,F,F-M,Raw,165,158,250,145,325,720,SBD,1
G. Ruth Douglas,,F,F-O,Raw,165,158,250,145,325,720,SBD,1
Marcie Haas,,F,F-S,Raw,165,157,210,120,275,605,SBD,1
Morgan Turner #1,,F,F-S,Raw,181,178,315,175,365,855,SBD,1
Kevin Grimm,,M,M-J,Wraps,181,177,500,355,515,1370,SBD,1
James Hughes,,M,M-J,Wraps,198,195,550,345,615,1510,SBD,1
Dillan Hollinshead,,M,M-J,Raw,198,195,555,315,655,1525,SBD,1
Lucas Banks,,M,M-J,Wraps,308,277,640,475,730,1845,SBD,1
George Lapchak,,M,M-M,Wraps,220,216,325,300,480,1105,SBD,1
Donald Berry,,M,M-M,Raw,220,219,440,270,415,1125,SBD,1
Joseph Sauble,,M,M-M,Wraps,275,272,815,440,600,1855,SBD,1
Dillan Hollinshead,,M,M-O,Raw,198,195,555,315,655,1525,SBD,1
Evan Brechbiel,,M,M-O,Wraps,259,255,640,445,550,1635,SBD,1
Scott Dalrymple,,M,M-P,Wraps,198,198,415,365,450,1230,SBD,1
Leonard Carlton Bennett,,M,M-S,Raw,308,287,480,245,525,1250,SBD,1
