Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Viktor Piskunov,52,170,-177.5,177.5,177.5,105.5,110,111,111,112.5,160,172.5,-192.5,172.5,,461,52,M,Виктор Пискунов,1981,SBD,Single-ply,Juniors
2,Yevgen Vyborov,52,165,-175,-175,165,90,97.5,102.5,102.5,,150,160,172.5,172.5,,440,52,M,Євген Виборов,1983,SBD,Single-ply,Juniors
3,Igor Kim,50.5,-150,-155,155,155,77.5,82.5,85,85,,150,160,165,165,,405,52,M,Игорь Ким,1985,SBD,Single-ply,Juniors
4,Igor Ilchenko,51.4,140,150,155,155,70,75,-80,75,,150,162.5,170,170,,400,52,M,Ігор Ільченко,1985,SBD,Single-ply,Juniors
DQ,Roman Gusak,50.6,-155,-160,-160,,,,,,,,,,,,,52,M,Роман Гусак,1986,SBD,Single-ply,Juniors
DQ,Oleksandr Sitnikov,51,110,120,125,125,-70,-70,-70,,,,,,,,,52,M,Олександр Ситніков,1987,SBD,Single-ply,Juniors
1,Yuriy Dosyuk,56,170,177.5,182.5,182.5,100,107.5,112.5,112.5,,180,192.5,205,205,,500,56,M,Юрій Досюк,1984,SBD,Single-ply,Juniors
2,Oleksiy Udaltsov,55.9,160,180,-192.5,180,90,102.5,-105,102.5,,160,170,-175,170,,452.5,56,M,Олексій Удальцов,1981,SBD,Single-ply,Juniors
3,Mykola Rus,55.3,160,-175,-175,160,82.5,87.5,92.5,92.5,,180,185,-192.5,185,,437.5,56,M,Микола Рус,1985,SBD,Single-ply,Juniors
4,Yuriy Sukhinin,56,-145,-150,150,150,-85,85,90,90,,160,180,-192.5,180,,420,56,M,Юрій Сухінін,1982,SBD,Single-ply,Juniors
5,Artem Zavadovskyy,56,-155,155,162.5,162.5,-90,90,-95,90,,150,160,162.5,162.5,,415,56,M,Артем Завадовський,1981,SBD,Single-ply,Juniors
6,Anatoliy Muchichka,55.5,-135,135,150,150,82.5,87.5,90,90,,145,155,,155,,395,56,M,Анатолій Мучичка,1987,SBD,Single-ply,Juniors
1,Volodymyr Pogrebniy,59.7,225,-235,-235,225,157.5,163,-170,163,,200,210,-222.5,210,,598,60,M,Володимир Погребний,1982,SBD,Single-ply,Juniors
