Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Roman Gusak,51.6,172.5,185,-190,185,-82.5,82.5,90,90,,160,175,-180,175,450,52,M,Роман Гусак,1986,SBD,Single-ply,Juniors
2,Andriy Shelenko,52,110,125,-140,125,60,-70,-70,60,,110,130,-140,130,315,52,M,Андрій Шеленко,1986,SBD,Single-ply,Juniors
1,Roman Kurov,56,150,-157.5,-157.5,150,90,92.5,-95,92.5,,170,177.5,-182.5,177.5,420,56,M,Роман Куров,1986,SBD,Single-ply,Juniors
1,Igor Ilchenko,59.7,185,195,200,200,110,117.5,122.5,122.5,,200,210,212.5,212.5,535,60,M,Ігор Ільченко,1985,SBD,Single-ply,Juniors
2,Oleksiy Sashenkov,59.9,205,-210,-210,205,125,130,-135,130,,200,-205,-205,200,535,60,M,Олексій Сашенков,1983,SBD,Single-ply,Juniors
3,Petro Tyshchenko,59.4,-175,-180,187.5,187.5,117.5,125,127.5,127.5,,190,207.5,-210,207.5,522.5,60,M,Петро Тищенко,1984,SBD,Single-ply,Juniors
4,Ivan Chuprinko,60,180,190,-195,190,125,135,-137.5,135,,190,197.5,-200,197.5,522.5,60,M,Іван Чупринко,1986,SBD,Single-ply,Juniors
5,Yuriy Vyshivanyuk,59.4,175,-182.5,-185,175,115,120,-122.5,120,,180,185,-190,185,480,60,M,Юрій Вишиванюк,1986,SBD,Single-ply,Juniors
6,Aleksey Krasovskiy,59.2,170,180,190,190,85,90,-95,90,,-160,160,-175,160,440,60,M,Алексей Красовский,1986,SBD,Single-ply,Juniors
DQ,Sergiy Beldey,58.9,-185,-185,-185,,95,102.5,-110,102.5,,190,205,-212.5,205,,60,M,Сергій Бельдей,1982,SBD,Single-ply,Juniors
DQ,Oleksandr Buychenko,59.7,-200,-200,-200,,-130,140,150,150,,210,230,242.5,242.5,,60,M,Олександр Буйченко,1982,SBD,Single-ply,Juniors
1,Volodymyr Rysiev,66.8,-250,250,-266,250,150,160,165,165,,250,-260,260,260,675,67.5,M,Володимир Рисєв,1982,SBD,Single-ply,Juniors
2,Arkadiy Shalokha,67.4,230,-240,245,245,155,160,-165,160,,240,-260,,240,645,67.5,M,Аркадий Шалоха,1983,SBD,Single-ply,Juniors
3,Artyom Postovalov,67.5,240,250,-260,250,140,152.5,160,160,,220,-240,-257.5,220,630,67.5,M,Артем Постовалов,1986,SBD,Single-ply,Juniors
4,Volodymyr Tsybulko,67.5,-220,220,235,235,-120,135,140,140,,217.5,230,240,240,615,67.5,M,Володимир Цибулько,1983,SBD,Single-ply,Juniors
5,Roman Murygin,66.8,-230,235,-242.5,235,120,130,-137.5,130,,227.5,240,247.5,247.5,612.5,67.5,M,Роман Муригін,1984,SBD,Single-ply,Juniors
6,Oleksandr Narkhov,66.8,215,225,230,230,120,125,127.5,127.5,,220,235,-245,235,592.5,67.5,M,Олександр Нархов,1985,SBD,Single-ply,Juniors
7,Mykola Volkov,66.8,220,-225,-225,220,115,122.5,127.5,127.5,,-220,-220,220,220,567.5,67.5,M,Микола Волков,1982,SBD,Single-ply,Juniors
8,Igor Kudrevatykh,67.2,220,-235,-235,220,120,-130,-130,120,,200,215,-227.5,215,555,67.5,M,Ігор Кудреватих,1986,SBD,Single-ply,Juniors
9,Andriy Nelipa,67.5,215,225,230,230,115,122.5,-127.5,122.5,,200,-210,-210,200,552.5,67.5,M,Андрій Неліпа,1986,SBD,Single-ply,Juniors
10,Oleksiy Paramonov,67.3,185,200,-210,200,130,-135,135,135,,200,210,-215,210,545,67.5,M,Олексій Парамонов,1986,SBD,Single-ply,Juniors
11,Yevgen Minchenko,66.4,170,180,-190,180,150,160,170,170,,170,185,-195,185,535,67.5,M,Євген Мінченко,1983,SBD,Single-ply,Juniors
12,Pavlo Nagirnyy,67.5,230,-240,-240,230,115,120,-125,120,,170,180,,180,530,67.5,M,Павло Нагірний,1985,SBD,Single-ply,Juniors
13,Andriy Klyukvin,66.3,180,-190,-195,180,80,85,-87.5,85,,205,-215,,205,470,67.5,M,Андрій Клюквін,1986,SBD,Single-ply,Juniors
14,Oleksandr Pinchuk,67.3,155,-165,-170,155,105,-110,-110,105,,140,-150,,140,400,67.5,M,Олександр Пінчук,1983,SBD,Single-ply,Juniors
DQ,Oleksiy Pozdnukhov,66.2,-230,-230,-230,,100,-107.5,-107.5,100,,225,235,-242.5,235,,67.5,M,Олексій Позднухов,1983,SBD,Single-ply,Juniors
