Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Yelizaveta Ryzhak,46.85,120,130,135,135,85,-92.5,-92.5,85,125,130,135,135,355,47,F,Єлізавета Рижак,1990,SBD,Single-ply,Student
2,Iryna Kurilova,46.8,-80,85,92.5,92.5,35,42.5,47.5,47.5,75,92.5,-115,92.5,232.5,47,F,Ірина Курілова,1991,SBD,Single-ply,Student
1,Maryana Vanekevich,48.05,75,85,-90,85,37.5,42.5,-45,42.5,75,90,100,100,227.5,52,F,Мар'яна Ванькевич,1991,SBD,Single-ply,Student
1,Varvara Khrystova,56.9,165,175,182.5,182.5,77.5,85,-90,85,150,162.5,170,170,437.5,57,F,Варвара Христова,1990,SBD,Single-ply,Student
1,Vira Boboshko,62.65,150,-160,160,160,90,95,-100,95,150,160,-165,160,415,63,F,Віра Бобошко,1993,SBD,Single-ply,Student
1,Ulyana Lyutnyk,66.8,180,200,-210,200,105,115,-125,115,170,180,185,185,500,72,F,Уляна Лютник,1984,SBD,Single-ply,Student
2,Yuliya Levada,64.15,65,72.5,-77.5,72.5,32.5,35,-40,35,-70,-70,70,70,177.5,72,F,Юлія Левада,1992,SBD,Single-ply,Student
DQ,Alla Nikitina,84.75,-135,135,-152.5,135,-75,-75,-75,,,,,,,84+,F,Алла Нікітіна,1992,SBD,Single-ply,Student
1,Oleg Yasenetskyy,57.2,180,,,180,90,,,90,210,,,210,480,59,M,Олег Ясенецький,1991,SBD,Single-ply,Student
2,Sergey Kondratyuk,59,150,,,150,90,,,90,155,,,155,395,59,M,Сергей Кондратюк,1991,SBD,Single-ply,Student
3,Igor Vodolaga,57.4,137.5,,,137.5,90,,,90,162.5,,,162.5,390,59,M,Ігор Водолага,1993,SBD,Single-ply,Student
4,Viktor Popov,58.3,110,,,110,92.5,,,92.5,160,,,160,362.5,59,M,Віктор Попов,1994,SBD,Single-ply,Student
5,Anton Bilyk,52.75,100,,,100,67.5,,,67.5,165,,,165,332.5,59,M,Антон Білик,1994,SBD,Single-ply,Student
DQ,Andriy Basarab,59,-150,-150,-150,,,,,,,,,,,59,M,Андрій Басараб,1990,SBD,Single-ply,Student
DQ,Roman Shchabel',58.5,-160,-160,-160,,,,,,,,,,,59,M,Роман Щабель,1993,SBD,Single-ply,Student
1,Vasyl' Mitsa,65.25,250,-262.5,265,265,135,140,150,150,-240,240,-255,240,655,66,M,Василь Мица,1989,SBD,Single-ply,Student
2,Maksim Saenko,64.65,-180,180,-192.5,180,90,97.5,-102.5,97.5,220,230,240,240,517.5,66,M,Максим Саєнко,1992,SBD,Single-ply,Student
3,Igor Dudka,65.6,185,,,185,112.5,,,112.5,192.5,,,192.5,490,66,M,Ігор Дудка,1991,SBD,Single-ply,Student
1,Mykola Barannik,73.45,300,313,-317.5,313,185,192.5,197.5,197.5,255,265,-275,265,775.5,74,M,Микола Бараннік,1989,SBD,Single-ply,Student
2,Yevgen Galitsyn,73.75,250,-265,-265,250,-140,142.5,152.5,152.5,252.5,272.5,277.5,277.5,680,74,M,Євген Галіцин,1989,SBD,Single-ply,Student
3,Mykola Dudin,73.8,240,-250,-262.5,240,170,177.5,185,185,250,255,-270,255,680,74,M,Микола Дудін,1991,SBD,Single-ply,Student
4,Volodymyr Dubovoy,73.85,245,260,267.5,267.5,135,-145,145,145,215,230,-242.5,230,642.5,74,M,Володимир Дубовой,1990,SBD,Single-ply,Student
5,Yevgen Krysa,73.5,200,,,200,175,,,175,222.5,,,222.5,597.5,74,M,Євген Криса,1993,SBD,Single-ply,Student
6,Volodimir Astakhov,72.9,230,,,230,132.5,,,132.5,210,,,210,572.5,74,M,Володимир Астахов,1991,SBD,Single-ply,Student
7,Rostislav Toderash,68.65,230,,,230,125,,,125,210,,,210,565,74,M,Ростислав Тодераш,1991,SBD,Single-ply,Student
8,Mykyta Karlov,73.69,200,,,200,132.5,,,132.5,222.5,,,222.5,555,74,M,Микита Карлов,1992,SBD,Single-ply,Student
9,Sergiy Sazonov,73.05,190,,,190,120,,,120,220,,,220,530,74,M,Сергій Сазонов,1993,SBD,Single-ply,Student
10,Vitaliy Matskov,71.45,205,,,205,105,,,105,205,,,205,515,74,M,Віталій Мацьков,1992,SBD,Single-ply,Student
11,Igor Mikhaylenko,71.1,150,,,150,112.5,,,112.5,240,,,240,502.5,74,M,Ігор Михайленко,1992,SBD,Single-ply,Student
DQ,Oleksandr Narizhnyuk,72.55,260,,,260,-150,-150,-150,,,,,,,74,M,Олександр Нарижнюк,1990,SBD,Single-ply,Student
DQ,Vyacheslav Kashpullin,73.2,240,,,240,-165,-165,-165,,,,,,,74,M,В'ячеслав Кашпулін,1989,SBD,Single-ply,Student
DQ,Vladyslav Apanasenko,73.9,-245,-245,-245,,,,,,,,,,,74,M,Владислав Апанасенко,1992,SBD,Single-ply,Student
1,Volodymyr Tykhostup,80.8,320,332.5,-342.5,332.5,-215,215,222.5,222.5,280,-292.5,292.5,292.5,847.5,83,M,Володимир Тихоступ,1989,SBD,Single-ply,Student
2,Anton Pravnik,81.5,280,300,310,310,-185,185,-205,185,-285,290,-315,290,785,83,M,Антон Правник,1991,SBD,Single-ply,Student
3,Volodymyr Binda,81.4,275,,,275,145,,,145,245,,,245,665,83,M,Володимир Бинда,1990,SBD,Single-ply,Student
4,Andriy Savytskyy,82.35,230,,,230,165,,,165,270,,,270,665,83,M,Андрій Савицький,1991,SBD,Single-ply,Student
5,Ivan Korol,78.7,250,,,250,172.5,,,172.5,235,,,235,657.5,83,M,Іван Король,1993,SBD,Single-ply,Student
6,Oleksandr Shitik,79.9,230,240,-245,240,-130,135,140,140,265,-285,-285,265,645,83,M,Олександр Шитік,1991,SBD,Single-ply,Student
7,V'yacheslav Miskiy,82.4,210,,,210,155,,,155,210,,,210,575,83,M,В'ячеслав Міський,1990,SBD,Single-ply,Student
8,Dmitro Sukhanov,80.75,200,,,200,125,,,125,210,,,210,535,83,M,Дмитро Суханов,1992,SBD,Single-ply,Student
9,Oleksandr Ulitko,79.5,215,,,215,107.5,,,107.5,210,,,210,532.5,83,M,Олександр Улітко,1993,SBD,Single-ply,Student
DQ,Artem Panteleyev,82.1,330,-340,-340,330,-210,-210,-210,,,,,,,83,M,Артем Пантелєєв,1992,SBD,Single-ply,Student
DQ,Egor Sulzhenko,74.15,-230,-230,-230,,,,,,,,,,,83,M,Єгор Сульженко,1991,SBD,Single-ply,Student
1,Yuriy Mykhaylov,92.85,335,355,-360,355,190,202.5,-207.5,202.5,290,295,-302.5,295,852.5,93,M,Юрій Михайлов,1985,SBD,Single-ply,Student
2,Bogdan Grynevych,92.1,285,-295,-295,285,240,-250,-250,240,260,270,-275,270,795,93,M,Богдан Гриневич,1990,SBD,Single-ply,Student
3,Yuriy Pruzhanskyy,85.9,290,,,290,185,,,185,275,,,275,750,93,M,Юрій Пружанський,1981,SBD,Single-ply,Student
4,Andriy Lyakhov,91.85,-277.5,290,-300,290,177.5,-185,-185,177.5,252.5,-262.5,-262.5,252.5,720,93,M,Андрій Ляхов,1989,SBD,Single-ply,Student
5,Igor Kurganov,87.7,-300,-300,300,300,152.5,-157.5,-157.5,152.5,250,265,-272.5,265,717.5,93,M,Ігор Курганов,1991,SBD,Single-ply,Student
6,Mykhaylo Chokhnyay,91.2,245,-265,-265,245,130,155,165,165,230,245,260,260,670,93,M,Михайло Чохняй,1989,SBD,Single-ply,Student
7,Maksim Klantsatiy,84.7,-240,250,-260,250,150,160,170,170,240,-250,-250,240,660,93,M,Максим Кланцатий,1990,SBD,Single-ply,Student
8,Ivan Zavodchikov,83.8,250,,,250,152.5,,,152.5,230,,,230,632.5,93,M,Іван Заводчіков,1989,SBD,Single-ply,Student
9,Oleksandr Vinogradskiy,92.75,225,,,225,140,,,140,235,,,235,600,93,M,Олександр Виноградський,1992,SBD,Single-ply,Student
DQ,Yuriy Grytsan,92.3,-310,-310,-310,,,,,,,,,,,93,M,Юрій Грицан,1991,SBD,Single-ply,Student
DQ,Dmitro Tantsyura,92.3,-290,-290,-310,,,,,,,,,,,93,M,Дмитро Танцюра,1989,SBD,Single-ply,Student
