Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment,Division
1,Maryana Kolyadenko,46.85,95,55,95,245,47,F,Мар'яна Коляденко,1991,SBD,Single-ply,Student
2,Katerina Chobanyuk,45.55,80,42.5,80,202.5,47,F,Катерина Чобанюк,1994,SBD,Single-ply,Student
1,Darya Kuzmina,50.3,90,47.5,100,237.5,52,F,Дарья Кузьмина,1992,SBD,Single-ply,Student
2,Ivanna Polovka,51.8,90,40,95,225,52,F,Іванна Половка,1995,SBD,Single-ply,Student
1,Natalya Piznyak,56.2,142.5,80,145,367.5,57,F,Наталя Пізняк,1992,SBD,Single-ply,Student
2,Dariya Grekalovska,55.85,115,50,110,275,57,F,Дарія Грекаловська,1995,SBD,Single-ply,Student
3,Oleksandra Romanova,46.45,70,32.5,77.5,180,57,F,Олександра Романова,1993,SBD,Single-ply,Student
1,Vira Boboshko,62.55,160,100,160,420,63,F,Віра Бобошко,1993,SBD,Single-ply,Student
2,Nelya Zayats,61.8,80,50,122.5,252.5,63,F,Неля Заяць,1995,SBD,Single-ply,Student
3,Anastasiya Groshovik,61.65,75,42.5,90,207.5,63,F,Анастасія Грошовік,1993,SBD,Single-ply,Student
1,Iryna Demyanova,64,110,55,120,285,72,F,Ирина Дем'янова,1993,SBD,Single-ply,Student
2,Oksana Frolova,65.6,65,45,80,190,72,F,Оксана Фролова,1990,SBD,Single-ply,Student
1,Katerina Pustovitova,72.5,70,35,87.5,192.5,84,F,Катерина Пустовітова,1995,SBD,Single-ply,Student
1,Oleg Yasenetskyy,57.75,200,137.5,215,552.5,59,M,Олег Ясенецький,1991,SBD,Single-ply,Student
2,Oleksiy Glushenkov,58.95,200,130,200,530,59,M,Олексій Глушенков,1992,SBD,Single-ply,Student
3,Mikola Shokolyuk,58.3,170,100,190,460,59,M,Микола Шоколюк,1992,SBD,Single-ply,Student
4,Roman Shchabel',59,170,95,170,435,59,M,Роман Щабель,1993,SBD,Single-ply,Student
5,Viktor Popov,57.9,110,100,175,385,59,M,Віктор Попов,1994,SBD,Single-ply,Student
6,Anton Bilyk,58.2,120,85,175,380,59,M,Антон Білик,1994,SBD,Single-ply,Student
1,Oleksiy Tarasenko,62.45,230,145,220,595,66,M,Олексій Тарасенко,1994,SBD,Single-ply,Student
2,Andriy Yablonskyy,65.85,217.5,135,222.5,575,66,M,Андрій Яблонський,1994,SBD,Single-ply,Student
