Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Division,Event,Equipment,WeightClassKg
1,Aleksandr Degovets,Александр Деговец,1966,51.9,170,110,170,450,M,Open,SBD,Single-ply,52
2,Sergey Krivov,Сергей Кривов,1975,52,125,72.5,150,347.5,M,Open,SBD,Single-ply,52
3,Sergey Dygal,Сергей Дыгал,1973,52,100,77.5,155,327.5,M,Open,SBD,Single-ply,52
4,Nikolay Shkurinskiy,Николай Шкуринский,1976,47.5,117.5,67.5,130,315,M,Open,SBD,Single-ply,52
1,Sergey Vatyuk,Сергей Ватюк,1962,55.7,170,130,200,500,M,Open,SBD,Single-ply,56
2,Andrey Koval,Андрей Коваль,1970,55.5,150,100,170,420,M,Open,SBD,Single-ply,56
3,Andrey Panasovskiy,Андрей Панасовский,1976,55.9,110,67.5,132.5,310,M,Open,SBD,Single-ply,56
1,Vladimir Petrakov,Владимир Петраков,1972,59.8,150,110,165,425,M,Open,SBD,Single-ply,60
2,Vyacheslav Dovgan,Вячеслав Довгань,1974,59.3,120,75,157.5,345,M,Open,SBD,Single-ply,60
1,Sirazhutdin Bazaev,Сиражутдин Базаев,1968,66.9,230,130,222.5,582.5,M,Open,SBD,Single-ply,67.5
2,Viktor Fomenko,Виктор Фоменко,1968,67.2,177.5,127.5,265,570,M,Open,SBD,Single-ply,67.5
3,Yuriy Vernichenko,Юрий Верниченко,1962,67,215,137.5,212.5,565,M,Open,SBD,Single-ply,67.5
4,Nikolay Visitskiy,Николай Висицкий,1972,67,172.5,122.5,200,495,M,Open,SBD,Single-ply,67.5
1,Yuriy Yurtaev,Юрий Юртаев,1962,74.5,220,162.5,263,642.5,M,Open,SBD,Single-ply,75
2,Roman Zuzuk,Роман Зузук,1971,73.2,227.5,155,240,622.5,M,Open,SBD,Single-ply,75
3,Yuriy Pigarev,Юрий Пигарев,1962,74.4,210,167.5,245,622.5,M,Open,SBD,Single-ply,75
4,Aleksandr Slatenkov,Александр Слатенков,1966,71.8,190,132.5,261,582.5,M,Open,SBD,Single-ply,75
5,Aleksandr Stupak,Александр Ступак,1956,73.5,180,137.5,205,522.5,M,Open,SBD,Single-ply,75
6,Sergey Shkred,Сергей Шкред,1966,73.2,190,130,195,515,M,Open,SBD,Single-ply,75
1,Vladimir Makhnyuk,Владимир Махнюк,1958,81.6,255,180,275,710,M,Open,SBD,Single-ply,82.5
2,Yakov Fedorich,Яков Федорич,1961,81.1,270,155,270,695,M,Open,SBD,Single-ply,82.5
3,Yaroslav Chala,Ярослав Чала,1948,82.4,230,165,265,670,M,Open,SBD,Single-ply,82.5
4,Viktor Sholota,Виктор Шолота,1964,82,225,155,280,660,M,Open,SBD,Single-ply,82.5
5,Vasiliy Strelbitskiy,Василий Стрельбицкий,1962,80.5,220,152.5,245,617.5,M,Open,SBD,Single-ply,82.5
6,Oleg Zbyshevskiy,Олег Збышевский,1965,81,215,160,240,615,M,Open,SBD,Single-ply,82.5
7,Ivan Gorodnitskiy,Иван Городницкий,1962,80.4,210,162.5,220,582.5,M,Open,SBD,Single-ply,82.5
8,Vladimir Leshchenko,Владимир Лещенко,1946,81.3,230,140,210,580,M,Open,SBD,Single-ply,82.5
9,Mikhail Andrusinykh,Михаил Андрусиных,1963,81.2,185,130,200,515,M,Open,SBD,Single-ply,82.5
1,Sergey Makhno,Сергей Махно,1967,89.7,285,170,277.5,732.5,M,Open,SBD,Single-ply,90
2,Sergey Ivanov,Сергей Иванов,1956,88.2,262.5,185,275,722.5,M,Open,SBD,Single-ply,90
3,Vyacheslav Orikhovskiy,Вячеслав Ориховский,1961,88.7,240,175,280,695,M,Open,SBD,Single-ply,90
4,Viktor Zubkov,Виктор Зубков,1957,90,250,192.5,247.5,690,M,Open,SBD,Single-ply,90
5,Aleksandr Shevchenko,Александр Шевченко,1965,90,255,170,260,675,M,Open,SBD,Single-ply,90
6,Evgeniy Kobzar,Евгений Кобзарь,1963,83.2,220,150,280,650,M,Open,SBD,Single-ply,90
DQ,Viktor Ganchur,Виктор Ганчур,1958,90,295,190,,,M,Open,SBD,Single-ply,90
DQ,Nikolay Safoshin,Николай Сафошин,1966,89.1,260,,,,M,Open,SBD,Single-ply,90
1,Anatoliy Emelyanovich,Анатолий Емельянович,1960,95.5,290,175,285,750,M,Open,SBD,Single-ply,100
2,Boris Zherebtsov,Борис Жеребцов,1938,96.7,255,172.5,287.5,725,M,Open,SBD,Single-ply,100
3,Vyacheslav Zhukov,Вячеслав Жуков,1963,98.8,252.5,180,292.5,725,M,Open,SBD,Single-ply,100
4,Aleksandr Khodov,Александр Ходов,1967,99.7,250,160,290,700,M,Open,SBD,Single-ply,100
5,Yuriy Simonenko,Юрий Симоненко,1949,98.8,260,165,265,690,M,Open,SBD,Single-ply,100
1,Anatoliy Grishchenkov,Анатолий Грищенков,1960,108.5,270,212.5,300,782.5,M,Open,SBD,Single-ply,110
2,Aleksandr Limanskiy,Александр Лиманский,1957,107.3,280,185,285,750,M,Open,SBD,Single-ply,110
3,Viktor Pirogov,Виктор Пирогов,1956,106.9,265,175,275,715,M,Open,SBD,Single-ply,110
4,Anatoliy Koshelap,Анатолий Кошелап,1955,108.6,220,205,250,675,M,Open,SBD,Single-ply,110
5,Sergey Grishin,Сергей Гришин,1967,105.6,220,170,240,630,M,Open,SBD,Single-ply,110
1,Yuriy Spinov,Юрий Спинов,1962,121.3,342.5,215,340,897.5,M,Open,SBD,Single-ply,125
2,Valeriy Dergach,Валерий Дергач,1956,114.1,270,180,250,700,M,Open,SBD,Single-ply,125
3,Anatoliy Mishkovskiy,Анатолий Мишковский,1962,110.5,230,170,235,637.5,M,Open,SBD,Single-ply,125
4,Andrey Radchenko,Андрей Радченко,1973,113.5,222.5,130,260,612.5,M,Open,SBD,Single-ply,125
1,Aleksandr Kokhanevich,Александр Коханевич,1961,160,290,207.5,290,787.5,M,Open,SBD,Single-ply,125+
2,Oleg Brazhnik,Олег Бражник,1970,131.1,155,100,200,455,M,Open,SBD,Single-ply,125+
