Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Division,Sex,Event,Equipment,WeightClassKg
1,Ruslan Popov,Руслан Попов,1978,40.35,70,45,92.5,202.5,Sub-Juniors,M,SBD,Single-ply,44
2,Mark Yakubovskiy,Марк Якубовский,1976,43.8,75,35,92.5,202.5,Sub-Juniors,M,SBD,Single-ply,44
3,Albert Ilin,Альберт Ильин,1978,43.6,60,45,95,197.5,Sub-Juniors,M,SBD,Single-ply,44
4,Roman Khryukov,Роман Хрюков,1978,43.65,65,42.5,85,192.5,Sub-Juniors,M,SBD,Single-ply,44
5,Andrey Vlasenko,Андрей Власенко,1977,38.9,72.5,30,82.5,185,Sub-Juniors,M,SBD,Single-ply,44
1,Konstantin Romanyuk,Константин Романюк,1976,47,85,52.5,100,237.5,Sub-Juniors,M,SBD,Single-ply,48
2,Dmitriy Severyanov,Дмитрий Северьянов,1979,46,82.5,35,75,192.5,Sub-Juniors,M,SBD,Single-ply,48
1,Nikolay Shkurinskiy,Николай Шкуринский,1976,49,122.5,67.5,150,340,Sub-Juniors,M,SBD,Single-ply,52
2,Ivan Savko,Иван Савко,1974,51.5,105,70,132.5,297.5,Sub-Juniors,M,SBD,Single-ply,52
3,Vitaliy Gurtovoy,Виталий Гуртовой,1974,50.6,100,67.5,130,287.5,Sub-Juniors,M,SBD,Single-ply,52
4,Vasiliy Dudkin,Василий Дудкин,1974,51.8,105,55,115,282.5,Sub-Juniors,M,SBD,Single-ply,52
5,Aleksandr Kuznetsov,Александр Кузнецов,1976,49.5,105,50,125,280,Sub-Juniors,M,SBD,Single-ply,52
6,Yuriy Temko,Юрий Темко,1976,49.7,85,55,120,260,Sub-Juniors,M,SBD,Single-ply,52
7,Roman Vladimirov,Роман Владимиров,1974,50.4,75,52.5,85,205,Sub-Juniors,M,SBD,Single-ply,52
1,Stepan Terenik,Степан Тереник,1973,56,130,82.5,140,352.5,Sub-Juniors,M,SBD,Single-ply,56
2,Sergey Dygal,Сергей Дыгал,1973,54.9,110,80,152.5,342.5,Sub-Juniors,M,SBD,Single-ply,56
3,Nikolay Aslanov,Николай Асланов,1975,56,120,72.5,145,335,Sub-Juniors,M,SBD,Single-ply,56
4,Mikhail Bannik,Михаил Банник,1973,55.55,95,65,130,290,Sub-Juniors,M,SBD,Single-ply,56
5,Aleksandr Dolinchuk,Александр Долинчук,1973,55.45,100,75,110,280,Sub-Juniors,M,SBD,Single-ply,56
1,Iosif Segetiy,Иосиф Сегетий,1973,58.95,120,97.5,187.5,405,Sub-Juniors,M,SBD,Single-ply,60
2,Nikolay Khalangot,Николай Халангот,1973,60,130,105,172.5,385,Sub-Juniors,M,SBD,Single-ply,60
3,Andrey Panasovskiy,Андрей Панасовский,1976,58.25,140,77.5,155,372.5,Sub-Juniors,M,SBD,Single-ply,60
4,Vladimir Semushin,Владимир Семушин,1976,59.55,100,75,140,300,Sub-Juniors,M,SBD,Single-ply,60
5,Sergey Pilipenko,Сергей Пилипенко,1974,59.55,100,65,135,300,Sub-Juniors,M,SBD,Single-ply,60
6,Oleg Lysak,Олег Лысак,1975,59.7,102.5,77.5,120,300,Sub-Juniors,M,SBD,Single-ply,60
1,Ivan Miygesh,Иван Мийгеш,1974,65.7,160,115,202.5,477.5,Sub-Juniors,M,SBD,Single-ply,67.5
2,Gennadiy Kapshuk,Геннадий Капшук,1974,66.3,165,107.5,200,472.5,Sub-Juniors,M,SBD,Single-ply,67.5
3,Mikhail Rozhenko,Михаил Роженко,1974,64.8,160,102.5,195,457.5,Sub-Juniors,M,SBD,Single-ply,67.5
4,Yuriy Yurkiv,Юрий Юркив,1973,65.45,150,100,180,430,Sub-Juniors,M,SBD,Single-ply,67.5
5,Andrey Grechatyy,Андрей Гречатый,1974,63.75,130,75,150,355,Sub-Juniors,M,SBD,Single-ply,67.5
6,Roman Plotnov,Роман Плотнов,1974,63.3,120,80,135,335,Sub-Juniors,M,SBD,Single-ply,67.5
1,Aleksey Solovev,Алексей Соловьев,1975,75,180,125,200,505,Sub-Juniors,M,SBD,Single-ply,75
2,Vyacheslav Bas,Вячеслав Бас,1974,74,170,105,180,455,Sub-Juniors,M,SBD,Single-ply,75
3,Anatoliy Kots,Анатолий Коц,1974,72.7,157.5,120,162.5,440,Sub-Juniors,M,SBD,Single-ply,75
4,Sergey Kostenko,Сергей Костенко,1974,73,150,110,160,420,Sub-Juniors,M,SBD,Single-ply,75
5,Aleksandr Kurdus,Александр Курдус,1973,73.1,140,100,165,405,Sub-Juniors,M,SBD,Single-ply,75
6,Evgeniy Gura,Евгений Гура,1975,72.95,135,82.5,165,392.5,Sub-Juniors,M,SBD,Single-ply,75
7,Yuriy Gorodnichiy,Юрий Городничий,1973,73.2,135,105,150,390,Sub-Juniors,M,SBD,Single-ply,75
8,Sergey Galkovskiy,Сергей Галковский,1975,74.75,142.5,90,145,372.5,Sub-Juniors,M,SBD,Single-ply,75
1,Sergey Kuzin,Сергей Кузин,1973,78.75,175,107.5,215,497.5,Sub-Juniors,M,SBD,Single-ply,82.5
