Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Division,Event,Equipment,WeightClassKg
1,Shapoval Viktoriya,Виктория Шаповал,1973,47.6,70,,47.5,100,105.5,217.5,F,Juniors,SBD,Single-ply,48
2,Lyudmila Sinkevich,Синкевич Людмила,1970,48,62.5,,40,100,,202.5,F,Juniors,SBD,Single-ply,48
3,Olga Kornienko,Корниенко Ольга,1970,46.8,67.5,,42.5,90,,200,F,Juniors,SBD,Single-ply,48
1,Elena Arteeva,Артеева Елена,1972,52,90,,45,107.5,,242.5,F,Juniors,SBD,Single-ply,52
2,Elena Bespartochnaya,Беспарточная Елена,1974,51.3,60,,50,77.5,,187.5,F,Juniors,SBD,Single-ply,52
3,Irina Mikhaldyko,Михалдыко Ирина,1969,51.1,60,,40,85,,185,F,Juniors,SBD,Single-ply,52
1,Kseniya Trofimtsova,Трофимцова Ксения,1969,59.85,112.5,,65,140.5,,317.5,F,Juniors,SBD,Single-ply,60
2,Elena Sukhoruk,Сухорук Елена,1972,59.9,90,,37.5,120,,247.5,F,Juniors,SBD,Single-ply,60
1,Viktoriya Boyko,Бойко Виктория,1969,66.6,85,,40,127.5,,252.5,F,Juniors,SBD,Single-ply,67.5
2,Natalya Klychkova,Клычкова Наталья,1972,63.15,85,,45,120,,245,F,Juniors,SBD,Single-ply,67.5
3,Aleksandra Chernomaz,Черномаз Александра,1968,64.15,92.5,,45,102.5,,232.5,F,Juniors,SBD,Single-ply,67.5
4,Anna Turanskaya,Туранская Анна,1972,61.3,70,,42.5,85,,200,F,Juniors,SBD,Single-ply,67.5
5,Lyudmila Nazaruk,Назарук Людмила,1970,67.5,55,,45,70,,170,F,Juniors,SBD,Single-ply,67.5
1,Inna Orobets,Оробец Инна,1971,73.6,115,,77.5,127.5,,320,F,Juniors,SBD,Single-ply,75
1,Valentina Torokhtiy,Торохтий Валентина,1971,86,120,,70,135,141,325,F,Juniors,SBD,Single-ply,90
1,Sergey Byshovets,Бышовец Сергей,1976,55,115,,70,135,,320,M,Juniors,SBD,Single-ply,56
1,Andrey Koval,Коваль Андрей,1970,59,170,,107.5,195,,472.5,M,Juniors,SBD,Single-ply,60
2,Vyacheslav Vorobey,Воробей Вячеслав,1973,58.2,150,,85,165,,400,M,Juniors,SBD,Single-ply,60
DQ,Sergey Nagurnyy,Нагурный Сергей,1973,59.1,,,,,,,M,Juniors,SBD,Single-ply,60
DQ,Sergey Galutskiy,Галуцкий Сергей,1971,57,152.5,,,,,,M,Juniors,SBD,Single-ply,60
1,Vladimir Ardelyan,Арделян Владимир,1968,67.2,172.5,,120,227.5,,520,M,Juniors,SBD,Single-ply,67.5
2,Sergey Lemeshevskiy,Лемешевский Сергей,1972,66,172.5,,120,225,,517.5,M,Juniors,SBD,Single-ply,67.5
3,Vladimir Spakhi,Спахи Владимир,1974,66.5,202.5,,100,212.5,,515,M,Juniors,SBD,Single-ply,67.5
4,Mikhail Rozhenko,Роженко Михаил,1974,65.5,167.5,,110,197.5,,475,M,Juniors,SBD,Single-ply,67.5
5,Nikolay Khalangot,Халангот Николай,1973,65,155,,125,177.5,,457.5,M,Juniors,SBD,Single-ply,67.5
6,Viktor Khurudzhi,Хуруджи Виктор,1975,65.5,172.5,,105,172.5,,450,M,Juniors,SBD,Single-ply,67.5
7,Andrey Kozyrev,Козырев Андрей,1972,66.5,155,,100,172.5,,427.5,M,Juniors,SBD,Single-ply,67.5
