Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Tatyana Yaskiv,Татьяна Яськив,1967,47.7,90,45,115,,250,F,SBD,Single-ply,Open,48
2,Inna Ivleva,Инна Ивлева,1976,47.5,87.5,47.5,115,,247.5,F,SBD,Single-ply,Open,48
3,Viktoriya Shapoval,Виктория Шаповал,1973,48,80,40,95,,215,F,SBD,Single-ply,Open,48
4,Lyudmila Povolotskaya,Людмила Поволоцкая,1952,48,80,40,90,,210,F,SBD,Single-ply,Open,48
1,Svetlana Poplavskaya,Светлана Поплавская,1966,51.7,102.5,57.5,120,,280,F,SBD,Single-ply,Open,52
2,Lyudmila Sinkevich,Людмила Синькевич,1970,51.6,87.5,55,122.5,,265,F,SBD,Single-ply,Open,52
3,Ekaterina Pirgat,Екатерина Пиргат,1974,51.5,80,40,120,,240,F,SBD,Single-ply,Open,52
DQ,Larisa Lebedeva,Лариса Лебедева,1956,51.5,67.5,50,,,,F,SBD,Single-ply,Open,52
DQ,Natalya Dmitrieva,Наталья Дмитриева,1971,51.9,65,,,,,F,SBD,Single-ply,Open,52
DQ,Irina Mikhaldyko,Ирина Михалдыко,1969,52,60,,,,,F,SBD,Single-ply,Open,52
DQ,Valentina Pavlenko,Валентина Павленко,1958,52,60,,,,,F,SBD,Single-ply,Open,52
1,Larisa Ivanova,Лариса Иванова,1963,56,112.5,62.5,117.5,,292.5,F,SBD,Single-ply,Open,56
2,Lyubov Banova,Любовь Банова,1971,54.7,65,37.5,90,,192.5,F,SBD,Single-ply,Open,56
DQ,Elena Arteeva,Елена Артеева,1972,52.05,,,,,,F,SBD,Single-ply,Open,56
1,Yaroslava Furduy,Ярослава Фурдуй,1971,60,105,65,160,,330,F,SBD,Single-ply,Open,60
2,Irina Dubinina,Ирина Дубинина,1966,59.9,120,62.5,145,,327.5,F,SBD,Single-ply,Open,60
3,Kseniya Trofimtsova,Ксения Трофимцова,1969,59.6,107.5,62.5,140,,310,F,SBD,Single-ply,Open,60
4,Lidiya Mashtal,Лидия Машталь,1957,59.5,70,50,110,,230,F,SBD,Single-ply,Open,60
1,Elena Sukhoruk,Елена Сухорук,1972,67.3,150,70,170,,390,F,SBD,Single-ply,Open,67.5
2,Lyubov Shulga,Любовь Шульга,1967,67,97.5,57.5,122.5,,277.5,F,SBD,Single-ply,Open,67.5
3,Anna Turanskaya,Анна Туранская,1972,64.2,95,52.5,120,,267.5,F,SBD,Single-ply,Open,67.5
4,Natalya Chernadchuk,Наталья Чернадчук,1976,66.2,97.5,62.5,107.5,,267.5,F,SBD,Single-ply,Open,67.5
5,Viktoriya Boyko,Виктория Бойко,1969,61.3,82.5,40,115,,237.5,F,SBD,Single-ply,Open,67.5
1,Inna Orobets,Инна Оробец,1971,74.5,147.5,92.5,150,,390,F,SBD,Single-ply,Open,75
2,Anna Ganenko,Анна Ганенко,1975,74.2,105,57.5,125,,287.5,F,SBD,Single-ply,Open,75
DQ,Lyudmila Nazarchuk,Людмила Назарчук,1970,71.3,90,50,,,,F,SBD,Single-ply,Open,75
DQ,Valentina Torokhtiy,Валентина Торохтий,1971,81.7,110,67.5,,,,F,SBD,Single-ply,Open,82.5
1,Tatyana Silchenko,Татьяна Сильченко,1961,94.2,60,60,130.5,,250,F,SBD,Single-ply,Open, 90+
1,Nikolay Shkurinskiy,Николай Шкуринский,1976,50.25,122.5,72.5,160,,355,M,SBD,Single-ply,Open,52
2,Vitaliy Gurtovoy,Виталий Гуртовой,1974,50.8,100,70,145,,315,M,SBD,Single-ply,Open,52
3,Stepan Ovcharenko,Степан Овчаренко,1976,51.75,110,67.5,115,,292.5,M,SBD,Single-ply,Open,52
4,Albert Ilin,Альберт Ильин,1978,46.5,75,42.5,100,,217.5,M,SBD,Single-ply,Open,52
1,Sergey Vatyuk,Сергей Ватюк,1962,55.5,160,125,190,,475,M,SBD,Single-ply,Open,56
2,Aleksey Balashov,Алексей Балашов,1975,56,120,80,135,,335,M,SBD,Single-ply,Open,56
1,Vitaliy Arsenev,Виталий Арсеньев,1963,58.5,145,105,170,,420,M,SBD,Single-ply,Open,60
DQ,Aleksey Markin,Алексей Маркин,1974,59.3,,,,,,M,SBD,Single-ply,Open,60
1,Nikolay Podsosonnyy,Николай Подсосонный,1952,66,190,127.5,265,266,582.5,M,SBD,Single-ply,Open,67.5
2,Roman Zuzuk,Роман Зузук,1971,67.1,210,142.5,230,,582.5,M,SBD,Single-ply,Open,67.5
3,Vladimir Kovalenko,Владимир Коваленко,1965,67.5,225,132.5,220,,577.5,M,SBD,Single-ply,Open,67.5
4,Aleksandr Nesterenko,Александр Нестеренко,1953,67.25,232.5,110,220,,562.5,M,SBD,Single-ply,Open,67.5
5,Viktor Fomenko,Виктор Фоменко,1968,66.8,185,130,230,,545,M,SBD,Single-ply,Open,67.5
6,Viktor Khurudzhi,Виктор Хуруджи,1975,67.05,195,115,195,,500,M,SBD,Single-ply,Open,67.5
7,Nikolay Ogly,Николай Оглы,1949,67.45,180,110,205,,495,M,SBD,Single-ply,Open,67.5
8,Anatoliy Parkhomenko,Анатолий Пархоменко,1941,65.55,165,120,190,,475,M,SBD,Single-ply,Open,67.5
9,Mikhail Rozhenko,Михаил Роженко,1974,66.9,175,105,190,,470,M,SBD,Single-ply,Open,67.5
10,Oleg Molokoedov,Олег Молокоедов,1970,66.8,165,120,180,,465,M,SBD,Single-ply,Open,67.5
11,Vladimir Ardelyan,Владимир Арделян,1968,67,165,120,175,,460,M,SBD,Single-ply,Open,67.5
DQ,Aleksandr Chernyshov,Александр Чернышов,1966,67.25,210,,,,,M,SBD,Single-ply,Open,67.5
DQ,Yan Bobrik,Ян Бобрик,1979,66.7,130,,,,,M,SBD,Single-ply,Open,67.5
1,Yuriy Yurtaev,Юрий Юртаев,1961,75,230,160,270,,660,M,SBD,Single-ply,Open,75
2,Dmitriy Chikin,Дмитрий Чикин,1966,74.85,215,125,240,,580,M,SBD,Single-ply,Open,75
3,Leonid Spivak,Леонид Спивак,1966,75,210,130,240,,580,M,SBD,Single-ply,Open,75
4,Sergey Teshu,Сергей Тешу,1976,73.65,210,117.5,200,,527.5,M,SBD,Single-ply,Open,75
5,Valeriy Nemyy,Валерий Немый,1966,73.95,185,115,210,,510,M,SBD,Single-ply,Open,75
6,Andrey Sidorenko,Андрей Сидоренко,1973,71.8,170,145,190,,505,M,SBD,Single-ply,Open,75
7,Sergey Karyy,Сергей Карый,1973,72.45,170,115,200,,485,M,SBD,Single-ply,Open,75
8,Nikolay Palamarchuk,Николай Паламарчук,1949,72.1,160,115,180,,455,M,SBD,Single-ply,Open,75
DQ,Nikolay Geychenko,Николай Гейченко,1960,74,,,,,,M,SBD,Single-ply,Open,75
DQ,Anatoliy Kots,Анатолий Коц,1973,74.35,,,,,,M,SBD,Single-ply,Open,75
1,Vladimir Ukhach,Владимир Ухач,1960,82.45,252.5,200,252.5,,705,M,SBD,Single-ply,Open,82.5
2,Vladimir Makhnyuk,Владимир Махнюк,1958,81.7,255,165,260,,680,M,SBD,Single-ply,Open,82.5
3,Viktor Bettyar,Виктор Беттяр,1957,82.35,250,170,250,,670,M,SBD,Single-ply,Open,82.5
4,Nikolay Kornienko,Николай Корниенко,1966,81.85,230,170,260,,660,M,SBD,Single-ply,Open,82.5
5,Mikhail Solomin,Михаил Соломин,1971,82.3,257.5,155,240,,652.5,M,SBD,Single-ply,Open,82.5
