Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Inna Ivleva,Inna Ivleva,1976,46.1,100,,47.5,,120,267.5,F,SBD,Single-ply,Open,48
2,Viktoriya Shapoval,Viktoriya Shapoval,1973,48,85,,47.5,,110,242.5,F,SBD,Single-ply,Open,48
3,Irina Moysak,Irina Moysak,1975,48,52.5,,25,,65,142.5,F,SBD,Single-ply,Open,48
DQ,Svetlana Krasnobryzhaya,Svetlana Krasnobryzhaya,1960,46.7,,,,,,,F,SBD,Single-ply,Open,48
1,Lyudmila Sinkevich,Lyudmila Sinkevich,1970,51.8,110.5,,55,,140,305,F,SBD,Single-ply,Open,52
2,Svetlana Poplavskaya,Svetlana Poplavskaya,1966,52,110,,60,,135,305,F,SBD,Single-ply,Open,52
3,Larisa Lebedeva,Larisa Lebedeva,1956,51.75,82.5,,55,,97.5,235,F,SBD,Single-ply,Open,52
DQ,Natalya Dmitrieva,Natalya Dmitrieva,1971,51.85,,,,,,,F,SBD,Single-ply,Open,52
DQ,Anna Kurlyshina,Anna Kurlyshina,1976,49,,,,,,,F,SBD,Single-ply,Open,52
1,Svetlana Ustyushina,Svetlana Ustyushina,1964,55.9,90,,63,,120,272.5,F,SBD,Single-ply,Open,56
2,Elena Tolmacheva,Elena Tolmacheva,1968,54.7,75,,52.5,,90,225,F,SBD,Single-ply,Open,56
3,Svetlana Gontsova,Svetlana Gontsova,1974,54.7,70,,40,,102.5,212.5,F,SBD,Single-ply,Open,56
4,Tatyana Bulakh,Tatyana Bulakh,1969,55.5,65,,47.5,,80,192.5,F,SBD,Single-ply,Open,56
1,Larisa Ivanova,Larisa Ivanova,1963,59.15,145,,80,,145,370,F,SBD,Single-ply,Open,60
2,Yaroslav Furduy,Yaroslav Furduy,1971,60,110,,72.5,,165,347.5,F,SBD,Single-ply,Open,60
3,Kseniya Trofimtsova,Kseniya Trofimtsova,1969,59.8,120,,70,,147.5,337.5,F,SBD,Single-ply,Open,60
4,Irina Dubinina,Irina Dubinina,1966,59.6,122.5,,62.5,,140,325,F,SBD,Single-ply,Open,60
5,Svetlana Krasnoshchek,Svetlana Krasnoshchek,1974,57.7,80,,35,,100,205,F,SBD,Single-ply,Open,60
1,Elena Sukhoruk,Elena Sukhoruk,1972,67.5,170,,80,,200,450,F,SBD,Single-ply,Open,67.5
2,Viktoriya Boyko,Viktoriya Boyko,1969,67.2,120,,60,,145,325,F,SBD,Single-ply,Open,67.5
3,Anna Turanskaya,Anna Turanskaya,1972,63,95,,60,,130,285,F,SBD,Single-ply,Open,67.5
4,Zhanna Zavadskaya,Zhanna Zavadskaya,1972,63.4,100,,45,,100,245,F,SBD,Single-ply,Open,67.5
5,Nadezhda Prikhodko,Nadezhda Prikhodko,1973,64.7,95,,42.5,,100,237.5,F,SBD,Single-ply,Open,67.5
1,Anna Ganenko,Anna Ganenko,1975,74,135,,72.5,,140,347.5,F,SBD,Single-ply,Open,75
2,Lyubov Shulga,Lyubov Shulga,1967,68.3,117.5,,57.5,,120,295,F,SBD,Single-ply,Open,75
3,Svetlana Konobridskaya,Svetlana Konobridskaya,1971,70.7,95,,50,,130,275,F,SBD,Single-ply,Open,75
