Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Natalya Chernovtsan,Наталья Черновцан,1981,40.5,67.5,32.5,,95,195,F,SBD,Single-ply,Open,44
1,Svetlana Krasnobryzhaya,Светлана Краснобрыжая,1960,47.5,100,62.5,,117.5,280,F,SBD,Single-ply,Open,48
2,Elena Lapina,Елена Лапина,1972,46,65,35,,85,185,F,SBD,Single-ply,Open,48
3,Natalya Marinets,Наталья Маринец,1976,47.8,65,35,,85,185,F,SBD,Single-ply,Open,48
4,Lesya Guminskaya,Леся Гуминская,1980,47,62.5,35,,80,177.5,F,SBD,Single-ply,Open,48
1,Svetlana Poplavskaya,Светлана Поплавская,1966,50.3,130,70,,140,340,F,SBD,Single-ply,Open,52
2,Elena Bespartochnaya,Елена Беспарточная,1974,52,92.5,72.5,,125,290,F,SBD,Single-ply,Open,52
3,Viktoriya Vashchenok,Виктория Ващенок,1977,50.8,97.5,50,,125,272.5,F,SBD,Single-ply,Open,52
4,Liliya Prots,Лилия Проць,1974,51,110,50,,95,257.5,F,SBD,Single-ply,Open,52
5,Viktoriya Minyaylo,Виктория Миняйло,1973,52,97.5,55,,95,247.5,F,SBD,Single-ply,Open,52
6,Lyudmila Kuprienko,Людмила Куприенко,1963,50,80,40,,115,235,F,SBD,Single-ply,Open,52
7,Marina Greblya,Марина Гребля,1974,50.2,72.5,37.5,,120,230,F,SBD,Single-ply,Open,52
1,Lyudmila Osmanova,Людмила Османова,1976,54,95,70,75,122.5,287.5,F,SBD,Single-ply,Open,56
2,Valeriya Nesterova,Валерия Нестерова,1972,56,102.5,50,,125,272.5,F,SBD,Single-ply,Open,56
3,Elena Kozina,Елена Козина,1968,52.5,90,52.5,,120,262.5,F,SBD,Single-ply,Open,56
DQ,Mariya Dovgay,Мария Довгай,1963,55.4,,,,,,F,SBD,Single-ply,Open,56
DQ,Irina Danilyuk,Ирина Данилюк,1971,55.4,90,,,,,F,SBD,Single-ply,Open,56
1,Lyudmila Starova,Людмила Старова,1970,59.2,155,100,,190,445,F,SBD,Single-ply,Open,60
2,Lina Yashchuk,Лина Ящук,1972,58.9,90,57.5,,132.5,280,F,SBD,Single-ply,Open,60
3,Tatyana Malukha,Татьяна Малуха,1966,59.5,102.5,52.5,,117.5,272.5,F,SBD,Single-ply,Open,60
4,Elena Pilipenko,Елена Пилипенко,1977,58.7,85,50,,105,240,F,SBD,Single-ply,Open,60
1,Viktoriya Posmitnaya,Виктория Посмитная,1966,66.8,112.5,62.5,,110,285,F,SBD,Single-ply,Open,67.5
2,Inna Andrievskaya,Инна Андриевская,1975,63.8,100,45,,130,275,F,SBD,Single-ply,Open,67.5
1,Sergey Vatyuk,Сергей Ватюк,1962,52,160,110,,185,455,M,SBD,Single-ply,Open,52
1,Aleksandr Gromov,Александр Громов,1975,55,165,95,,177.5,437.5,M,SBD,Single-ply,Open,56
2,Andrey Zabozhnyy,Андрей Забожный,1978,53.2,170,85,,180,435,M,SBD,Single-ply,Open,56
3,Viktor Sidorovnin,Виктор Сидоровнин,1979,55,140,80,,160,380,M,SBD,Single-ply,Open,56
DQ,Ruslan Borukh,Руслан Борух,1971,55.4,,,,,,M,SBD,Single-ply,Open,56
1,Vitaliy Arsenev,Виталий Арсеньев,1963,59,195,135,,220,550,M,SBD,Single-ply,Open,60
2,Anatoliy Bochkovskiy,Анатолий Бочковский,1954,58.15,180,97.5,,232.5,510,M,SBD,Single-ply,Open,60
3,Yuriy Martsenyuk,Юрий Марценюк,1974,58.5,170,115,,180,465,M,SBD,Single-ply,Open,60
4,Sergey Derevyanko,Сергей Деревянко,1977,59.9,135,90,,192.5,417.5,M,SBD,Single-ply,Open,60
5,Leonid Panasenko,Леонид Панасенко,1964,58.2,135,97.5,,175,407.5,M,SBD,Single-ply,Open,60
1,Valeriy Kravchenko,Валерий Кравченко,1965,67,260,165,,250,675,M,SBD,Single-ply,Open,67.5
