Place,Name,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment
1,Kristina Doronina,J,48,75,80,-85,80,,-30,-35,35,35,,70,80,90,90,205,48,F,Кристина Дороніна,1980,SBD,Single-ply
1,Kristina Doronina,O,48,75,80,-85,80,,-30,-35,35,35,,70,80,90,90,205,48,F,Кристина Дороніна,1980,SBD,Single-ply
2,Alfiya Yashina,O,47.9,40,45,50,50,,30,-35,,30,,45,-50,-50,45,125,48,F,Альфія Яшина,1970,SBD,Single-ply
1,Natalya Shtyreva,J,48.1,110.5,,,110.5,,60,-65,,60,,110,117.5,,117.5,288,52,F,Наталя Штирьова,1977,SBD,Single-ply
2,Yana Kozhukhova,J,50,45,-50,50,50,,25,-30,-30,25,,50,55,70,70,145,52,F,Яна Кожухова,1982,SBD,Single-ply
1,Natalya Shtyreva,O,48.1,110.5,,,110.5,,60,-65,,60,,110,117.5,,117.5,288,52,F,Наталя Штирьова,1977,SBD,Single-ply
2,Yana Kozhukhova,O,50,45,-50,50,50,,25,-30,-30,25,,50,55,70,70,145,52,F,Яна Кожухова,1982,SBD,Single-ply
1,Gayane Koryakina,O,55.9,80,85,-90,85,,30,35,-40,35,,-100,100,,100,220,56,F,Гаяне Корякіна,1972,SBD,Single-ply
1,Alla Trofimova,J,59.1,75,-85,85,85,,45,-50,-50,45,,100,105,115,115,245,60,F,Алла Трофімова,1978,SBD,Single-ply
2,Svitlana Dudchenko,J,60,-45,50,-52.5,50,,-25,30,32.5,32.5,,50,55,60,60,142.5,60,F,Світлана Дудченко,1982,SBD,Single-ply
1,Alla Trofimova,O,59.1,75,-85,85,85,,45,-50,-50,45,,100,105,115,115,245,60,F,Алла Трофімова,1978,SBD,Single-ply
2,Svitlana Dudchenko,O,60,-45,50,-52.5,50,,-25,30,32.5,32.5,,50,55,60,60,142.5,60,F,Світлана Дудченко,1982,SBD,Single-ply
1,Olga Pavlenko,J,64.7,-80,80,85,85,,45,-50,-50,45,,-100,100,-105,100,230,67.5,F,Ольга Павленко,1975,SBD,Single-ply
2,Svitlana Kolesnikova,J,64.8,45,50,-52.5,50,,25,30,-32.5,30,,-50,-50,50,50,130,67.5,F,Світлана Колеснікова,1982,SBD,Single-ply
1,Olga Pavlenko,O,64.7,-80,80,85,85,,45,-50,-50,45,,-100,100,-105,100,230,67.5,F,Ольга Павленко,1975,SBD,Single-ply
2,Olena Panchenko,O,62,50,50,-52.5,50,,35,-40,40,40,,50,55,65,65,155,67.5,F,Олена Панченко,1970,SBD,Single-ply
3,Svitlana Kolesnikova,O,64.8,45,50,-52.5,50,,25,30,-32.5,30,,-50,-50,50,50,130,67.5,F,Світлана Колеснікова,1982,SBD,Single-ply
1,Svitlana Khlevnenko,O,75,120,,,120,,85,90,,90,,120,130,,130,340,75,F,Світлана Хлевненко,1973,SBD,Single-ply
1,Grigoriy Bondarets,J,51.7,80,85,90,90,,-50,50,55,55,,110,115,120,120,265,52,M,Григорій Бондарець,1981,SBD,Single-ply
2,Oleksandr Zavoloka,J,52,80,90,-100,90,,50,55,-57.5,55,,90,100,-107.5,100,245,52,M,Олександр Заволока,1982,SBD,Single-ply
3,Mykhaylo Shurshkov,J,52,75,80,-85,80,,40,45,-50,45,,100,110,115,115,240,52,M,Михайло Шуршков,1982,SBD,Single-ply
4,Vitaliy Klyuchuk,J,50.8,75,-80,85,85,,-45,45,50,50,,95,100,-110,100,235,52,M,Віталій Ключук,1981,SBD,Single-ply
5,Sergiy Garibyan,J,52,70,75,80,80,,40,-45,45,45,,95,100,105,105,230,52,M,Сергій Гарибян,1983,SBD,Single-ply
5,Andriy Chukhalo,J,52,75,80,85,85,,40,-45,-45,40,,95,100,105,105,230,52,M,Андрій Чухало,1983,SBD,Single-ply
7,Dmytro Rud',J,50.1,70,75,80,80,,40,45,-47.5,45,,95,100,-105,100,225,52,M,Дмитро Рудь,1984,SBD,Single-ply
8,Maxym Vechora,J,43.4,75,80,-85,80,,30,-35,-35,30,,85,91,-92.5,91,201,52,M,Максим Вечора,1982,SBD,Single-ply
DQ,Limader Saidkhalilov,J,50.05,-70,70,75,75,,55,-60,-60,55,,-110,-110,-110,,,52,M,Лімадер Саїдхалілов,1982,SBD,Single-ply
DQ,Leonid Frolov,J,46.7,-70,70,-75,70,,-45,-45,45,45,,,,,,,52,M,Леонід Фролов,1982,SBD,Single-ply
1,Grigoriy Bondarets,O,51.7,80,85,90,90,,-50,50,55,55,,110,115,120,120,265,52,M,Григорій Бондарець,1981,SBD,Single-ply
2,Oleksandr Zavoloka,O,52,80,90,-100,90,,50,55,-57.5,55,,90,100,-107.5,100,245,52,M,Олександр Заволока,1982,SBD,Single-ply
3,Mykhaylo Shurshkov,O,52,75,80,-85,80,,40,45,-50,45,,100,110,115,115,240,52,M,Михайло Шуршков,1982,SBD,Single-ply
4,Vitaliy Klyuchuk,O,50.8,75,-80,85,85,,-45,45,50,50,,95,100,-110,100,235,52,M,Віталій Ключук,1981,SBD,Single-ply
5,Sergiy Garibyan,O,52,70,75,80,80,,40,-45,45,45,,95,100,105,105,230,52,M,Сергій Гарибян,1983,SBD,Single-ply
5,Andriy Chukhalo,O,52,75,80,85,85,,40,-45,-45,40,,95,100,105,105,230,52,M,Андрій Чухало,1983,SBD,Single-ply
7,Dmytro Rud',O,50.1,70,75,80,80,,40,45,-47.5,45,,95,100,-105,100,225,52,M,Дмитро Рудь,1984,SBD,Single-ply
8,Maxym Vechora,O,43.4,75,80,-85,80,,30,-35,-35,30,,85,91,-92.5,91,201,52,M,Максим Вечора,1982,SBD,Single-ply
1,Dmitriy Ubeykon',J,54,130,135,140,140,,85,-90,90,90,,150,160,,160,390,56,M,Дмитрий Убейконь,1981,SBD,Single-ply
2,Taras Onischak,J,56,70,75,85,85,,50,60,65,65,,110,120,125,125,275,56,M,Тарас Онищак,1981,SBD,Single-ply
1,Dmitriy Ubeykon',O,54,130,135,140,140,,85,-90,90,90,,150,160,,160,390,56,M,Дмитрий Убейконь,1981,SBD,Single-ply
2,Taras Onischak,O,56,70,75,85,85,,50,60,65,65,,110,120,125,125,275,56,M,Тарас Онищак,1981,SBD,Single-ply
1,Pavlo Meryasev,J,57.3,135,142.5,147.5,147.5,,70,75,80,80,,160,170,180,180,407.5,60,M,Павло Мерясєв,1979,SBD,Single-ply
2,Rustem Kurtbariyev,J,60,110,-115,-115,110,,75,-80,-80,75,,130,140,147.5,147.5,332.5,60,M,Рустем Куртбарієв,1979,SBD,Single-ply
3,Oleksiy Filimonenko,J,59.7,105,110,,110,,70,-75,-75,70,,120,135,140,140,320,60,M,Олексій Філімоненко,1981,SBD,Single-ply
4,Roman Prytkov,J,60,105,110,-115,110,,70,-75,-75,70,,140,-145,-147.5,140,320,60,M,Роман Притков,1979,SBD,Single-ply
1,Pavlo Meryasev,O,57.3,135,142.5,147.5,147.5,,70,75,80,80,,160,170,180,180,407.5,60,M,Павло Мерясєв,1979,SBD,Single-ply
2,Rustem Kurtbariyev,O,60,110,-115,-115,110,,75,-80,-80,75,,130,140,147.5,147.5,332.5,60,M,Рустем Куртбарієв,1979,SBD,Single-ply
3,Oleksiy Filimonenko,O,59.7,105,110,,110,,70,-75,-75,70,,120,135,140,140,320,60,M,Олексій Філімоненко,1981,SBD,Single-ply
4,Roman Prytkov,O,60,105,110,-115,110,,70,-75,-75,70,,140,-145,-147.5,140,320,60,M,Роман Притков,1979,SBD,Single-ply
1,Viktor Sydorovnin,J,64,180,200,,200,,95,102.5,105,105,,190,-210,210,210,515,67.5,M,Віктор Сидоровнін,1979,SBD,Single-ply
2,Oleksiy Soshnikov,J,66.5,140,-150,-155,140,,-115,115,-120,115,,175,185,-195,185,440,67.5,M,Олексій Сошніков,1977,SBD,Single-ply
3,Maksim Sustavov,J,63.15,120,130,-140,130,,100,105,107.5,107.5,,130,140,150,150,387.5,67.5,M,Максим Суставов,1980,SBD,Single-ply
