Place,Name,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Event,Equipment
1,Yana Chabanenko,J,44,50,-55,-55,50,20,-25,,20,,55,65,-75,65,135,44,F,Яна Чабаненко,1982,SBD,Single-ply
1,Yana Chabanenko,O,44,50,-55,-55,50,20,-25,,20,,55,65,-75,65,135,44,F,Яна Чабаненко,1982,SBD,Single-ply
1,Tetyana Yermakova,J,47,50,60,-62.5,60,25,27.5,30,30,,75,82.5,90,90,180,48,F,Тетяна Єрмакова,1980,SBD,Single-ply
2,Kristina Danilyan,J,47.2,50,55,60,60,25,30,-35,30,,60,70,80,80,170,48,F,Кристина Данилян,1981,SBD,Single-ply
1,Galyna Kurdyukova,O,46.5,55,60,65,65,30,35,-37.5,35,,75,85,92.5,92.5,192.5,48,F,Галина Курдюкова,1964,SBD,Single-ply
2,Tetyana Yermakova,O,47,50,60,-62.5,60,25,27.5,30,30,,75,82.5,90,90,180,48,F,Тетяна Єрмакова,1980,SBD,Single-ply
3,Kristina Danilyan,O,47.2,50,55,60,60,25,30,-35,30,,60,70,80,80,170,48,F,Кристина Данилян,1981,SBD,Single-ply
1,Svitlana Dobrovolska,J,49.9,50,-55,60,60,27.5,-32.5,-32.5,27.5,,65,70,80,80,167.5,52,F,Світлана Добровольська,1982,SBD,Single-ply
1,Svitlana Dobrovolska,O,49.9,50,-55,60,60,27.5,-32.5,-32.5,27.5,,65,70,80,80,167.5,52,F,Світлана Добровольська,1982,SBD,Single-ply
1,Ludmyla Osmanova,J,56,100,110,115,115,77.5,82.5,90,90,,110,120,130,130,335,56,F,Людмила Османова,1976,SBD,Single-ply
2,Iryna Korobova,J,56,95,100,105,105,50,-55,55,55,,100,112.5,-117.5,112.5,272.5,56,F,Ірина Коробова,1975,SBD,Single-ply
3,Narine Barsegyan,J,55.5,50,55,60,60,-25,25,-30,25,,60,70,77.5,77.5,162.5,56,F,Наріне Барсегян,1980,SBD,Single-ply
1,Ludmyla Osmanova,O,56,100,110,115,115,77.5,82.5,90,90,,110,120,130,130,335,56,F,Людмила Османова,1976,SBD,Single-ply
2,Iryna Korobova,O,56,95,100,105,105,50,-55,55,55,,100,112.5,-117.5,112.5,272.5,56,F,Ірина Коробова,1975,SBD,Single-ply
3,Narine Barsegyan,O,55.5,50,55,60,60,-25,25,-30,25,,60,70,77.5,77.5,162.5,56,F,Наріне Барсегян,1980,SBD,Single-ply
1,Tetyana Taradina,O,59,110,117.5,-122.5,117.5,55,-60,-60,55,,110,120,130,130,302.5,60,F,Тетяна Тарадіна,1969,SBD,Single-ply
1,Olena Pasichnyk,O,65.8,95,102.5,-107.5,102.5,-65,65,-72.5,65,,110,120,-130,120,287.5,67.5,F,Олена Пасічник,1974,SBD,Single-ply
1,Maxym Vechora,J,51.9,105,115,-125,115,50,-52.5,,50,,105,115,-122.5,115,280,52,M,Максим Вечора,1982,SBD,Single-ply
2,Nariman Settarov,J,52,75,85,-95,85,50,-55,-55,50,,105,115,-122.5,115,250,52,M,Наріман Сеттаров,1982,SBD,Single-ply
3,Yevgen Skvortsov,J,36.8,50,60,-65,60,25,27.5,-30,27.5,,65,-72.5,72.5,72.5,160,52,M,Євген Скворцов,1984,SBD,Single-ply
1,Maxym Vechora,O,51.9,105,115,-125,115,50,-52.5,,50,,105,115,-122.5,115,280,52,M,Максим Вечора,1982,SBD,Single-ply
2,Nariman Settarov,O,52,75,85,-95,85,50,-55,-55,50,,105,115,-122.5,115,250,52,M,Наріман Сеттаров,1982,SBD,Single-ply
3,Yevgen Skvortsov,O,36.8,50,60,-65,60,25,27.5,-30,27.5,,65,-72.5,72.5,72.5,160,52,M,Євген Скворцов,1984,SBD,Single-ply
1,Dmitriy Ubeykon',J,55.5,140,,,140,90,,,90,,160,,,160,390,56,M,Дмитрий Убейконь,1981,SBD,Single-ply
2,Grigoriy Bondarets,J,56,120,-127.5,,120,70,75,-80,75,,125,130,-135,130,325,56,M,Григорій Бондарець,1981,SBD,Single-ply
1,Dmitriy Ubeykon',O,55.5,140,,,140,90,,,90,,160,,,160,390,56,M,Дмитрий Убейконь,1981,SBD,Single-ply
2,Grigoriy Bondarets,O,56,120,-127.5,,120,70,75,-80,75,,125,130,-135,130,325,56,M,Григорій Бондарець,1981,SBD,Single-ply
1,Roman Prytkov,J,59.95,140,147.5,-152.5,147.5,85,95,100,100,,170,-180,180,180,427.5,60,M,Роман Притков,1979,SBD,Single-ply
2,Anton Sedov,J,60,150,-160,-160,150,70,77.5,-82.5,77.5,,150,160,165,165,392.5,60,M,Антон Сєдов,1980,SBD,Single-ply
3,Oleksiy Sedakov,J,58,100,115,130,130,90,-100,-100,90,,130,150,155,155,375,60,M,Олексій Сєдаков,1979,SBD,Single-ply
4,Mykhaylo Shurshkov,J,60,-135,-135,135,135,65,-70,-70,65,,-140,140,-145,140,340,60,M,Михайло Шуршков,1982,SBD,Single-ply
5,Limader Saidkhalilov,J,59,100,-110,-110,100,-70,-70,70,70,,-140,140,-150,140,310,60,M,Лімадер Саїдхалілов,1982,SBD,Single-ply
1,Yuriy Tymokhin,O,59.5,160,-170,170,170,95,102.5,107.5,107.5,,-175,185,-192.5,185,462.5,60,M,Юрій Тимохін,1967,SBD,Single-ply
2,Roman Prytkov,O,59.95,140,147.5,-152.5,147.5,85,95,100,100,,170,-180,180,180,427.5,60,M,Роман Притков,1979,SBD,Single-ply
3,Anton Sedov,O,60,150,-160,-160,150,70,77.5,-82.5,77.5,,150,160,165,165,392.5,60,M,Антон Сєдов,1980,SBD,Single-ply
4,Oleksiy Sedakov,O,58,100,115,130,130,90,-100,-100,90,,130,150,155,155,375,60,M,Олексій Сєдаков,1979,SBD,Single-ply
5,Vasyl' Ladin,O,60,115,-130,-130,115,100,-110,-110,100,,130,145,-150,145,360,60,M,Василь Ладін,1974,SBD,Single-ply
6,Mykhaylo Shurshkov,O,60,-135,-135,135,135,65,-70,-70,65,,-140,140,-145,140,340,60,M,Михайло Шуршков,1982,SBD,Single-ply
7,Limader Saidkhalilov,O,59,100,-110,-110,100,-70,-70,70,70,,-140,140,-150,140,310,60,M,Лімадер Саїдхалілов,1982,SBD,Single-ply
1,Mykhaylo Telpis,J,65.2,-115,115,122.5,122.5,90,97.5,-102.5,97.5,,130,-140,140,140,360,67.5,M,Михайло Тельпіс,1980,SBD,Single-ply
2,Igor Assmiyanov,J,65,115,-125,-125,115,-90,90,-100,90,,-140,140,150,150,355,67.5,M,Ігор Ассміянов,1977,SBD,Single-ply
3,Andriy Chukhalo,J,65,120,127.5,135,135,60,-67.5,-67.5,60,,130,140,-145,140,335,67.5,M,Андрій Чухало,1983,SBD,Single-ply
DQ,Redvan Khaybulayev,J,64.5,120,130,-135,130,90,100,105,105,,-150,-150,-150,,,67.5,M,Редван Хайбулаєв,1979,SBD,Single-ply
1,Mykhaylo Telpis,O,65.2,-115,115,122.5,122.5,90,97.5,-102.5,97.5,,130,-140,140,140,360,67.5,M,Михайло Тельпіс,1980,SBD,Single-ply
2,Igor Assmiyanov,O,65,115,-125,-125,115,-90,90,-100,90,,-140,140,150,150,355,67.5,M,Ігор Ассміянов,1977,SBD,Single-ply
