Name,Age,Division,Equipment,BodyweightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,Events,Sex
Sam Wilson,13,Teenage (13-15),Wraps,107,114,75,95,115,115,75,-95,100,100,145,160,185,185,400,SBD,M
Josh Lopez,14,Teenage (13-15),Wraps,143,148,125,140,175,175,125,135,155,155,215,250,285,285,615,SBD,M
Joseph Dimaggio Jr.,17,Teenage (16-17),Wraps,179,181,-530,540,-565,540,285,315,-335,315,415,475,-500,475,1330,SBD,M
Adam Shalley,25,Open,Wraps,220,220,-550,575,630,630,275,435,470,470,475,510,-535,510,1610,SBD,M
Kevin Farley,43,Master (40-44),Wraps,219,220,135,,,135,460,480,-500,480,-500,520,-540,520,1135,SBD,M
Jason Woosley,30,Open,Wraps,216,220,315,,,315,450,475,500,500,500,525,550,550,1365,SBD,M
Chris Hartman,24,Open,Raw,272,275,510,525,550,550,410,-435,-445,410,525,-550,550,550,1510,SBD,M
Dennis Gonzalez,34,Open,Wraps,217,220,550,580,615,615,365,385,-410,385,500,535,555,555,1555,SBD,M
Tony Chirico,39,Submaster (33-39),Wraps,265,275,640,675,725,725,500,545,585,585,475,510,565,565,1875,SBD,M
Tony Chirico,39,Open,Wraps,265,275,640,675,725,725,500,545,585,585,475,510,565,565,1875,SBD,M
Robert Falcioni,53,Master (50-54),Wraps,243,275,585,-665,-685,585,385,420,445,445,500,570,600,600,1630,SBD,M
Mike Bratta,24,Open,Wraps,215,220,650,-705,-705,650,485,515,550,550,545,585,605,605,1805,SBD,M
Stephen Wagner,27,Open,Wraps,230,242,-805,-805,835,835,550,615,,615,550,-625,640,640,2090,SBD,M
Alex Camacho,22,Junior (20-23),Wraps,240,242,700,-750,750,750,535,575,-605,575,600,635,-675,635,1960,SBD,M
Zak Krueger,33,Open,Wraps,241,242,-875,-875,875,875,535,-560,560,560,625,655,675,675,2110,SBD,M
Zak Krueger,33,Submaster (33-39),Wraps,241,242,-875,-875,875,875,535,-560,560,560,625,655,675,675,2110,SBD,M
Ernie Lilliebridge Sr.,37,,Raw,291,308,500,525,555,555,350,400,425,425,650,705,-725,705,1685,SBD,M
Eric Lilliebridge,19,Teenage (18-19),Wraps,267,275,685,735,765,765,430,465,500,500,705,750,800,800,2065,SBD,M
Jake Baker,21,Junior (20-23),Wraps,212,220,630,-700,-700,630,440,-480,-500,440,-570,570,,570,1640,SBD,M
Tim Wilke,35,Submaster (33-39),Wraps,241,242,600,-700,-700,600,315,335,350,350,-600,600,,600,1550,SBD,M
Joseph Dimaggio Sr.,49,Master (45-49),Wraps,217,220,-590,-615,-615,,350,-380,-385,350,,,,,,SBD,M
Laurie McHugh,44,,Raw,177,181,,,,,75,85,-100,85,,,,,85,B,F
Divale Roberson,19,Teenage (18-19),Raw,143,148,,,,,255,270,-280,270,,,,,270,B,M
Joe Somma,45,Master (45-49),Raw,162,165,,,,,365,385,420,420,,,,,420,B,M
Jeff Bishop,46,Master (45-49),Raw,223,242,,,,,440,470,-500,470,,,,,470,B,M
John Lucas,52,Master (50-54),Raw,268,275,,,,,510,530,-545,530,,,,,530,B,M
Barzeen Vaziri,24,Open,Raw,289,308,,,,,545,-600,600,600,,,,,600,B,M
Mike Smothers,44,Master (40-44),Raw,217,220,,,,,555,600,-625,600,,,,,600,B,M
Pete Arroyo,30,Open,Raw,255,275,,,,,-625,635,-655,635,,,,,635,B,M
