Name,Age,Sex,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Richard Haas,42,M,M-M2R-AD,Raw,130.7,140,462.97,490.52,512.57,512.57,369.27,391.32,407.85,407.85,473.99,501.55,534.62,534.62,1455.04,SBD,1
Erv Domahski,40,M,M-M2-AD,Multi-ply,89.9,90,677.91,-727.52,-749.56,677.91,385.81,418.87,435.41,435.41,540.13,-584.22,584.22,584.22,1697.54,SBD,1
Joseph Johnson,18,M,M-T3R,Raw,65.8,67.5,231.48,-275.58,275.58,275.58,170.86,198.41,-214.95,198.41,270.06,303.13,341.71,341.71,815.7,SBD,1
Jacob Swartz,19,M,M-T3R,Raw,83.4,90,347.22,374.78,407.85,407.85,270.06,281.09,-303.13,281.09,451.94,473.99,501.55,501.55,1190.49,SBD,1
DJ Nelson,19,M,M-T3R,Raw,98,100,407.85,457.45,501.55,501.55,259.04,292.11,314.16,314.16,473.99,-545.64,-545.64,473.99,1289.7,SBD,1
Hunter Glocker,18,M,M-T3R,Raw,96.7,100,468.48,490.52,507.06,507.06,281.09,303.13,314.16,314.16,-407.85,424.39,446.43,446.43,1267.64,SBD,2
Bull Huber,45,M,M-M3,Multi-ply,136.1,140,176.37,,,176.37,176.37,,,176.37,600.75,-633.82,,600.75,953.49,SBD,1
Shane Cohan,17,M,M-T2,Multi-ply,88.9,90,529.1,573.2,600.75,600.75,-385.81,385.81,-418.87,385.81,496.04,529.1,551.15,551.15,1537.71,SBD,1
Bill Carlough,52,M,M-M4,Multi-ply,82.2,82.5,529.1,562.17,600.75,600.75,407.85,-424.39,-424.39,407.85,429.9,473.99,501.55,501.55,1510.15,SBD,1
Hugh Perone,53,M,M-M4R,Raw,102.4,110,407.85,440.92,-462.97,440.92,242.51,-253.53,-253.53,242.51,407.85,-440.92,440.92,440.92,1124.35,SBD,1
Scott Schwartz,22,M,M-JR-AD,Raw,88.5,90,429.9,485.01,507.06,507.06,319.67,-352.74,-363.76,319.67,540.13,589.73,617.29,617.29,1444.02,SBD,1
Brendan Johnston,20,M,M-JR,Multi-ply,89.5,90,507.06,-567.88,-584.22,507.06,292.11,314.16,330.69,330.69,507.06,567.68,-578.71,567.68,1405.43,SBD,1
Matt Teijido,21,M,M-JR,Multi-ply,107.5,110,413.36,468.48,501.55,501.55,303.13,336.2,-369.27,336.2,523.59,578.51,606.27,606.27,1444.02,SBD,1
Nicholas Berry,20,M,M-JR,Multi-ply,108.4,110,473.99,501.55,-518.08,501.55,330.69,-347.22,363.76,363.76,485.01,496.04,,496.04,1361.35,SBD,2
Dalton Whitted,13,M,M-T1,Multi-ply,73.3,75,235.89,253.53,-270.06,253.53,-145.5,-145.5,145.5,145.5,336.2,358.25,-385.51,358.25,757.23,SBD,1
Jamison Braun,45,M,M-M3R,Raw,81.9,82.5,341.71,369.27,385.51,385.51,242.51,259.04,270.06,270.06,407.85,446.43,485.01,485.01,1140.58,SBD,1
Nick Frazzetta,49,M,M-M3R,Raw,120.6,125,457.45,468.48,485.01,485.01,341.71,363.76,380.29,380.29,479.5,501.55,534.62,534.62,1399.92,SBD,1
Bryan Hoffman,39,M,M-M1R,Raw,114.6,125,551.15,578.71,617.29,617.29,440.92,-473.99,-473.99,440.92,424.39,451.94,473.99,473.99,1532.2,SBD,1
Tom Kalles,19,M,M-T3R-AD,Raw,72.5,75,402.34,451.94,473.99,473.99,253.53,275.58,-286.6,275.58,473.99,518.08,-540.13,518.08,1267.65,SBD,1
Adam Shalley,28,M,M-OR-AD,Raw,103.6,110,402.34,485.01,,485.01,286.6,325.18,-369.27,325.18,451.94,507.06,-534.62,507.06,1317.25,SBD,1
Patrick Warren,26,M,M-OR,Raw,99.6,100,507.06,534.62,573.2,573.2,319.67,-336.2,336.2,336.2,551.15,600.75,639.33,639.33,1548.73,SBD,1
Tim Welch,26,M,M-OR,Raw,99,100,-462.97,462.97,501.55,501.55,275.58,-292.11,-292.11,275.58,567.88,-578.71,578.71,578.71,1355.84,SBD,2
Daniel Dalenburg,23,M,M-OR,Raw,106.3,110,628.31,650.36,672.4,672.4,374.78,402.34,-418.87,402.34,567.88,606.27,628.31,628.31,1703.05,SBD,1
Joe Trent,29,M,M-OR,Raw,109.9,110,545.64,584.22,600.75,600.75,308.64,-330.69,-330.69,308.64,540.13,551.15,584.22,584.22,1493.61,SBD,2
