Name,Age,Division,Sex,BodyweightLBS,WeightClassLBS,Equipment,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftKg,TotalLBS,Event,Place
Beth Thomas,34,F-EO,F,130.7,132,Multi-ply,350,380,400,400,260,280,290,290,335,360,375,375,1065,SBD,1
Tracey Mach,,F-EO,F,142.2,148,Multi-ply,300,375,410,410,220,250,265,265,300,320,340,340,1015,SBD,1
Kristin Vaziri,,F-EO,F,132.5,148,Multi-ply,-380,400,420,420,-205,205,225,225,-275,-275,275,275,920,SBD,2
Kathy Johnson,,F-EO,F,164.6,165,Multi-ply,425,465,510,510,305,335,365,365,375,-410,-425,375,1250,SBD,1
Shelley Brandenburg,,F-EO,F,160.6,165,Multi-ply,385,-410,-410,385,225,250,270,270,325,350,375,375,1030,SBD,2
Paula Sheyneman,,F-RJr,F,123,123,Wraps,195,215,-225,215,125,145,155,155,250,275,-285,275,645,SBD,1
Ellen Tomski,,F-RM3,F,123,123,Wraps,-190,205,-220,205,115,-125,-125,115,250,275,-290,275,595,SBD,1
Kathy Walsh,,F-RM2,F,197.6,198,Wraps,-245,245,285,285,120,135,-145,135,270,300,320,320,740,SBD,1
Candace Puopolo,,F-RO,F,129.8,132,Wraps,220,235,250,250,165,175,195,195,280,305,315,315,760,SBD,1
Pam Bosko,,F-RO,F,147.6,148,Wraps,290,325,350,350,165,185,-205,185,360,405,-425,405,940,SBD,1
Nina Martin,,F-RO,F,163.4,165,Wraps,165,-195,-200,165,90,110,-120,110,185,210,235,235,510,SBD,1
Dan Dague,,M-EM3,M,260.2,275,Multi-ply,680,735,-755,735,455,-500,-500,455,550,-605,-605,550,1740,SBD,1
Pete Sengos,,M-EM2,M,216.8,220,Multi-ply,-660,690,720,720,455,490,510,510,-570,620,655,655,1885,SBD,1
Ken Whetham,,M-EM2,M,266.4,275,Multi-ply,725,770,-805,770,475,500,-515,500,-620,620,670,670,1940,SBD,1
