Name,Age,Sex,Equipment,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Place
Sarah Effinger,,F,Multi-ply,F-EO,129.2,132,501.5,253.5,407.9,1162.9,SBD,1
Erica Youster,,F,Multi-ply,F-Esub,162.4,165,501.5,253.5,352.7,1107.7,SBD,1
Abby Marsh,,F,Raw,F-G,,,,,16.5,16.5,D,G
Mireya Regaldo,,F,Raw,F-G,,,,,44.1,44.1,D,G
Ashlynn Faber,,F,Raw,F-G,,,,,49.6,49.6,D,G
Dani Bruns,,F,Raw,F-G,,,,,77.2,77.2,D,G
Laura Bruns,,F,Raw,F-G,,,,,77.2,77.2,D,G
Ava Ball,,F,Raw,F-G,,,,,82.7,82.7,D,G
Mya Brandenburg,,F,Raw,F-G,,,,,203.9,203.9,D,G
Chelsea Wojciechowski,,F,Wraps,F-Rjr,163.2,165,308.6,187.4,369.3,865.3,SBD,1
Danielle Hart,,F,Raw,F-RM1,171.8,181,,,264.6,264.6,D,1
Michele Paris,,F,Wraps,F-RM1,120.8,123,237,137.8,292.1,666.9,SBD,1
Erin Janowicz,,F,Wraps,F-RM1,130.8,132,,121.3,341.7,,SBD,DQ
DeAnn Mason,,F,Wraps,F-RM1,281.6,198+,380.3,214.9,385.8,981,SBD,1
Vanessa Wasko,,F,Wraps,F-RM2,129,132,270.1,126.8,286.6,683.5,SBD,1
Tracey Patrick,,F,Wraps,F-RM2,148.4,148,402.3,242.5,363.8,1008.6,SBD,1
James Proce,,F,Raw,F-RM3,179.8,181,,275.6,,275.6,B,1
Pam Yagiela,,F,Wraps,F-RM6,138.2,148,181.9,88.2,259,529.1,SBD,1
Kat Zemke,,F,Raw,F-RO,160,165,,165.3,,165.3,B,1
Jamie Chistenson,,F,Wraps,F-RO,132,132,347.2,220.5,451.9,1019.6,SBD,1
Rebecca Vore,,F,Wraps,F-RO,145,148,203.9,99.2,253.5,556.6,SBD,2
Stephanie Marsh,,F,Wraps,F-RO,141.2,148,264.6,159.8,314.2,738.6,SBD,1
Everly Blank,,F,Wraps,F-RO,159,165,402.3,231.5,418.9,1052.7,SBD,3
Anna DuCharme,,F,Wraps,F-RO,163.4,165,451.9,181.9,446.4,1080.2,SBD,2
Kylee Craig,,F,Wraps,F-RO,162.8,165,440.9,281.1,396.8,1118.8,SBD,1
Stevi-Rae Sanna,,F,Wraps,F-RO,165,165,209.4,,286.6,,SBD,DQ
Kelly Studebaker,,F,Wraps,F-RO,179.2,181,88.2,55.1,143.3,286.6,SBD,1
