Name,Age,Tested,Division,BodyweightKG,WeightClassKG,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Benche1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,State,Equipment,Sex,Event
Julianna McMahan,16,No,Teen (16-17),88.9,90,187.39,220.46,253.53,,253.53,82.673,-104.72,-104.72,82.673,198.41,231.48,-264.55,231.48,567.6845,,Wraps,F,SBD
Tana Sinarski,21,No,Junior (20-23),63.4,67.5,253.53,264.55,-270.06,,264.55,176.37,-181.88,181.88,181.88,314.16,325.18,336.2,336.2,782.633,,Wraps,F,SBD
Rebecca Armbruster,23,No,Junior (20-23),66.9,67.5,115.74,143.3,165.35,,165.35,110.23,-126.76,126.76,126.76,176.37,209.44,236.99,236.99,529.104,,Wraps,F,SBD
Christina Thomas,22,No,Junior (20-23),63.9,67.5,148.81,159.83,170.86,,170.86,77.161,88.184,93.696,93.696,203.93,220.46,242.51,242.51,507.058,,Wraps,F,SBD
Katie Wilson,23,No,Junior (20-23),78.1,82.5,137.79,154.32,-176.37,,154.32,93.696,104.72,110.23,110.23,170.86,192.9,214.95,214.95,479.5005,,Wraps,F,SBD
Erin Ondercin,38,No,Submaster (33-39),51.1,52,143.3,165.35,-176.37,,165.35,99.207,-121.25,-121.25,99.207,225.97,236.99,253.53,253.53,518.081,,Wraps,F,SBD
Katelyn Colaner,25,No,Open,58.6,60,209.44,231.48,-253.53,,231.48,99.207,121.25,-132.28,121.25,220.46,253.53,270.06,270.06,622.7995,,Wraps,F,SBD
Val Taton,26,No,Open,73.25,75,209.44,225.97,231.48,,231.48,104.72,-115.74,115.74,115.74,209.44,225.97,242.51,242.51,589.7305,,Wraps,F,SBD
Tommy Lavelle Jr.,18,No,Teen (18-19),74.15,75,462.97,512.57,-534.62,,512.57,225.97,242.51,-275.58,242.51,402.34,462.97,473.99,473.99,1229.0645,,MultiPly,M,SBD
Scott Brundage,47,No,Master (45-49),85.05,90,-650.36,650.36,705.47,,705.47,462.97,-479.5,-479.5,462.97,440.92,-468.48,-468.48,440.92,1609.358,,MultiPly,M,SBD
Gary Henry,49,No,Master (45-49),124.8,125,705.47,749.56,777.12,,777.12,523.59,-551.15,-551.15,523.59,611.78,639.33,655.87,655.87,1956.5825,,MultiPly,M,SBD
Charles Holmes,50,No,Master (50-54),108.8,110,479.5,501.55,540.13,-551.15,540.13,347.22,-369.27,-369.27,347.22,496.04,512.57,-573.2,512.57,1399.921,,Wraps,M,SBD
