Name,Age,Equipment,Division,Sex,BodyweightLBS,WeightClassLBS,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Place,Tested
Jackie Stone,40,Multi-ply,F-AD-E-M1,F,245.6,198+,,147.5,,147.5,B,1,Yes
Erin Zemanovic,49,Multi-ply,F-AD-E-M2,F,179.2,181,,107.5,,107.5,B,2,Yes
Rachel Nutter,48,Multi-ply,F-AD-E-M2,F,318.6,198+,,190,,190,B,1,Yes
Ann Lenz,40,Multi-ply,F-AD-E-O,F,178.2,181,227.5,127.5,170,525,SBD,1,Yes
Kathy Johnson,30,Multi-ply,F-AD-E-O,F,182.4,198,,142.5,,142.5,B,1,Yes
Darlene Delk,41,Wraps,F-AD-R-M1,F,195.3,198,112.5,65,145,322.5,SBD,1,Yes
Nicole Umland,47,Wraps,F-AD-R-M2,F,132.2,132,80,45,122.5,247.5,SBD,1,Yes
Jacqueline Geppert,42,Raw,F-AD-R-M2,F,171.4,181,,85,,85,B,1,Yes
Barb Welp,47,Raw,F-AD-R-M2,F,177.2,181,,,130,130,D,1,Yes
Donna Adams,46,Wraps,F-AD-R-M2,F,191.4,198,152.5,80,162.5,395,SBD,1,Yes
Julie Valenzuela,43,Raw,F-AD-R-M2,F,268,198+,,50,,50,B,1,Yes
Tina Jones,59,Raw,F-AD-R-M4,F,233.8,198+,,67.5,,67.5,B,1,Yes
Kayla Forcier,24,Wraps,F-AD-R-O,F,112.2,114,137.5,77.5,145,360,SBD,1,Yes
Bridget Schneider,33,Wraps,F-AD-R-O,F,148.8,148,117.5,62.5,150,330,SBD,1,Yes
Alyssa Dirkes,27,Wraps,F-AD-R-O,F,163.6,165,142.5,70,147.5,360,SBD,2,Yes
Siera Brown,32,Wraps,F-AD-R-O,F,159.6,165,142.5,77.5,160,380,SBD,1,Yes
Shawna Puopolo,45,Wraps,F-AD-R-O,F,180.8,181,92.5,,,,SBD,DQ,Yes
Kristy Kinney,26,Wraps,F-AD-R-O,F,200.2,198+,127.5,50,135,312.5,SBD,1,Yes
Aubrie Harrington,16,Wraps,F-AD-R-T2,F,123,123,97.5,42.5,120,260,SBD,1,Yes
Cinda Dixon,42,Multi-ply,F-E-M1,F,208.8,198+,,105,,105,B,1,
Liane Sabourin,44,Multi-ply,F-E-M1,F,298.6,198+,70,,190,,SBD,DQ,
Elizabeth Grundy,55,Multi-ply,F-E-M4,F,131.4,132,205,,,,SBD,DQ,
Belinda Clary,44,Multi-ply,F-E-O,F,145.8,148,220,125,185,530,SBD,2,
Jeannie Nutter,34,Multi-ply,F-E-O,F,148,148,255,140,207.5,602.5,SBD,1,
Maria Bouchard,44,Raw,F-R-M1,F,147.6,148,,,97.5,97.5,D,1,
Stephanie Merfeld,48,Raw,F-R-M2,F,217,198+,,60,,60,B,1,
Whitney Hanson,54,Wraps,F-R-M3,F,129.8,132,82.5,42.5,102.5,227.5,SBD,1,Yes
Monica Johnson,60,Wraps,F-R-O,F,131.8,132,100,52.5,130,282.5,SBD,1,
Caitlin Marsh,27,Wraps,F-R-O,F,148.8,148,60,42.5,80,182.5,SBD,2,
Danielle DeBehnke,38,Wraps,F-R-O,F,143.4,148,75,45,122.5,242.5,SBD,1,
Noemi Dreier,24,Wraps,F-R-O,F,178.4,181,115,47.5,120,282.5,SBD,1,
Jennifer Blake,41,Wraps,F-R-O,F,185.6,198,112.5,70,142.5,325,SBD,2,
Jessica Putland ,26,Wraps,F-R-O,F,197.4,198,182.5,87.5,215,485,SBD,1,
Sarah Fox,35,Raw,F-R-PF,F,183.2,198,,,132.5,132.5,D,1,Yes
Abbie Raudabaugh ,39,Raw,F-R-S,F,146.6,148,,,122.5,122.5,D,1,Yes
Nikki Mensen,39,Raw,F-R-S,F,254.6,198+,,,115,115,D,1,
Allie Bouchard,14,Raw,F-R-T1,F,110.6,114,,,72.5,72.5,D,1,
Alex Bruns ,14,Wraps,F-R-T1,F,131.8,132,57.5,,67.5,,SBD,DQ,
Emma Salazar,14,Raw,F-R-T2,F,197.8,198,,,127.5,127.5,D,1,
Samantha Quillen,17,Wraps,F-R-T2,F,195.8,198,65,32.5,125,222.5,SBD,1,
Hattie Jenkins,16,Wraps,F-R-T2,F,225,198+,85,50,97.5,232.5,SBD,1,
Amelia Merfeld,18,Wraps,F-R-T3,F,111,114,55,45,72.5,172.5,SBD,1,
Jerry Adkins,44,Multi-ply,M-AD-E-M1,M,253.1,275,,170,,170,B,1,Yes
Howard Penrose,52,Multi-ply,M-AD-E-M3,M,330.2,308+,,235,,235,B,1,Yes
Matt Dahl,27,Multi-ply,M-AD-E-O,M,178.4,181,295,82.5,250,627.5,SBD,1,Yes
Jeremy Thomas,38,Multi-ply,M-AD-E-O,M,197.5,198,337.5,,,,SBD,DQ,Yes
Austin Patkos,24,Multi-ply,M-AD-E-O,M,223.5,242,307.5,197.5,300,805,SBD,1,Yes
Steve Boring,31,Multi-ply,M-AD-E-O,M,255.6,275,,247.5,,247.5,B,1,Yes
Jordan Gibson,26,Multi-ply,M-AD-E-O,M,265.1,275,395,215,260,870,SBD,2,Yes
Kyle Duchsherer,37,Multi-ply,M-AD-E-O,M,274.7,275,345,252.5,272.5,870,SBD,1,Yes
Brandon Bunn,26,Multi-ply,M-AD-E-O,M,307.1,308,420,265,287.5,972.5,SBD,2,Yes
Nate Yelton,28,Multi-ply,M-AD-E-O,M,300.8,308,460,307.5,290,1057.5,SBD,1,Yes
Behzad Bakhshandeh,28,Multi-ply,M-AD-E-O,M,410,308+,,227.5,,227.5,B,1,Yes
Walter Leher,41,Multi-ply,M-AD-E-O,M,335.5,308+,380,260,270,910,SBD,1,Yes
Brandon Vandermarliere,23,Raw,M-AD-R-JR,M,194.7,198,,,320,320,D,1,Yes
Nathan Rosa,41,Raw,M-AD-R-M1,M,256,275,,185,,185,B,1,Yes
Scott Sutherlin,47,Wraps,M-AD-R-M2,M,241.1,242,250,167.5,250,667.5,SBD,1,Yes
Dane Anderson,24,Wraps,M-AD-R-O,M,184,198,217.5,137.5,250,605,SBD,1,Yes
Kolby Harrington,17,Wraps,M-AD-R-O,M,215,220,250,112.5,260,622.5,SBD,1,Yes
Doug Staley,29,Raw,M-AD-R-O,M,362.2,308+,,,300,300,D,1,Yes
Kyle Norman,36,Wraps,M-AD-R-S,M,176.2,181,185,132.5,230,547.5,SBD,1,Yes
Brandon Gast,35,Wraps,M-AD-R-S,M,231.3,242,185,110,205,500,SBD,2,Yes
Brad Wozniak,37,Wraps,M-AD-R-S,M,238.7,242,187.5,160,240,587.5,SBD,1,Yes
Andy Bosnyak,40,Multi-ply,M-E-M1,M,270.9,275,,,,,B,DQ,
Jason Gibson,46,Multi-ply,M-E-M2,M,240.1,242,,,,,B,DQ,
Jeff Brown,48,Multi-ply,M-E-M2,M,288.8,308,327.5,,,,SBD,DQ,
Bill Carlough,58,Multi-ply,M-E-M4,M,189.7,198,335,250,232.5,817.5,SBD,1,
John Lenz,46,Multi-ply,M-E-O,M,260,275,297.5,207.5,227.5,732.5,SBD,2,
Joseph Grosz,38,Multi-ply,M-E-O,M,273.3,275,415,285,322.5,1022.5,SBD,1,
Kevin Frey,40,Multi-ply,M-E-O,M,291,308,,250,,250,B,1,
Marshall Johnson,36,Multi-ply,M-E-O,M,305,308,502.5,355,387.5,1245,SBD,1,
Frankie Puopolo,27,Multi-ply,M-E-O,M,282.5,308,350,,,,SBD,DQ,
Joey Kouba,33,Multi-ply,M-E-O,M,383.9,308+,,162.5,,162.5,B,2,
Bradley Slinning,45,Multi-ply,M-E-O,M,372.2,308+,,335,,335,B,1,
Nathan Baptist,35,Multi-ply,M-E-O,M,490,308+,555,342.5,302.5,1200,SBD,1,
Corey Britton,32,Multi-ply,M-E-O,M,341.7,308+,415,,350,,SBD,DQ,
Josh Smith,35,Multi-ply,M-E-S,M,147,148,,97.5,,97.5,B,1,
Brian Reed,37,Multi-ply,M-E-S,M,260,275,,,,,SBD,DQ,
Chris Miller,39,Multi-ply,M-E-S,M,289.4,308,350,272.5,142.5,765,SBD,1,
Seth Tolbert,22,Wraps,M-R-JR,M,236.1,242,292.5,215,295,802.5,SBD,1,
Gabe Bonneville,40,Wraps,M-R-M1,M,240.4,242,307.5,170,305,782.5,SBD,1,
Michael Risher,43,Raw,M-R-M1,M,255.4,275,,,242.5,242.5,D,1,
Mark Grothe,54,Raw,M-R-M3,M,219,220,,185,,185,B,1,
Chuck Slane,50,Wraps,M-R-M3,M,223.2,242,147.5,102.5,162.5,412.5,SBD,2,
Scorpion Rodriguez,53,Wraps,M-R-M3,M,270.7,275,227.5,125,227.5,580,SBD,1,
Ryan Marx,32,Wraps,M-R-O,M,217.5,220,165,117.5,197.5,480,SBD,2,
Shawn Frankl,42,Wraps,M-R-O,M,216.8,220,320,227.5,295,842.5,SBD,1,
Jon Idelson,33,Wraps,M-R-O,M,220.3,220,,142.5,,,SBD,DQ,
Lee Carter,32,Wraps,M-R-O,M,230.6,242,190,127.5,222.5,540,SBD,3,
Pat Elkin,34,Wraps,M-R-O,M,239.3,242,230,155,227.5,612.5,SBD,2,
Shawn Chase,28,Wraps,M-R-O,M,229.2,242,320,195,295,810,SBD,1,
Brandon Brigham,33,Raw,M-R-O,M,256.4,275,,,,,B,DQ,
Brad Neitzel,30,Raw,M-R-O,M,307.2,308,,,365,365,D,1,
Mike Langel,27,Wraps,M-R-O,M,294,308,272.5,147.5,262.5,682.5,SBD,3,
Luke Dreier,33,Wraps,M-R-O,M,294.6,308,312.5,205,267.5,785,SBD,2,
Nate McLaughlin,27,Wraps,M-R-O,M,277.4,308,350,210,297.5,857.5,SBD,1,
