12-Jul-19,Relentless 2019-Kg Results (Friday),,,,,,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Glossbrenner,Best Squat,Best Bench,Sub Total,Best Deadlift,PL Total,Coeff Score,
UPA Equipped (F),,,,,,,,,,,,
Jeannie Nutter,34,F-E-O,148,148,0.90385,255,140,395,207.5,602.5,544.569625,BEST LIFTER
UPA RAW (F),,,,,,,,,,,,
Alex Bruns ,14,F-R-T1,131.8,132,0.9903,57.5,0,0,67.5,0,0,
Samantha Quillen,17,F-R-T2,195.8,198,0.75305,65,32.5,97.5,125,222.5,167.553625,
Danielle DeBehnke,38,F-R-O,143.4,148,0.92665,75,45,120,122.5,242.5,224.712625,
Noemi Dreier,24,F-R-O,178.4,181,0.79615,115,47.5,162.5,120,282.5,224.912375,
Jessica Putland ,26,F-R-O,197.4,198,0.7497,182.5,87.5,270,215,485,363.6045,BEST LIFTER
Nicole Umland,47,F-AD-R-M2,132.2,132,0.9876,80,45,125,122.5,247.5,244.431,
Whitney Hanson,54,F-R-M3,129.8,132,1.0024,82.5,42.5,125,102.5,227.5,228.046,
UPA-AD RAW (F),,,,,,,,,,,,
Aubrie Harrington,16,F-AD-R-T2,123,123,1.0469,97.5,42.5,140,120,260,272.194,
Bridget Schneider,33,F-AD-R-O,148.8,148,0.89995,117.5,62.5,180,150,330,296.9835,
Alyssa Dirkes,27,F-AD-R-O,163.6,165,0.84215,142.5,70,212.5,147.5,360,303.174,
Shawna Puopolo,45,F-AD-R-O,180.8,181,0.78945,92.5,0,0,0,0,0,
Kristy Kinney,26,F-AD-R-O,200.2,SHW,0.7446,127.5,50,177.5,135,312.5,232.6875,
UPA Equipped (M),,,,,,,,,,,,
John Lenz,46,M-E-O,260,275,0.55355,297.5,207.5,505,227.5,732.5,405.475375,
Jeff Brown,48,M-E-M2,288.8,308,0.5393,327.5,0,0,0,0,0,
UPA-AD Equipped (M),,,,,,,,,,,,
Matt Dahl,27,M-AD-E-O,178.4,181,0.6557,295,82.5,377.5,250,627.5,411.45175,
Austin Patkos,24,M-AD-E-O,223.5,242,0.57805,307.5,197.5,505,300,805,465.33025,
Walter Leher,41,M-AD-E-O,335.5,SHW,0.52145,380,260,640,270,910,474.5195,
UPA RAW (M),,,,,,,,,,,,
Seth Tolbert,22,M-R-JR,236.1,242,0.56695,292.5,215,507.5,295,802.5,454.977375,
Ryan Marx,32,M-R-0,217.5,220,0.58455,165,117.5,282.5,197.5,480,280.584,
Pat Elkin,34,M-R-0,239.3,242,0.5647,230,155,385,227.5,612.5,345.87875,
Nate McLaughlin,27,M-R-0,277.4,308,0.54455,350,210,560,297.5,857.5,466.951625,
Gabe Bonneville,40,M-R-M1,240.4,242,0.56395,307.5,170,477.5,305,782.5,441.290875,
Scorpion Rodriguez,53,M-R-M3,270.7,275,0.548,227.5,125,352.5,227.5,580,317.84,
UPA-AD RAW (M),,,,,,,,,,,,
Dane Anderson,24,M-AD-R-O,184,198,0.63965,217.5,137.5,355,250,605,386.98825,BEST LIFTER
Kolby Harrington,17,M-AD-R-O,215,220,0.58775,250,112.5,362.5,260,622.5,365.874375,
Kyle Norman,36,M-AD-R-S,176.2,181,0.6613,185,132.5,317.5,230,547.5,362.06175,
Brad Wozniak,37,M-AD-R-S,238.7,242,0.565,187.5,160,347.5,240,587.5,331.9375,
Scott Sutherlin,47,M-AD-R-M2,241.1,242,0.56335,250,167.5,417.5,250,667.5,376.036125,
,,,,,,,,,,,,
12-Jul-19,Relentless 2019-Kg Results,,,,,BENCH ,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Glossbrenner,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Coeff Score,
UPA Equipped (F),,,,,,,,,,,,
Cinda Dixon,42,F-E-M1,208.8,SHW,0.73135,77.5,92.5,105,,105,76.79175,
UPA Equipped (M),,,,,,,,,,,,
Josh Smith,35,M-E-S,147,148,0.7561,97.5,-155,-155,,97.5,73.71975,
UPA-AD Equipped (M),,,,,,,,,,,,
Jerry Adkins,44,M-AD-E-M1,253.1,275,0.55645,157.5,170,-182.5,,170,94.5965,
Steve Boring,31,M-AD-E-O,255.6,275,0.5557,217.5,247.5,-262.5,,247.5,137.53575,
,,,,,,,,,,,,
,,,,,,,,,,,,
12-Jul-19,Relentless 2019-Kg Results,,,,,Deadlift ,,,,,,
Name,Age,Div,BWt (Lb),WtCls (Lb),Glossbrenner,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best Deadlift,Coeff Score,
UPA RAW (F),,,,,,,,,,,,
Allie Bouchard,14,F-R-T1,110.6,114,1.1388,72.5,-82.5,-82.5,,72.5,82.563,
Emma Salazar,14,F-R-T2,197.8,198,0.7487,115,127.5,-137.5,,127.5,95.45925,
Nikki Mensen,39,F-R-S,254.6,SHW,0.68365,100,115,-122.5,,115,78.61975,
Maria Bouchard,44,F-R-M1,147.6,148,0.9049,82.5,97.5,-102.5,,97.5,88.22775,
Barb Welp,47,F-AD-R-M2,177.2,181,0.79925,117.5,130,-137.5,,130,103.9025,
UPA-AD RAW (F),,,,,,,,,,,,
Brad Neitzel,30,M-R-0,307.2,308,0.5317,330,365,-382.5,,365,194.0705,
Michael Risher,43,M-R-M1,255.4,275,0.55535,242.5,-257.5,-257.5,,242.5,134.672375,
UPA-AD RAW (M),,,,,,,,,,,,
Brandon VanderMarliere,23,M-AD-R-JR,194.7,198,0.61845,290,320,-332.5,,320,197.904,BEST LIFTER
Doug Staley,29,M-AD-R-O,362.2,SHW,0.5128,287.5,300,-310,,300,153.84,
