Place,Sex,Name,Event,Division,WeightClassKg,Equipment,BodyweightKg,Best3BenchKg,Best3DeadliftKg,TotalKg,BirthYear
1,M,Colton Engelmeier,B,R-T3,120+,Raw,168.8,185,,185,1995
1,M,Nick Hazlett,B,R-JR,93,Raw,90,122.5,,122.5,
1,M,Steven Lopez,B,R-JR,105,Raw,99.7,150,,150,1995
1,M,Don Chon,B,R-O,74,Raw,70.4,87.5,,87.5,1987
1,M,Ross Leppala,B,R-O,93,Raw,87.7,185,,185,1984
1,M,LS McClain,B,R-O,105,Raw,97,217.5,,217.5,1978
1,M,Dave Keller,B,R-O,120,Raw,115.2,97.5,,97.5,
1,M,Matt Baller,B,R-O,120+,Raw,140.1,262.5,,262.5,
1,M,Richard Renwick,B,R-M1b,105,Raw,97.3,90,,90,1968
1,F,Cipriana Castellano,B,R-T2,84,Raw,77.1,92.5,,92.5,1997
1,F,Kaylie Ball,B,R-Y,52,Raw,47.5,32.5,,32.5,
DQ,F,Davina Shipley,B,R-O,63,Raw,57.2,,,,1986
1,F,Natalie Hanson,B,R-O,84,Raw,80.8,92.5,,92.5,1990
1,F,Theresa Ball,B,R-M1a,57,Raw,55.2,52.5,,52.5,1973
1,M,Ross Leppala,D,R-O,93,Raw,87.7,,245,245,1984
1,M,LS McClain,D,R-O,105,Raw,97,,290,290,1978
1,M,Mark Eppihimer,D,R-O,120+,Raw,160,,325,325,1981
2,M,Matt Baller,D,R-O,120+,Raw,140.1,,302.5,302.5,
1,F,Cipriana Castellano,D,R-T2,84,Raw,77.1,,190,190,1997
1,F,Natalie Hanson,D,R-O,84,Raw,80.8,,185,185,1990
