Place,Name,State,WeightClassKg,BodyweightKg,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Division,Equipment
1,Lacey Tucker,MO,67.5,67.2,21,75,42.5,110,227.5,F,Junior 20-23,Raw
1,Christina Alvarado,KS,56,55.4,28,102.5,62.5,150,315,F,Open,Raw
1,Michelle Paquette,KS,60,59.2,31,110,65,152.5,327.5,F,Open,Raw
1,Naarah Pyscher,MO,75,75,34,150,80,182.5,412.5,F,Open,Raw
1,Angel Compton,MO,82.5,81.8,29,175,100,185,460,F,Open,Raw
2,Amber Burns,KS,82.5,81.8,28,155,70,125,350,F,Open,Raw
1,Sara Hanes,IA,90,89.8,28,132.5,80,162.5,375,F,Open,Raw
1,Jenelle Korneman,MO,90+,104,31,127.5,67.5,140,335,F,Open,Raw
1,Lori Dunn,KS,82.5,80.8,53,105,62.5,147.5,315,F,Master 50-54,Raw
1,Brian Morehouse,MO,75,71.4,21,157.5,102.5,195,455,M,Junior 20-23,Raw
1,Peter La,KS,90,88.4,23,215,170,260,645,M,Junior 20-23,Raw
1,Bradley MacDonald,MO,82.5,81.2,33,185,147.5,250,582.5,M,Open,Raw
1,Alex Barlow,KS,100,96.8,34,167.5,127.5,192.5,487.5,M,Open,Raw
1,Eliot Myers,MO,110,109.6,26,247.5,135,260,642.5,M,Open,Raw
2,Zach Towns,KS,110,107.8,29,207.5,170,227.5,605,M,Open,Raw
3,Richard Rayzor,KS,110,107.8,31,182.5,125,205,512.5,M,Open,Raw
1,John Dixon,MO,125,113.4,21,272.5,167.5,272.5,712.5,M,Open,Raw
1,Brad Wilson,MO,90,87.6,39,167.5,110,200,477.5,M,Submaster 35-39,Raw
1,Morgan Colling,KS,56,55,23,112.5,62.5,130,305,F,Junior 20-23,Wraps
1,Gabrielle Faimon,KS,75,73,16,102.5,52.5,115,270,F,Junior 16-17,Wraps
1,Whitney Williams,KS,56,55.6,27,115,60,135,310,F,Open,Wraps
1,Lynn Stoltz,MO,75,74.2,24,105,50,150,305,F,Open,Wraps
1,Sarah Skinner #3,MO,82.5,80.2,27,210,112.5,205,527.5,F,Open,Wraps
1,Amy Perry,KS,67.5,67.2,47,105,57.5,142.5,305,F,Master 45-49,Wraps
1,Christian Phillips,MO,60,58.6,13,80,40,87.5,207.5,M,Junior 13-15,Wraps
1,Dallas Stoltz,MO,82.5,82.2,23,210,132.5,255,597.5,M,Open,Wraps
2,Matt Kneib,KS,82.5,82.4,25,220,115,232.5,567.5,M,Open,Wraps
3,Brent Thomas,IA,82.5,81.8,24,190,122.5,205,517.5,M,Open,Wraps
4,Mike Williams,CO,82.5,82.2,33,170,102.5,185,457.5,M,Open,Wraps
1,Daniel Velasquez,MO,90,89,29,245,130,270,645,M,Open,Wraps
2,Patrick Sells,KS,90,88.4,27,215,130,230,575,M,Open,Wraps
3,Eric Jenkins,KS,90,89.6,31,185,142.5,215,542.5,M,Open,Wraps
1,Robb Bradford,MO,100,99.2,26,295,195,292.5,782.5,M,Open,Wraps
2,Justin Hess,MO,100,98.6,31,220,127.5,272.5,620,M,Open,Wraps
1,Dal Gains,KS,110,108,28,340,192.5,337.5,870,M,Open,Wraps
2,Dustin Phelps,MO,110,109.4,31,275,145,265,685,M,Open,Wraps
3,Zach Towns,KS,110,107.8,29,207.5,170,227.5,605,M,Open,Wraps
1,Dalton Hutchings,MO,125,123.8,26,312.5,192.5,312.5,817.5,M,Open,Wraps
1,Tom Mackie,MO,140+,166.4,34,302.5,160,302.5,765,M,Open,Wraps
1,Red Carlson,KS,125,121,52,187.5,137.5,207.5,532.5,M,Master 50-54,Wraps
1,Rick Bertel,MO,82.5,82.4,49,212.5,142.5,227.5,582.5,M,Master 45-49,Single-ply
1,Nick Wages,MO,90,89.8,28,,165,,165,M,Open,Raw
1,Chad Klaassen,KS,125,117.4,28,,177.5,,177.5,M,Open,Raw
1,Kelly Gasper,KS,67.5,62.2,33,,47.5,110,157.5,F,Open,Raw
1,Daniel Tennison,KS,140,135.2,32,,217.5,285,502.5,M,Open,Raw
