Name,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,Sex
J. Morgan,52,,,,,,SBD,Single-ply,Juniors,M
P. Rinaldi,52,,,,,,SBD,Single-ply,Juniors,M
Freddie Higgins,56,,,,,,SBD,Single-ply,Juniors,M
K. Burkhardt,56,,,,,,SBD,Single-ply,Juniors,M
S. Morgan,56,,,,,,SBD,Single-ply,Juniors,M
V. Garramone,56,,,,,,SBD,Single-ply,Juniors,M
Frank Manna,60,,,,,,SBD,Single-ply,Juniors,M
E. Bridges,60,,,,,,SBD,Single-ply,Juniors,M
S. Titre,60,,,,,,SBD,Single-ply,Juniors,M
R. Greenberg,60,,,,,,SBD,Single-ply,Juniors,M
Bob Bridges,67.5,,,,,,SBD,Single-ply,Juniors,M
I. Mendoza,67.5,,,,,,SBD,Single-ply,Juniors,M
M. Larsen,67.5,,,,,,SBD,Single-ply,Juniors,M
R. Chetlin,67.5,,,,,,SBD,Single-ply,Juniors,M
M. McRae,67.5,,,,,,SBD,Single-ply,Juniors,M
M. Verhulst,67.5,,,,,,SBD,Single-ply,Juniors,M
G. Webb,67.5,,,,,,SBD,Single-ply,Juniors,M
R. Thomas,67.5,,,,,,SBD,Single-ply,Juniors,M
Ed Coan,75,72.57,,,,,SBD,Single-ply,Juniors,M
N. Hampton,75,,,,,,SBD,Single-ply,Juniors,M
C. Neu,75,,,,,,SBD,Single-ply,Juniors,M
J. McLeof,75,,,,,,SBD,Single-ply,Juniors,M
B. Whitlow,75,,,,,,SBD,Single-ply,Juniors,M
M. Forni,75,,,,,,SBD,Single-ply,Juniors,M
F. Schutter,75,,,,,,SBD,Single-ply,Juniors,M
B. Masuoka,75,,,,,,SBD,Single-ply,Juniors,M
L. Onsen,75,,,,,,SBD,Single-ply,Juniors,M
Schaufelberger,75,,,,,,SBD,Single-ply,Juniors,M
T. Whitaker,75,,,,,,SBD,Single-ply,Juniors,M
T. Allen,75,,,,,,SBD,Single-ply,Juniors,M
J. Nehneuaj,75,,,,,,SBD,Single-ply,Juniors,M
R. Bateman,75,,,,,,SBD,Single-ply,Juniors,M
James Bengoa,82.5,,,,,,SBD,Single-ply,Juniors,M
T. Bardy,82.5,,,,,,SBD,Single-ply,Juniors,M
F. Sbalchiero,82.5,,,,,,SBD,Single-ply,Juniors,M
Nate Seaberry,82.5,,,,,,SBD,Single-ply,Juniors,M
C. Spicer,82.5,,,,,,SBD,Single-ply,Juniors,M
M. Rappley,82.5,,,,,,SBD,Single-ply,Juniors,M
J. Brundidge,82.5,,,,,,SBD,Single-ply,Juniors,M
B. Glidden,82.5,,,,,,SBD,Single-ply,Juniors,M
J. Moore,82.5,,,,,,SBD,Single-ply,Juniors,M
S. Drane,82.5,,,,,,SBD,Single-ply,Juniors,M
N. Battles,82.5,,,,,,SBD,Single-ply,Juniors,M
T. Manietta,82.5,,,,,,SBD,Single-ply,Juniors,M
Kelly Cavitt,90,,,,,,SBD,Single-ply,Juniors,M
B. Busby Jr,90,,,,,,SBD,Single-ply,Juniors,M
S. Murdock,90,,,,,,SBD,Single-ply,Juniors,M
J. DiMaggio,90,,,,,,SBD,Single-ply,Juniors,M
B. Stromsdorger,90,,,,,,SBD,Single-ply,Juniors,M
T. Hastings,90,,,,,,SBD,Single-ply,Juniors,M
John Lane,100,,,,,,SBD,Single-ply,Juniors,M
Mark Detolve,100,,,,,,SBD,Single-ply,Juniors,M
G. Johnson,100,,,,,,SBD,Single-ply,Juniors,M
James Prochaska,100,,,,,,SBD,Single-ply,Juniors,M
K. Wold,100,,,,,,SBD,Single-ply,Juniors,M
R. Falcioni,100,,,,,,SBD,Single-ply,Juniors,M
L. Paul,100,,,,,,SBD,Single-ply,Juniors,M
J. Fischer,100,,,,,,SBD,Single-ply,Juniors,M
M. Marcotte,100,,,,,,SBD,Single-ply,Juniors,M
W. Usher Jr,100,,,,,,SBD,Single-ply,Juniors,M
K. Magette,100,,,,,,SBD,Single-ply,Juniors,M
M. Peterson,100,,,,,,SBD,Single-ply,Juniors,M
Mike Smolinksi,110,,,,,,SBD,Single-ply,Juniors,M
Mark Durst,110,,,,,,SBD,Single-ply,Juniors,M
J. Hollibaugh,110,,,,,,SBD,Single-ply,Juniors,M
J. Hunt,110,,,,,,SBD,Single-ply,Juniors,M
P. Rupright,110,,,,,,SBD,Single-ply,Juniors,M
G. Garay,125,,,,,,SBD,Single-ply,Juniors,M
S. Suitch,125,,,,,,SBD,Single-ply,Juniors,M
D. Lipton,125,,,,,,SBD,Single-ply,Juniors,M
P. DiMaggio,125+,,,,,,SBD,Single-ply,Juniors,M
