Name,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,WeightClassKg,BodyweightKg,Place,Sex,Event,Equipment
Mary Ryan,,,,,,,,,,,,53.07,1,F,SBD,Single-ply
Jeanna Pacgya,,,,,,,,,,,,49.44,2,F,SBD,Single-ply
Darlene Owens,,,,,,,,,,,,50.8,3,F,SBD,Single-ply
Pam Bruerman,,,,,,,,,,,,59.42,4,F,SBD,Single-ply
Pam Booth,,,,,,,,,,,,46.27,5,F,SBD,Single-ply
April Brown,,,,,,,,,,,,64.41,6,F,SBD,Single-ply
Patty Ritchey,,,,,,,,,,,,54.88,7,F,SBD,Single-ply
Kelly Wilson,,,,,,,,,,,,51.71,8,F,SBD,Single-ply
Marcia Insley,,,,,,,,,,,,54.88,9,F,SBD,Single-ply
Diva Hart,,,,,,,,,,,,43.54,10,F,SBD,Single-ply
Steve Blank,,,,,,,,,,,52,,1,M,SBD,Single-ply
Joe Steinfield,,,,,,,,,,,56,,1,M,SBD,Single-ply
Scott McFarland,,,,,,,,,,,60,,1,M,SBD,Single-ply
A. McFatridge,,,,,,,,,,,60,,2,M,SBD,Single-ply
greg Ripley,,,,,,,,,,,60,,3,M,SBD,Single-ply
Gary Hickey,,,,,,,,,,,60,,4,M,SBD,Single-ply
Doug Heath,,,,,,,,,,,60,,5,M,SBD,Single-ply
Francis Ruettiger,,,,,,,,,,,67.5,,1,M,SBD,Single-ply
Tom Koveleskie,,,,,,,,,,,67.5,,2,M,SBD,Single-ply
Clark Francis,,,,,,,,,,,67.5,,3,M,SBD,Single-ply
Rick Weil,,,,,,,,,,,75,,1,M,SBD,Single-ply
Jim Panetti,,,,,,,,,,,75,,2,M,SBD,Single-ply
F. Wambsgans,,,,,,,,,,,75,,3,M,SBD,Single-ply
Doug Peterson,,,,,,,,,,,75,,4,M,SBD,Single-ply
Don Hundley,,,,,,,,,,,75,,5,M,SBD,Single-ply
Andy Marchiano,,,,,,,,,,,75,,6,M,SBD,Single-ply
John Hare,,,,,,,,,,,75,,7,M,SBD,Single-ply
Jim Demaske,,,,,,,,,,,75,,8,M,SBD,Single-ply
T. Helpbringer,,,,,,,,,,,75,,9,M,SBD,Single-ply
David Karam,,,,,,,,,,,75,,10,M,SBD,Single-ply
Bryan Grand,,,,,,,,,,,75,,11,M,SBD,Single-ply
Ed Coan,,,,,,,,,,,82.5,,1,M,SBD,Single-ply
Harry Fleming,,,,,,,,,,,82.5,,2,M,SBD,Single-ply
Derek Donahue,,,,,,,,,,,82.5,,3,M,SBD,Single-ply
David Fleming,,,,,,,,,,,82.5,,4,M,SBD,Single-ply
Bill Clary,,,,,,,,,,,82.5,,5,M,SBD,Single-ply
Jeff Balzer,,,,,,,,,,,82.5,,6,M,SBD,Single-ply
Steve Snyder,,,,,,,,,,,82.5,,7,M,SBD,Single-ply
