Place,,WeightClassKg,BodyweightKg,Sex,Event,Equipment,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg
1,Joe Schmidt,52,52,M,SBD,Single-ply,,336,358,-374,-203,203,-215,391,-418,-418,953
2,Todd Antinoro,52,51,M,SBD,Single-ply,,314,341,352,181,192,-198,363,-385,-385,909
3,William Jackson,52,49,M,SBD,Single-ply,,303,-330,330,154,-181,-181,396,-413,-413,881
1,Joe Morgan,56,55.5,M,SBD,Single-ply,,440,-479,479,264,275,281,440,462,473,1234
2,Russ Steinhauser,56,56,M,SBD,Single-ply,,402,440,-451,248,270,-275,473,501,-529,1212
3,Ernesto Milian,56,55.9,M,SBD,Single-ply,1947,429,-451,-451,253,264,-275,501,-523,-545,1196
4,Mark Ferrera,56,56,M,SBD,Single-ply,1960,374,413,-435,314,341,-358,402,424,-435,1179
5,Monte Masson,56,56,M,SBD,Single-ply,,413,-440,-440,259,-275,-275,413,440,-462,1113
6,Mitch Echevarria,56,56,M,SBD,Single-ply,,396,-418,418,237,253,275,396,-440,-440,1091
1,Claude Handsor,60,59.9,M,SBD,Single-ply,1962,,,,,,,,,,
2,Charles Lawson,60,60,M,SBD,Single-ply,,,,,,,,,,,
3,Randall Kea,60,59.9,M,SBD,Single-ply,1962,,,,,,,,,,
4,Ralph Caputo,60,60,M,SBD,Single-ply,,,,,,,,,,,
5,Scott Alford,60,60,M,SBD,Single-ply,,,,,,,,,,,
6,Richard Pell,60,60,M,SBD,Single-ply,,,,,,,,,,,
7,Joe Smith,60,59.6,M,SBD,Single-ply,1976,,,,,,,,,,
DQ,Lamar Gant,60,59.2,M,SBD,Single-ply,1957,,,,,,,,,,
1,Robert Bridges,67.5,67.5,M,SBD,Single-ply,1964,,,,,,,,,,
2,James Finch,67.5,67.1,M,SBD,Single-ply,1943,,,,,,,,,,
3,Daniel Austin,67.5,67,M,SBD,Single-ply,1958,,,,,,,,,,
4,Dave Dehart,67.5,67.2,M,SBD,Single-ply,,,,,,,,,,,
5,Larry Luckett,67.5,65.3,M,SBD,Single-ply,1958,,,,,,,,,,
6,Francis Ruettiger,67.5,67.5,M,SBD,Single-ply,1954,,,,,,,,,,
7,Vince Farri,67.5,67.1,M,SBD,Single-ply,,,,,,,,,,,
8,Pete Scholz,67.5,66.3,M,SBD,Single-ply,,,,,,,,,,,
DQ,JD Carr,67.5,67.1,M,SBD,Single-ply,1957,,,,,,,,,,
DQ,Ausby Alexander,67.5,67,M,SBD,Single-ply,1956,,,,,,,,,,
1,Gene Bell,75,74.6,M,SBD,Single-ply,1956,,,,,,,,,,
2,John Topsoglou,75,74.7,M,SBD,Single-ply,1958,,,,,,,,,,
3,Jay Rosciglione,75,74.8,M,SBD,Single-ply,1956,,,,,,,,,,
4,Gary Allor,75,74.4,M,SBD,Single-ply,,,,,,,,,,,
5,James Bolin,75,74.4,M,SBD,Single-ply,,,,,,,,,,,
DQ,John Inzer,75,73.5,M,SBD,Single-ply,1962,,,,,,,,,,
DQ,Rickey Dale Crain,75,74.6,M,SBD,Single-ply,1953,,,,,,,,,,
1,Daniel Gay,82.5,81.6,M,SBD,Single-ply,,,,,,,,,,,
2,Bruce Takala,82.5,82,M,SBD,Single-ply,,,,,,,,,,,
3,James Mike Phillips,82.5,81.7,M,SBD,Single-ply,1954,,,,,,,,,,
4,D Haines,82.5,82.1,M,SBD,Single-ply,,,,,,,,,,,
5,Tom Maupin,82.5,81.9,M,SBD,Single-ply,1950,,,,,,,,,,
6,Ken Richardson,82.5,81.7,M,SBD,Single-ply,1959,,,,,,,,,,
7,Douglas Peterson,82.5,82.5,M,SBD,Single-ply,1955,,,,,,,,,,
DQ,Rick Weil,82.5,82,M,SBD,Single-ply,1958,,,,,,,,,,
DQ,Rick Gaugler,82.5,81.8,M,SBD,Single-ply,1954,,,,,,,,,,
DQ,Thomas Eiseman,82.5,81.9,M,SBD,Single-ply,,,,,,,,,,,
1,Ed Coan,90,89.7,M,SBD,Single-ply,1963,,,,,,,,,,
2,Pat Pointer,90,89.6,M,SBD,Single-ply,,,,,,,,,,,
3,John Bassi,90,89.3,M,SBD,Single-ply,,,,,,,,,,,
4,John Black,90,90,M,SBD,Single-ply,1951,,,,,,,,,,
5,Robert Dyer,90,89.6,M,SBD,Single-ply,,,,,,,,,,,
DQ,Gary Sanger,90,89.2,M,SBD,Single-ply,1956,,,,,,,,,,
DQ,Ken Shepard,90,89.5,M,SBD,Single-ply,,,,,,,,,,,
DQ,George Parigian,90,90,M,SBD,Single-ply,1955,,,,,,,,,,
1,Tony Pharr,100,98.9,M,SBD,Single-ply,1957,,,,,,,,,,
2,Ron Tullis,100,99.6,M,SBD,Single-ply,1960,,,,,,,,,,
3,Frank Silva,100,98.9,M,SBD,Single-ply,,,,,,,,,,,
4,Buddy Duke,100,99.7,M,SBD,Single-ply,1958,,,,,,,,,,
5,John Roberts,100,98,M,SBD,Single-ply,,,,,,,,,,,
6,Ernie Frantz,100,96.5,M,SBD,Single-ply,1934,,,,,,,,,,
7,Larry Mistric,100,99,M,SBD,Single-ply,1956,,,,,,,,,,
,Douglas Borden,100,98,M,SBD,Single-ply,1958,,,,,,,,,,
DQ,R Potts,100,98.9,M,SBD,Single-ply,,,,,,,,,,,
DQ,James Cash,100,99,M,SBD,Single-ply,1949,,,,,,,,,,
DQ,Larry Pacifico,100,99.2,M,SBD,Single-ply,1946,,,,,,,,,,
DQ,Joe Ladnier,100,99.7,M,SBD,Single-ply,1963,,,,,,,,,,
