Place,Name,Division,BodyweightKg,WeightClassKg,BirthDate,BirthYear,Sex,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Equipment,Event,Country
2,Selin Üsküplü,Juniors,54.16,57,,,F,40.0,45.0,-50.0,45.0,-25.0,25.0,-27.5,25.0,70.0,75.0,80.0,80.0,150.0,Raw,SBD,Belgium
1,Bo Haek,Juniors,69.30,72,,,F,80.0,-90.0,-90.0,80.0,50.0,52.5,-55.0,52.5,90.0,100.0,105.0,105.0,237.5,Raw,SBD,Belgium
1,Annelies Van De Velde,Juniors,55.98,57,,,F,85.0,90.0,91.0,91.0,55.0,57.5,61.0,61.0,105.0,110.0,115.0,115.0,267.0,Raw,SBD,Belgium
1,Jella Troch,Open,52.00,52,,,F,95.5,97.5,100.5,100.5,65.0,67.5,70.5,70.5,110.0,115.0,120.0,120.0,291.0,Raw,SBD,Belgium
1,Christophe Ruvolo,Open,57.40,59,,,M,100.0,110.0,117.5,117.5,80.0,85.0,87.5,87.5,110.0,115.0,120.0,120.0,325.0,Raw,SBD,Belgium
1,Kathleen Compagnie,Masters 1,65.30,72,,,F,95.0,97.5,100.0,100.0,67.5,-70.0,70.0,70.0,112.5,120.0,125.0,125.0,295.0,Raw,SBD,Belgium
2,Lien Van Buggenhout,Open,76.95,84,,,F,107.5,112.5,-117.5,112.5,62.5,67.5,70.0,70.0,122.5,135.0,-145.0,135.0,317.5,Raw,SBD,Belgium
1,Keanu Robberechts,Juniors,129.40,120+,,,M,-130.0,130.0,135.0,135.0,80.0,-82.5,-82.5,80.0,150.0,160.0,165.0,165.0,380.0,Raw,SBD,Belgium
1,Hans Van der Staak,Juniors,58.25,59,1999-10-22,1999,M,120.0,-130.0,130.0,130.0,87.5,92.5,-97.5,92.5,157.5,162.5,170.0,170.0,392.5,Raw,SBD,Belgium
1,Sonita Muluh,Open,83.15,84,,,F,135.0,145.0,150.0,150.0,67.5,70.0,72.5,72.5,165.0,175.0,180.0,180.0,402.5,Raw,SBD,Cameroon
2,Stefanie Verhulst,Open,51.10,52,1990-12-13,1990,F,95.0,100.0,,100.0,52.5,55.0,,55.0,120.0,125.0,,125.0,280.0,Raw,SBD,Belgium
1,Nick Blockmans,Sub-Juniors,56.20,59,,,M,120.0,127.5,-131.0,127.5,92.5,-97.5,97.5,97.5,147.5,155.0,160.5,160.5,385.5,Raw,SBD,Belgium
3,Alexander Janssen,Open,65.25,66,,,M,-125.0,-125.0,125.0,125.0,95.0,-100.0,-102.5,95.0,162.5,170.0,175.0,175.0,395.0,Raw,SBD,Belgium
