Place,Name,Sex,Country,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Points,BirthDate,BirthYear
1,Ymke Gevers,F,BE,Raw,Juniors,62.2,63,-87.5,-90,90,90,47.5,50,-52.5,50,100,107.5,-112.5,107.5,247.5,54.60
1,Sophia Thorn,F,BR,Raw,Juniors,68.1,69,110,115,120,120,47.5,50,-52.5,50,125,130,135,135,305,63.66
2,Zoë Vanbeylen,F,BE,Raw,Juniors,66.8,69,105,112.5,-118.5,112.5,47.5,52.5,-55,52.5,110,122.5,133.5,133.5,298.5,63.00
1,Monica Kortleven,F,BE,Raw,Juniors,72.8,76,100,107.5,115,115,52.5,-57.5,57.5,57.5,125,132.5,-140,132.5,305,61.41
1,Anne Daineffe,F,BE,Raw,Masters 1,62.9,63,115,,,115,80,,,80,125,136,,136,331,72.49
1,Evelyne Roos,F,BE,Raw,Masters 1,84.2,84+,-122.5,125,-130,125,62.5,67.5,-70,67.5,150,155,-160,155,347.5,65.56
NS,Noa Van Looy,F,BE,Raw,Open,,,,,,,,,,,,,,,,
1,Julie Wuyts,F,BE,Raw,Open,50,52,75,80,82.5,82.5,-37.5,37.5,-42.5,37.5,115,120,125,125,245,64.04
1,Anne Daineffe,F,BE,Raw,Open,62.9,63,115,,,115,80,,,80,125,136,,136,331,72.49
2,Elien Magielse,F,BE,Raw,Open,60,63,102.5,110,115,115,50,56,60,60,102.5,110,115,115,290,65.55
3,Ymke Gevers,F,BE,Raw,Open,62.2,63,-87.5,-90,90,90,47.5,50,-52.5,50,100,107.5,-112.5,107.5,247.5,54.60
1,Sahyuri Lalime,F,US,Raw,Open,65.7,69,135,142.5,150,150,70,75,-82.5,75,165,175,182.5,182.5,407.5,86.85
2,Lot Van der Snickt,F,BE,Raw,Open,65.5,69,115,120,127.5,127.5,57.5,62.5,-65,62.5,130,137.5,145,145,335,71.53
3,Sophia Thorn,F,BR,Raw,Open,68.1,69,110,115,120,120,47.5,50,-52.5,50,125,130,135,135,305,63.66
4,Zoë Vanbeylen,F,BE,Raw,Open,66.8,69,105,112.5,-118.5,112.5,47.5,52.5,-55,52.5,110,122.5,133.5,133.5,298.5,63.00
1,Monica Kortleven,F,BE,Raw,Open,72.8,76,100,107.5,115,115,52.5,-57.5,57.5,57.5,125,132.5,-140,132.5,305,61.41
1,sonita muluh,F,BE,Raw,Open,97.6,84+,175,,,175,90,,,90,210,,,210,475,85.29
2,Evelyne Roos,F,BE,Raw,Open,84.2,84+,-122.5,125,-130,125,62.5,67.5,-70,67.5,150,155,-160,155,347.5,65.56
NS,Noa Van Looy,F,BE,Raw,Sub-Juniors,,,,,,,,,,,,,,,,
1,Elien Magielse,F,BE,Raw,Sub-Juniors,60,63,102.5,110,115,115,50,56,60,60,102.5,110,115,115,290,65.55
1,Kathleen Compagnie,F,BE,Single-ply,Masters 1,63,63,150,-157.5,-157.5,150,107.5,-112.5,-115,107.5,140,150,-170,150,407.5,73.57
1,Carine Stallaert,F,BE,Single-ply,Masters 2,51.3,52,100,110,-117.5,110,60,67.5,,67.5,110,122.5,-130,122.5,300,61.67
1,Carine Stallaert,F,BE,Single-ply,Open,51.3,52,100,110,-117.5,110,60,67.5,,67.5,110,122.5,-130,122.5,300,61.67
DQ,jennifer heaysman,F,BE,Single-ply,Open,56.2,57,157.5,162.5,167.5,167.5,-87.5,-87.5,-87.5,,132.5,140,-145,140,,59.47
1,Kathleen Compagnie,F,BE,Single-ply,Open,63,63,150,-157.5,-157.5,150,107.5,-112.5,-115,107.5,140,150,-170,150,407.5,73.57
1,Myriam Raes,F,BE,Raw,Open,61.8,63,,,,,50,55,60,60,,,,,60,50.62
NS,Jasper Jordens,M,BE,Raw,Juniors,,,,,,,,,,,,,,,,
1,Nick Blockmans,M,BE,Raw,Juniors,61.3,66,160,167.5,172.5,172.5,-115,117.5,122.5,122.5,185,195,205,205,500,81.06
2,Jonas Depaepe,M,BE,Raw,Juniors,65.6,66,95,102.5,-110,102.5,65,70,-75,70,105,120,135,135,307.5,48.09
3,Kenny Arijs,M,BE,Raw,Juniors,62.5,66,70,80,-87.5,80,-45,50,-55,50,90,107.5,,107.5,237.5,38.11
1,Michael Bernete-Diaz,M,BE,Raw,Juniors,72.6,74,190,200,-207.5,200,145,152.5,-160.5,152.5,215,-227.5,-227.5,215,567.5,84.15
2,Amaro Van de Moortele,M,BE,Raw,Juniors,72.9,74,145,152.5,-160,152.5,85,90,95,95,185,195,205,205,452.5,66.95
3,Maxim Stepman,M,BE,Raw,Juniors,70.7,74,-140,-140,140,140,70,-72.5,72.5,72.5,180,195,205,205,417.5,62.77
1,Sebastiaan Jacobs,M,BE,Raw,Juniors,82.5,83,200,212.5,220.5,220.5,130,137.5,140,140,242.5,-265,-265,242.5,603,83.73
2,Jeroen Letellier,M,BE,Raw,Juniors,82.4,83,200,215,-221,215,110,120,-127.5,120,210,225,-232.5,225,560,77.80
3,Lotfi El haloui,M,BE,Raw,Juniors,78.1,83,185,195,202.5,202.5,120,125,127.5,127.5,-210,222.5,-232.5,222.5,552.5,78.89
4,Kyan Joubert,M,BE,Raw,Juniors,81.7,83,160,170,180,180,115,122.5,-130,122.5,200,217.5,-227.5,217.5,520,72.56
5,Faruk Bag,M,BE,Raw,Juniors,78.4,83,182.5,190,,190,95,-102.5,-102.5,95,210,220,-225,220,505,71.96
6,Gari Simonian,M,BE,Raw,Juniors,80.4,83,130,140,142.5,142.5,92.5,102.5,-110,102.5,175,185,195,195,440,61.90
7,Louis Druart,M,BE,Raw,Juniors,81.5,83,145,155,-165,155,105,112.5,-117.5,112.5,157.5,165,-170,165,432.5,60.42
8,Yannick Hens,M,BE,Raw,Juniors,81.3,83,130,140,150,150,80,87.5,-92.5,87.5,140,150,162.5,162.5,400,55.95
9,Simon De Lange,M,BE,Raw,Juniors,82.5,83,125,132.5,140,140,97.5,-100,-102.5,97.5,145,155,162.5,162.5,400,55.54
10,Lorenz Huybrechts,M,BE,Raw,Juniors,76.2,83,120,-127.5,135,135,70,75,-82.5,75,160,175,-182.5,175,385,55.67
1,Imad Hamich,M,BE,Raw,Juniors,91.9,93,242.5,255,-262.5,255,145,155,-160,155,-265,280,-290,280,690,90.79
2,Michiel Heremans,M,BE,Raw,Juniors,92,93,190,197.5,205,205,-100,105,115,115,235,247.5,260,260,580,76.28
3,Tycho Dehouck,M,BE,Raw,Juniors,88.3,93,165,172.5,180,180,117.5,125,-130,125,215,230,240,240,545,73.14
4,sander Matton,M,BE,Raw,Juniors,89.3,93,-160,167.5,175,175,115,125,127.5,127.5,-212.5,220,230,230,532.5,71.07
5,Aaron Van den Berge,M,BE,Raw,Juniors,89,93,170,180,190,190,105,-112.5,-112.5,105,220,230,-240,230,525,70.18
6,Tom Vanhove,M,BE,Raw,Juniors,90.3,93,180,-190,-192.5,180,-95,97.5,102.5,102.5,175,187.5,200,200,482.5,64.04
7,Wout Van Belle,M,BE,Raw,Juniors,89,93,147.5,157.5,170,170,95,-102.5,-102.5,95,175,187.5,-200,187.5,452.5,60.49
1,Geert Vroonen,M,BE,Raw,Juniors,104.2,105,225,242.5,250,250,165,177.5,-185,177.5,260,282.5,295,295,722.5,89.52
2,Stef Bertels,M,BE,Raw,Juniors,102.9,105,180,190,197.5,197.5,120,127.5,-132.5,127.5,190,212.5,222.5,222.5,547.5,68.24
3,Robbert Mahieu,M,BE,Raw,Juniors,93.6,105,170,185,200,200,110,120,-125,120,190,205,-217.5,205,525,68.47
4,Wesley Van Rompaey,M,BE,Raw,Juniors,103.4,105,110,-120,125,125,75,82.5,-87.5,82.5,150,160,175,175,382.5,47.56
1,jean-marc de ro,M,BE,Raw,Masters 1,90.4,93,100,,,100,100,,,100,100,,,100,300,39.80
1,Alain Neyt,M,BE,Raw,Masters 1,104.4,105,165,175,185,185,157.5,163,-165,163,190,205,220,220,568,70.32
2,Bart Potters,M,BE,Raw,Masters 1,103.4,105,-132.5,135,140,140,95,100,102.5,102.5,155,160,167.5,167.5,410,50.98
NS,Jasper Jordens,M,BE,Raw,Open,,,,,,,,,,,,,,,,
NS,Manu Roefs,M,BE,Raw,Open,,,,,,,,,,,,,,,,
NS,Ward Van Loo,M,BE,Raw,Open,,,,,,,,,,,,,,,,
1,maxim de ro,M,BE,Raw,Open,49.1,53,55,60,62.5,62.5,42.5,45,-47.5,45,85,90.5,,90.5,198,36.17
1,Davigno Vancompenolle,M,BE,Raw,Open,58,59,147.5,155,-162.5,155,-77.5,80,-82.5,80,175,185,193.5,193.5,428.5,71.56
1,Nick Blockmans,M,BE,Raw,Open,61.3,66,160,167.5,172.5,172.5,-115,117.5,122.5,122.5,185,195,205,205,500,81.06
2,Kobe De Win,M,BE,Raw,Open,64.6,66,140,150,160,160,77.5,82.5,87.5,87.5,185,206,-212.5,206,453.5,71.50
3,Jonas Depaepe,M,BE,Raw,Open,65.6,66,95,102.5,-110,102.5,65,70,-75,70,105,120,135,135,307.5,48.09
4,Kenny Arijs,M,BE,Raw,Open,62.5,66,70,80,-87.5,80,-45,50,-55,50,90,107.5,,107.5,237.5,38.11
1,Michael Bernete-Diaz,M,BE,Raw,Open,72.6,74,190,200,-207.5,200,145,152.5,-160.5,152.5,215,-227.5,-227.5,215,567.5,84.15
2,Ugur Yildiz,M,TR,Raw,Open,72.6,74,160,170,-180,170,-115,-115,120,120,-200,210,220,220,510,75.62
3,Stijn Vanheste,M,BE,Raw,Open,73.2,74,172.5,-182.5,-185,172.5,110,115,-120,115,205,215,220,220,507.5,74.93
4,Dylan Doumont,M,BE,Raw,Open,71.8,74,147.5,160,165,165,107.5,112.5,115,115,-185,185,200,200,480,71.58
5,Dimas De Ridder,M,BE,Raw,Open,72.6,74,165,175,180,180,95,100,-107.5,100,175,185,-195,185,465,68.95
