Name,Event,Equipment,Division,Sex,WeightClassLBS,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg
Ronie Martinez,B,Single-ply,Class 1,M,165,142.5,,,,142.5
Robert Hutchens,B,Single-ply,Class 1,M,165,115,,,,115
Russell Acantilado,B,Single-ply,Class 1,M,181,177.5,,,,177.5
Paul Chinen,B,Single-ply,Class 1,M,181,180,,,,180
Jason Kaneao,B,Single-ply,Class 1,M,198,170,,,,170
Kamu Lyman,B,Single-ply,Class 1,M,198,160,,,,160
Brent Gapusan,B,Single-ply,Class 1,M,220,165,,,,165
Nicholas Montibon,B,Single-ply,Class 1,M,220,222.5,,,,222.5
Robert Aiu,B,Single-ply,Class 1,M,220,,,,,
Lance Matayoshi,B,Single-ply,Class 1,M,242,,,,,
Kauka Lindsey,B,Single-ply,Class 1,M,308,207.5,,,,207.5
Kerwin Unten,B,Single-ply,Elite Open,M,148,242.5,,,,242.5
Donald Ramil Jr,B,Single-ply,Elite Open,M,148,220,,,,220
Kekoa K. Pasion-Almeida,B,Single-ply,Junior 20-25,M,148,215,,,,215
Leonard Chong,B,Single-ply,Junior 20-25,M,198,252.5,,,,252.5
Adam Foster,B,Single-ply,Junior 20-25,M,220,247.5,255,,,247.5
Josiah Moye,B,Single-ply,Junior 20-25,M,220,142.5,,,,142.5
Daniel Yaden,B,Single-ply,Junior 20-25,M,275,212.5,,,,212.5
Sarah Shotwell,B,Single-ply,Junior Women,F,181,57.5,,,,57.5
Scottie Namuo,B,Single-ply,Law-Fire 48-55,M,242,190,,,,190
Jay Shimabuku,B,Single-ply,Law-Fire 56-63,M,181,207.5,,,,207.5
Hiram Kaikaina III,B,Multi-ply,Law-Fire Open,M,308,277.5,,,,277.5
Jonathan J. Koma,B,Single-ply,Law-Fire Open,M,308+,280.5,,,,280.5
Hiram Kaikaina III,B,Multi-ply,Law-Fire Submaster,M,308,277.5,,,,277.5
Donald Ramil Jr,B,Single-ply,Master 40-46,M,148,220,,,,220
Kerwin Unten,B,Single-ply,Master 40-46,M,148,242.5,,,,242.5
Daniel Suzuki,B,Single-ply,Master 40-46,M,181,232.5,,,,232.5
Jason Kaneao,B,Single-ply,Master 40-46,M,198,170,,,,170
Jason Roberts,B,Single-ply,Master 40-46,M,198,140,,,,140
James Kelly,B,Single-ply,Master 40-46,M,242,,,,,
George Leota,B,Single-ply,Master 40-46,M,308,297.5,,,,297.5
Jonathan J. Koma,B,Single-ply,Master 40-46,M,308+,280.5,,,,280.5
Mark Masuda,B,Single-ply,Master 47-53 ,M,148,,,,,
Kaipo Pereza,B,Multi-ply,Master 47-53 ,M,165,160.5,,,,160.5
Rey Corpuz,B,Single-ply,Master 47-53 ,M,165,,,,,
Paul Chinen,B,Single-ply,Master 47-53 ,M,181,180,,,,180
Kaleo Pereza,B,Multi-ply,Master 47-53 ,M,198,157.5,,,,157.5
Keith Daniels,B,Single-ply,Master 47-53 ,M,198,245,,,,245
Neal Caballero,B,Single-ply,Master 47-53 ,M,220,,,,,
Alvin K. Foster Sr,B,Single-ply,Master 47-53 ,M,242,,,,,
Gary Shim,B,Multi-ply,Master 47-53 ,M,308+,300,,,,300
Dale Yoshizu,B,Single-ply,Master 54-60,M,123,85,,,,85
Jay Shimabuku,B,Single-ply,Master 54-60,M,181,207.5,,,,207.5
Dean Furukawa,B,Single-ply,Master 54-60,M,198,190,,,,190
Edward Price,B,Single-ply,Master 54-60,M,220,163,,,,163
James Mersberg,B,Single-ply,Master 54-60,M,308+,320.5,,,,320.5
Raymond Katayama,B,Single-ply,Master 68-74,M,165,62.5,,,,62.5
Arnold Pereza,B,Multi-ply,Master 68-74,M,181,100,,,,100
Moses K. Timbal,B,Single-ply,Master 68-74,M,181,110,115,,,110
William Coleman,B,Single-ply,Master 68-74,M,242,95,100.5,,,95
Kellen Mira,D,Single-ply,Junior 20-25,M,165,,,235,,235
Gee-Sing Goo,B,Single-ply,Master 75-79,M,123,35,,,,35
Jasten Pascual,D,Single-ply,Junior 20-25,M,165,,,222.5,,222.5
Charles Vause,B,Single-ply,Master 80-84,M,165,75,,,,75
Kyle Sugi,D,Single-ply,Junior 20-25,M,198,,,282.5,,282.5
Debbie McLean,B,Single-ply,Master 47-53 ,F,105,75,,,,75
Rance Balidoy,D,Single-ply,Junior 20-25,M,198,,,260,,260
Martha Mata Godinez-Shim,B,Multi-ply,Master 47-53 ,F,114,65,,,,65
Josiah Moye,D,Single-ply,Junior 20-25,M,220,,,242.5,,242.5
Shellie Note-Gressard,B,Single-ply,Master 47-53 ,F,132,47.5,,,,47.5
Jacob Barit,D,Single-ply,Junior 20-25,M,242,,,227.5,,227.5
Elsonia Peters,B,Single-ply,Master 47-53 ,F,148,42.5,,,,42.5
Gabriel Balboa,D,Single-ply,Junior 20-25,M,259,,,290.5,297.5,290.5
Susan Johnson,B,Single-ply,Master 47-53 ,F,198,60,,,,60
BraDey Waiki,D,Single-ply,Junior 20-25,M,259,,,280,,280
Tunya U. Sytsma,B,Single-ply,Master 47-53 ,F,308+,102.5,,,,102.5
Ashley Carillo,D,Single-ply,Junior 20-25,F,132,,,172.5,,172.5
Susan L. Arnett,B,Single-ply,Master 61-67,F,220,62.5,,,,62.5
Sarah Shotwell,D,Single-ply,Junior 20-25,F,181,,,127.5,,127.5
Daniel Suzuki,B,Single-ply,Open,M,181,235,,,,235
Davey Silva,D,Single-ply,Law-Fire Submaster,M,220,,,300.5,,300.5
Sadao Ross Narikiyo,B,Single-ply,Open,M,198,,,,,
Jason Roberts,D,Single-ply,Master 40-46,M,198,,,197.5,,197.5
Chad Bertelmann,B,Single-ply,Open,M,220,293,,,,293
James C. Valmoja,D,Single-ply,Master 47-53 ,M,132,,,207.5,,207.5
James Kelly,B,Single-ply,Open,M,242,,,,,
Rey Corpuz,D,Single-ply,Master 47-53 ,M,165,,,170,,170
George Leota,B,Single-ply,Open,M,308,,,,,
Kaipo Pereza,D,Single-ply,Master 47-53 ,M,165,,,147.5,,147.5
Gary Shim,B,Multi-ply,Open,M,308+,300,,,,300
David Georges,D,Single-ply,Master 47-53 ,M,181,,,230,,230
Darren Elisaga,B,Single-ply,Open,M,308+,327.5,,,,327.5
Roland Kalani Palama,D,Single-ply,Master 47-53 ,M,275,,,250,262.5,250
James Mersberg,B,Single-ply,Open,M,308+,320.5,,,,320.5
Dean Kaneshiro,D,Single-ply,Master 54-60,M,148,,,240,,240
Martha Mata Godinez-Shim,B,Multi-ply,Open,F,114,65,,,,65
Eugene Kawamata,D,Single-ply,Master 68-74,M,132,,,110.5,115,110.5
Shellie Note-Gressard,B,Single-ply,Open,F,132,47.5,,,,47.5
Ken Shiroma,D,Single-ply,Master 68-74,M,148,,,112.5,,112.5
Jennifer Scott,B,Single-ply,Open,F,132,75,,,,75
Moses K. Timbal,D,Single-ply,Master 68-74,M,181,,,197.5,,197.5
Kandice Kinney,B,Single-ply,Open,F,148,,,,,
William Coleman,D,Single-ply,Master 68-74,M,242,,,135,143,135
Pristeen Perreira,B,Single-ply,Open,F,165,57.5,,,,57.5
Gee-Sing Goo,D,Single-ply,Masters 75-79,M,123,,,75,80,75
Caylen Gapusan,B,Single-ply,Open,F,198,85,,,,85
Elizabeth Cabe,D,Single-ply,Master 40-46,F,105,,,152.5,,152.5
Susan Johnson,B,Single-ply,Open,F,198,60,,,,60
Marla McElroy,D,Single-ply,Master 40-46,F,123,,,132.5,,132.5
