,,,,,,,,,,,
,,,,,,,,,,,
Name,WeightClassLBS,Age,Sex,State,Event,Equipment,Division,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS
KRISTINA KULKARNI ,123,28,W,NJ ,SBD,Raw,O,210,105,205,520
LOPA PATEL ,132,43,W,NJ ,SBD,Raw,O,235,90,255,580
ANANYA LAHIRI ,132,18,W,NJ ,SBD,Raw,17-19,150,110,265,525
ETHAN CLARK #1,132,16,M,NY ,BD,Multi-ply,15-16,,175,350,525
JAY MARTINS ,132,20,M,NY ,SBD,Raw,JR,300,225,425,950
SARA LEMLEY ,148,27,W,NJ ,SBD,Raw,O,200,150,300,650
SOFIA BERNARDO ,148,12,W,NJ ,SBD,Raw,11-12,165,100,225,490
JAMIE SELMON ,148,35,W,NJ ,SBD,Raw,SM,225,110,250,585
CHRIS IODICE ,148,25,M,NY ,SBD,Raw,O,265,190,420,875
CLEO HIGGS ,148,61,W,NY ,SBD,Raw,60-64,165,120,300,585
JENNY ESTEVEZ ,148,31,W,NJ ,SBD,Raw,O,210,110,325,645
GABY PALACIOS ,148,35,W,NJ ,SBD,Raw,O,250,80,235,565
BRIANNA BRAUN ,165,24,W,PA ,SBD,Raw,O,180,100,230,510
JOE SMECK ,165,27,M,NJ ,SBD,Raw,O,350,250,415,1015
SAVANNA DUH ,165,28,W,NJ ,SBD,Raw,O,330,200,370,900
RYAN JANNI ,165,29,M,NJ ,SBD,Raw,O,465,275,565,1305
AARON WILLIAMS ,181,21,M,NY ,SBD,Raw,JR,185,165,300,650
ARTIE MILLER ,198,75,M,NY ,SBD,Wraps,75-79,245,195,340,780
ALEX LYTWYN ,198,32,M,NJ ,SBD,Raw,O,405,240,515,1160
JUSTIN ESCOBAR ,198,25,M,NY ,SBD,Raw,O,445,255,415,1115
JUSTIN ALTAMURO ,198,17,M,NY ,SBD,Raw,17-19,415,285,505,1205
ALEX SIAPANIDES ,198,18,M,NY ,SBD,Raw,17-19,330,245,415,990
JORDAN KELEMEN ,198,22,M,PA ,BD,Raw,JR,,330,480,810
ISAAC TABRON ,198,17,M,PA ,SBD,Raw,17-19,290,235,460,985
ROBERT JACKSON ,198,66,M,CT ,SBD,Wraps,65-69,275,220,325,820
LEVENT ERDOGAN ,220,53,M,PA ,SBD,Single-ply,O-SP ,475,275,455,1205
STEVE MALDANALDO ,220,19,M,NY ,SBD,Raw,17-19,230,160,315,705
MIGUEL LOPEZ ,220,21,M,NY ,SBD,Raw,JR,405,260,610,1275
DAVE LHOTA ,220,65,M,PA ,SBD,Raw,65-69,430,280,470,1180
ERIC GUTIERREZ ,220,23,M,NY ,SBD,Raw,JR,500,310,600,1410
SHAQUILLIE LAWRENCE ,220,25,M,NJ ,SBD,Raw,O,515,390,595,1500
ANTHONY DICCIO ,242,,M,NY ,SBD,Raw,O,410,275,450,1130
ERIC RUSNAK ,242,40,M,DE ,SBD,Wraps,40-44,490,305,505,1300
GIOVANNI BERNARDO ,242,15,M,NJ ,SBD,Raw,15-16,345,195,365,905
ROB LANDOLINA ,242,46,M,NJ ,SBD,Raw,45-49,535,335,655,1525
GARMEZ PARKS ,242,53,M,IN ,SBD,Raw,O,505,345,565,1415
GARMEZ PARKS ,242,53,M,IN ,SBD,Raw,50-54,505,345,565,1415
JEREMY BREFERE ,242,22,M,NY ,SBD,Raw,JR,415,230,525,1160
DAN CAFFREY ,242,53,M,NJ ,SBD,Raw,O,415,280,460,1155
COREY DIXON ,242,35,M,NY ,B,Raw,SM/P,,460,,
PETE GISONDI JR ,275,59,M,NY ,SBD,Raw,55-59,440,345,555,1340
JEREMY ALTAMURO ,308,22,M,NY ,SBD,Raw,JR,685,420,760,1865
GERALDINE OKWUONU ,SHW ,34,W,NJ ,BD,Raw,O,,155,375,530
LYNDSI BENNING ,SHW ,22,W,PA ,BD,Raw,JR,,115,260,375
JOANNE ASHLEY ,SHW ,,W,NJ ,SBD,Raw,O,275,120,320,715
MARIO BARBAGALLO ,SHW ,23,M,NY ,SBD,Raw,JR,415,240,365,1020
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,LEGEND ,,,,,,
,,,,,"JR- JUNIOR, O-OPEN, SM- SUBS, P-POLICE/FIRE/MILT, SP- SINGLE PLY ",,,,,,
,,,,,"R-RAW, RC- RAW CLASSIC, W-WOMEN ",,,,,,
