Place,Name,Division,BodyweightLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,WeightClassLBS,Sex,Equipment,Event,Age,Tested
1,Catherine James,J20-23,182,320,170,325,815,198,F,Single-ply,SBD,12,Yes
1,Nadine Baker,M40-44,95,225,145,285,655,97,F,Single-ply,SBD,41,Yes
1,June Wood,M40-44,124,,165,,165,132,F,Single-ply,B,41,Yes
1,Gladys Moore,M40-44,148,,175,,175,148,F,Single-ply,B,41,Yes
1,Gladys Moore,M40-44,148,,,225,225,148,F,Single-ply,D,41,Yes
1,Yuwen Hung,Open,111,,85,,85,114,F,Raw,B,,Yes
1,June Wood,Open,124,,165,,165,132,F,Single-ply,B,41,Yes
1,Susan Johnson,Open,130,215,135,275,625,132,F,Single-ply,SBD,19,Yes
DQ,Debbie Quimby,Open,148,,,,,148,F,Single-ply,B,36,Yes
1,Marisa Galante,Open,165,330,190,335,855,165,F,Single-ply,SBD,16,Yes
1,Shannon Summers,Open,207,,,350,350,198+,F,Single-ply,D,14,Yes
1,Shannon Summers,Open,207,370,350,350,1070,198+,F,Single-ply,SBD,14,Yes
1,Margaret Kirkland,Open ,102,235,145,245,625,105,F,Single-ply,SBD,35,Yes
1,Margaret Kirkland,S33-39,102,235,145,245,625,105,F,Single-ply,SBD,35,Yes
1,Kate Taillon,S33-39,119.5,200,110,235,545,123,F,Single-ply,SBD,39,Yes
1,Judy Finley,S33-39,138,,155,,155,148,F,Single-ply,B,39,Yes
DQ,Debbie Quimby,S33-39,148,,,,,148,F,Single-ply,B,36,Yes
1,Shannon Summers,T13-15,207,,250,,250,198+,F,Single-ply,B,14,Yes
1,Shannon Summers,T13-15,207,,,350,350,198+,F,Single-ply,D,14,Yes
1,Shannon Summers,T13-15,207,370,350,350,1070,198+,F,Single-ply,SBD,14,Yes
1,Marisa Galante,T16-17,165,330,190,335,855,165,F,Single-ply,SBD,16,Yes
1,Susan Johnson,T18-19,130,215,135,275,625,132,F,Single-ply,SBD,19,Yes
