Name,Sex,WeightClassKg,Event,Equipment,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place
Nauris Kalašņikovs,M,44,SBD,Wraps,13-15,38.8,40,45,50,,50,20,25,-32.5,,25,60,70,-80,70,145,1
Raivo Berkins,M,44,SBD,Wraps,7.-12.,42.8,30,-35,35,,35,25,30,-32.5,,30,60,65,75,75,140,1
Dāvis Vilks,M,48,SBD,Wraps,13-15,47,45,-50,50,,50,30,35,40,,40,70,80,-90,80,170,1
Gvido Granauskis,M,52,SBD,Wraps,13-15,51.7,50,55,-60,,55,30,35,-40,,35,80,90,95,95,185,1
Dinārs Skuja,M,56,SBD,Wraps,13-15,52.8,50,55,-60,,55,35,40,-45,,40,90,100,107.5,107.5,202.5,1
Dāvis Gurskis,M,56,SBD,Wraps,13-15,54,60,65,-70,,65,35,-40,-40,,35,80,85,-105,85,185,2
Jeļena Ribaka,F,60,SBD,Wraps,13-15,59.7,35,40,45,,45,20,25,-35,,25,70,80,90,90,160,1
Linda Krūmiņa,F,60,SBD,Wraps,16-17,57.5,60,62.5,65,,65,37.5,40,42.5,,42.5,-100,100,-105,100,207.5,1
Elvis Žaļims,M,60,SBD,Wraps,13-15,59.1,70,80,85,,85,-40,40,-45,,40,80,90,100,100,225,1
Ņikita Veremeičiks,M,60,SBD,Wraps,13-15,54.7,30,-40,,,30,20,25,30,,30,60,70,80,80,140,2
Aļona Staņēviča,F,67.5,SBD,Wraps,20-23,62.4,40,47.5,52.5,,52.5,30,40,45,,45,80,90,100,100,197.5,1
Tomass Rihards Čaps,M,67.5,SBD,Wraps,7.-12.,66.9,60,70,80,,80,40,45,47.5,,47.5,90,95,100,100,227.5,1
Arkādijs Višķers,M,67.5,SBD,Wraps,13-15,64.2,30,40,50,,50,30,40,-45,,40,60,70,80,80,170,2
Lauris Kalašņikovs,M,67.5,SBD,Wraps,13-15,60.3,100,110,-139,,110,-80,80,-85,,80,140,160,-170,160,350,1
Laura Šembele,F,75,SBD,Wraps,13-15,73.5,65,-75,-75,,65,35,40,-42.5,,40,95,110,-115,110,215,1
Kristers Zaķis,M,75,SBD,Wraps,13-15,72.6,-75,75,85,,85,45,50,-57.5,,50,100,110,120,120,255,1
Rihards Bērziņš,M,75,SBD,Wraps,16-17,70,-110,110,130,,130,80,90,-95,,90,130,140,-160,140,360,1
Agris Zvirbulis,M,75,SBD,Wraps,16-17,75,70,80,90,,90,80,85,90,,90,120,130,135,135,315,2
Mārtiņš Rīns,M,75,SBD,Wraps,20-23,74.5,100,,,,100,100,,,,100,150,,,150,350,1
Davis Zembahs,M,82.5,SBD,Wraps,18-19,79.8,120,130,-140,,130,115,120,-125,,120,180,200,-210,200,450,1
Dmitrijs Stepenko,M,82.5,SBD,Wraps,40-44,81.6,180,190,200,,200,130,140,145,,145,200,215,225,225,570,1
Andris Džeriņš,M,90,SBD,Wraps,18-19,82.9,180,190,-200,,190,147.5,155,-160,,155,180,195,205,205,550,1
Arnis Štrauss,M,90,SBD,Wraps,Open,86.9,160,170,-180,,170,120,130,140,,140,185,200,210,210,520,1
Edmunds Brauns,M,100,SBD,Wraps,18-19,92.5,-190,190,-215,215,190,120,130,132.5,,132.5,230,240,-245,240,562.5,1
Armands Skuja,M,100,SBD,Wraps,18-19,91,-120,120,130,,130,100,,,,100,155,,,155,385,2
Artūrsa Paiķis,M,100,SBD,Wraps,20-23,96,165,175,185,,185,115,122.5,-127.5,,122.5,195,205,215,215,522.5,1
Ivo Vegners,M,100,SBD,Wraps,Open,96.9,210,230,-245,,230,-145,155,-160,,155,250,270,,270,655,1
Erlends Eversons,M,110,SBD,Wraps,13-15,102.4,90,105,-117.5,,105,50,65,-67.5,,65,110,130,140,140,310,1
Kristaps Somošs,M,110,SBD,Wraps,20-23,106.5,240,250,-280,,250,170,-175,,,170,270,285,-292.5,285,705,1
Martiņš Larka,M,110,SBD,Wraps,20-23,107.4,200,220,-230,,220,145,155,157.5,,157.5,230,-240,,230,607.5,3
Valērijs Ribakovs,M,110,SBD,Wraps,20-23,101.3,220,230,240,,240,180,185,-190,,185,250,260,270,270,695,2
Ivars Cīrulis,M,110,SBD,Wraps,Open,106.3,220,240,260,,260,180,200,,,200,280,300,322.5,322.5,782.5,1
Andis Kaspars,M,110,SBD,Wraps,Open,109.9,225,230,,,230,180,185,,,185,255,260,-272.5,260,675,4
Viktors Žoglo,M,110,SBD,Wraps,Open,102,-240,240,-250,,240,160,170,180,,180,250,265,270,270,690,2
Jurijs Ribakovs,M,110,SBD,Wraps,Open,105.5,220,230,235,,235,180,-185,-185,,180,260,-265,265,265,680,3
Normunds Ansons,M,110,SBD,Wraps,Open,105.1,160,170,180,,180,110,120,-140,,120,200,220,230,230,530,5
Viesturs Melgailis,M,125,SBD,Wraps,Open,116.1,270,290,-305,,290,150,160,-170,,160,280,300,320,320,770,1
Andis Šķensbergs,M,125,SBD,Wraps,Open,111.1,150,,,,150,170,,,,170,170,,,170,490,2
Ainārs Zibarts,M,125,SBD,Wraps,40-44,112.2,220,230,-240,,230,170,180,-190,,180,270,300,310,310,720,1
Ivans Bistrovs,M,140,SBD,Wraps,Open,139.1,-220,220,235,,235,140,150,-160,,150,240,270,280,280,665,2
Konstantīn Konstantīnovs,M,140,SBD,Raw,Open,136.6,290,320,335,,335,225,235,240,,240,340,380,-411,380,955,1
Rolands Fersters,M,140+,SBD,Wraps,Open,168,210,,,,210,140,,,,140,280,-300,,280,630,1
Kristers Ziņģenieks,M,52,B,Raw,7.-12.,50.5,,,,,,35,42.5,45,,45,,,,,45,1
Elva Bole,F,56,B,Raw,16-17,55.4,,,,,,40,45,47.5,-50,47.5,,,,,47.5,1
Diāna Dīka,F,56,B,Raw,13-15,55.8,,,,,,25,30,-32.5,,30,,,,,30,1
Elīna Žieda,F,56,B,Raw,19-19,54.2,,,,,,20,25,-27.5,,25,,,,,25,1
Gatis Kuzikovs,M,56,B,Raw,13-15,52.4,,,,,,60,65,68.5,,68.5,,,,,68.5,1
Dāvis Dambis,M,56,B,Raw,13-15,54.7,,,,,,35,40,-45,,40,,,,,40,2
Jekaterina Plaksina,F,60,B,Raw,Open,59,,,,,,50,52.5,55,,55,,,,,55,1
Jolanta Zaula,F,60,B,Raw,Open,59,,,,,,37.5,40,-42.5,,40,,,,,40,2
Normunds Graudiņš,M,60,B,Raw,13-15,57.6,,,,,,60,-65,-65,,60,,,,,60,1
Ņikita Veremeičiks,M,60,B,Raw,13-15,54.9,,,,,,30,-35,-35,,30,,,,,30,2
Valentīns Peleckis,M,60,B,Raw,16-17,57.3,,,,,,85,90,93.5,,93.5,,,,,93.5,1
Alberts Kozlovs,M,60,B,Raw,18-19,58.7,,,,,,70,-75,-75,,70,,,,,70,1
Regimants Peleckis,M,60,B,Raw,20-23,57.1,,,,,,90,-95,-95,,90,,,,,90,1
Inna Tretjaka,F,67.5,B,Raw,Open,67.5,,,,,,-105,105,110,,110,,,,,110,1
Tomass Rihards Čaps,M,67.5,B,Raw,7.-12,66.9,,,,,,40,45,47.5,,47.5,,,,,47.5,1
Ričards Stauģis,M,67.5,B,Raw,13-15,66.3,,,,,,35,40,42.5,,42.5,,,,,42.5,1
Arkādijs Višķers,M,67.5,B,Raw,13-15,64.3,,,,,,30,-45,-45,,30,,,,,30,2
Maksims Suščevskihs,M,67.5,B,Raw,16-17,66.4,,,,,,110,115,-117.5,,115,,,,,115,1
Edgars Rjabčikovs,M,67.5,B,Raw,16-17,61.2,,,,,,70,75,80,,80,,,,,80,2
Juris Ruckānovs,M,67.5,B,Raw,18-19,67.4,,,,,,115,-120,125,,125,,,,,125,1
Andrejs Kozlovs,M,67.5,B,Raw,18-19,62.6,,,,,,75,-80,80,,80,,,,,80,2
Arvis Kalnenieks,M,67.5,B,Raw,18-19,65.9,,,,,,-95,-100,-105,,,,,,,,DQ
Helmuts Gercāns,M,67.5,B,Raw,18-19,62.7,,,,,,-80,80,-95,,80,,,,,80,3
Anders Skorejs,M,67.5,B,Raw,20-23,64.8,,,,,,75,80,85,,85,,,,,85,1
Agris Vinagradovs,M,67.5,B,Raw,60-65,65.1,,,,,,55,60,62.5,,62.5,,,,,62.5,1
Alvis Jēgers,M,75,B,Raw,13-15,74,,,,,,-97.5,-97.5,-97.5,,,,,,,,DQ
Rihards Plūme,M,75,B,Raw,16-17,68,,,,,,65,70,-72.5,,70,,,,,70,1
Eduards Matvejevs,M,75,B,Raw,18-19,72.9,,,,,,125,-135,-135,,125,,,,,125,1
Ervīns Paeglītis,M,75,B,Raw,20-23,68.9,,,,,,95,100,-102.5,,100,,,,,100,3
Artūrs Ikše,M,75,B,Raw,20-23,74,,,,,,112.5,115,120,,120,,,,,120,2
Mārtiņš Rīns,M,75,B,Raw,20-23,73.5,,,,,,120,125,-130,,125,,,,,125,1
Elvijs Zieds,M,75,B,Raw,20-23,74,,,,,,90,-95,-100,,90,,,,,90,4
Mārtiš Blūms,M,75,B,Raw,Open,75,,,,,,95,102.5,-110,,102.5,,,,,102.5,1
Juris Červids,M,75,B,Raw,45-49,73.6,,,,,,120,-125,,,120,,,,,120,1
