Name,WeightClassKg,BodyweightKg,Sex,Division,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,Country
Mymrina Anastasiya,48,47.25,F,F-T (18 - 19) -AWPC,90,95,97.5,-100,97.5,62.5,-67.5,-67.5,,62.5,115,130,-140,,130,290,1,SBD,Raw,RUS
Talibova Gunel,48,46.8,F,F-O -AWPC,70,75,80,,80,45,47.5,50,,50,102.5,110,115,-130.5,115,245,1,SBD,Raw,AZE
Churilova Olga,48,47.9,F,F-O -AWPC,67.5,72.5,-75,,72.5,42.5,45,-47.5,,45,97.5,102.5,105,,105,222.5,2,SBD,Raw,RUS
Sinelnikova Olesya,52,51.55,F,F-T (13-15) -AWPC,-75,80,-85,,80,50,55,-57.5,,55,95,100,-105,,100,235,1,SBD,Raw,RUS
Reutova Nadezhda,52,50.8,F,F-T (16-17) -AWPC,80,90,-95,,90,47.5,52.5,-55,,52.5,95,105,-110,,105,247.5,1,SBD,Raw,RUS
Rudnevskaya Veronika,52,52,F,F-O -AWPC,85,90,95,,95,50,55,-57.5,,55,105,110,115,,115,265,1,SBD,Raw,RUS
Negodyuk Olga,52,51.65,F,F-O -AWPC,80,85,-87.5,,85,-50,50,-52.5,,50,105,117.5,-122.5,,117.5,252.5,2,SBD,Raw,UKR
Sinelnikova Olesya,52,51.55,F,F-O -AWPC,-75,80,-85,,80,50,55,-57.5,,55,95,100,-105,,100,235,3,SBD,Raw,RUS
Negodyuk Olga,52,51.65,F,F-M (40 - 44) -AWPC,80,85,-87.5,,85,-50,50,-52.5,,50,105,117.5,-122.5,,117.5,252.5,1,SBD,Raw,UKR
Petriyenko Natalya,56,54.85,F,F-T (18 - 19) -AWPC,75,-80,-80,,75,-40,-40,-40,,,,,,,,,DQ,SBD,Raw,RUS
Turygina Polina,56,56,F,F-J (20 - 23) -AWPC,75,80,82.5,,82.5,50,52.5,-55,,52.5,80,87.5,92.5,,92.5,227.5,1,SBD,Raw,RUS
Savelyeva Nina,60,59.9,F,F-O -AWPC,90,97.5,102.5,,102.5,85,-92.5,95,,95,110,120,130,,130,327.5,1,SBD,Raw,UKR
Mazayeva Tatyana,60,59.15,F,F-O -AWPC,90,95,100,,100,65,70,75,,75,110,120,-125,,120,295,2,SBD,Raw,RUS
Tomchina Lidiya,60,60,F,F-O -AWPC,90,95,-102.5,,95,50,55,-57.5,,55,105,112.5,120,,120,270,3,SBD,Raw,RUS
Babkina Darya,67.5,61.65,F,F-J (20 - 23) -AWPC,85,-90,90,,90,55,60,-65,,60,95,105,110,,110,260,1,SBD,Raw,UKR
Umerenkova Yuliya,67.5,67.35,F,F-O -AWPC,120,125,-128,,125,70,-75,-75,,70,155,165,171,175,171,366,1,SBD,Raw,RUS
Pilipchatina Yuliya,67.5,65.8,F,F-O -AWPC,-105,110,120,,120,52.5,60,-65,,60,140,160,-185,,160,340,2,SBD,Raw,RUS
Sheremenko Svitlana,75,72.8,F,F-O -AWPC,-95,-95,-95,,,,,,,,,,,,,,DQ,SBD,Raw,UKR
