Place,Name,Division,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Bench4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,SheetName,Event
1,Ēriks Silovs,T1,Latvia,58.60,120,125,130,130,132.5,52.5,56,-57.5,56,,-125,,125,125,,311.0,60,M,,1997,raw men,SBD
2,Elvis Zaļims,T1,Latvia,58.90,75,80,,80,,40,-45,-45,40,,85,95,-105,95,,215.0,60,M,,1998,raw men,SBD
1,Valentins Peleckis,T2,Latvia,58.05,80,90,95,95,,85,90,92.5,92.5,,125,135,145,145,,332.5,60,M,,1994,raw men,SBD
1,Regimants Peleckis,J,Latvia,57.35,125,135,-140,135,,92.5,-97.5,-97.5,92.5,,155,165,170,170,,397.5,60,M,,1991,raw men,SBD
1,Georgiy Mikelashvili,O,Georgia,59.60,150,-171,,150,,110,117.5,123,123,130,170,190,-210,190,,463.0,60,M,,1985,raw men,SBD
1,Elias Hiissa,T1,Finland,63.30,115,120,127.5,127.5,,85,90,-95,90,,160,170,-180,170,,387.5,67.5,M,,1996,raw men,SBD
2,Rihards Chiapas Tomass,T1,Latvia,66.30,75,80,85,85,,45,47.5,-50,47.5,,90,100,105,105,,237.5,67.5,M,,2000,raw men,SBD
DQ,Lauris Kalasnikovs,T1,Latvia,63.80,-115,-115,-115,,,,,,,,,,,,,,67.5,M,,1998,raw men,SBD
1,Vladislav Korkin,T2,Russia,67.45,140,150,-161,150,,90,-97.5,-100,90,,165,175,181,181,185,421.0,67.5,M,Владислав Коркин,1993,raw men,SBD
1,Hymsuen Liu,T3,Great Britain,66.55,150,170,-185,170,,85,-100,-100,85,,220,230,-240,230,,485.0,67.5,M,,1992,raw men,SBD
1,Merat Tafreshi,J,Great Britain,65.70,130,140,-150,140,,70,80,-85,80,,160,170,175,175,,395.0,67.5,M,,1992,raw men,SBD
1,Sergey Alampiev,M3,Russia,66.40,145,155,160,160,,90,100,105,105,,180,200,210,210,,475.0,67.5,M,Сергей Алампиев,1957,raw men,SBD
